method,tracking,tracking_std,feasible_rate,parameter_error,gain_error
FleetControlActive,0.006724017290820762,5.383164030834652e-05,1.0,0.046561836074361575,0.0035102147817852175
FleetFixed,0.006857157495682107,0.00010847658935754674,1.0,0.04765756361624411,0.0044289323714376124
FleetParameterActive,0.006724017290820762,5.383164030834652e-05,1.0,0.046561836074361575,0.0035102147817852175
LocalControlActive,0.006736405762282113,7.03039516752629e-05,1.0,0.05769834247342205,0.003760756642259584
LocalFixed,0.006846115938628543,0.0001361794319144211,1.0,0.05177728847857027,0.00445188187339822
LocalParameterActive,0.006842792802988988,0.00011991219660007036,1.0,0.050760016318013086,0.004391346037890103
OracleBestFleet,0.006735118750364555,2.835515673442647e-05,1.0,0.03968824598788494,0.0018400857233390288
