seed,coverage,episode_duration,noise,method,tracking,feasible,rho,steering_rms,peak_rate,worst_family,beta_prediction,yaw_prediction,parameter_relative_error
31,broad,2,clean,Family,0.0074692882595268194,1.0,0.9680214651398245,0.8057442157300435,1.1591424129078516,0.0080970095270768,0.036051658953975586,0.13886131646653813,0.02418982118972798
31,broad,2,clean,Global,0.012709316726297815,1.0,0.9659812528969844,0.8057799779723006,1.1578293992243158,0.015520221730066584,0.13230984430617085,0.4180832679140441,0.08089086318095377
31,broad,2,clean,Local,0.006654470762686334,1.0,0.968268335263432,0.8057433646956264,1.159377292645393,0.006876335457389777,0.018268272267455667,0.045622730874298294,0.0026474133268533768
31,broad,2,noisy,Family,0.007467586828411123,1.0,0.9680023017624816,0.80574374351263,1.1591310952424287,0.008085477400308494,0.03619698528747967,0.13880101759242727,0.024365575982471206
31,broad,2,noisy,Global,0.012705543351599388,1.0,0.9659822846682048,0.8057797086094071,1.1578257275671036,0.01551853831014333,0.13225909152295956,0.41822070510672543,0.0811285180582281
31,broad,2,noisy,Local,0.006656718312348786,1.0,0.968233794227902,0.8057429938663715,1.1593407966849727,0.006870168065957837,0.018579545771655333,0.04548781886775088,0.00789249216096401
31,broad,8,clean,Family,0.007468689071096831,1.0,0.9680207805534876,0.8057442408703273,1.159140068437268,0.008095460629478914,0.035978246915675006,0.13882252923078542,0.02423837560991771
31,broad,8,clean,Global,0.012840063815111118,1.0,0.9658961389378355,0.8057954109597917,1.1578647543080034,0.015925079118192485,0.1331109987166046,0.42043042121691937,0.08312041524509632
31,broad,8,clean,Local,0.006646155551188638,1.0,0.9682746919544198,0.805742103250687,1.1593738547242023,0.006871136742129357,0.01764325472328235,0.04602096473521772,0.0032512402271933334
31,broad,8,noisy,Family,0.007467779801740871,1.0,0.9680193052054626,0.8057441283925562,1.1591369503963092,0.00809373439814739,0.03596806933959086,0.13881708754105707,0.024240251968411928
31,broad,8,noisy,Global,0.012838860479284954,1.0,0.9658970780192092,0.8057953054526343,1.157863509710282,0.015924581419549205,0.1330840049105177,0.4204965120214056,0.08306585200655862
31,broad,8,noisy,Local,0.006646455776389162,1.0,0.9682678479541424,0.8057420390458115,1.1593865877638112,0.006871141196759327,0.017658360393298333,0.04585094033128393,0.004250483973369644
31,restricted,2,clean,Family,0.0074622215273913535,1.0,0.9679651834415492,0.8057380779286534,1.159071412764535,0.007989555500524513,0.03634561188301222,0.14062681369195226,0.024477528567130365
31,restricted,2,clean,Global,0.012573296484649313,1.0,0.9660776474925836,0.8057631077977466,1.1577902836020202,0.015086274621838248,0.13138509248975805,0.4157306069004585,0.0777652474725879
31,restricted,2,clean,Local,0.006660295673714789,1.0,0.9682645647652728,0.8057442143849671,1.1593844093862455,0.006880135803940807,0.018749282347631305,0.04556083373692555,0.0021140338731138
31,restricted,2,noisy,Family,0.007465239785560463,1.0,0.9679445519968228,0.8057383996066044,1.159067364075386,0.00798635157269767,0.036647491774626034,0.14069370762955763,0.024740497132661684
31,restricted,2,noisy,Global,0.012577531004980165,1.0,0.9660734277183014,0.8057637449247844,1.1577905432799178,0.0151043041592859,0.13141232628734248,0.41586780388974426,0.07805669242394088
31,restricted,2,noisy,Local,0.006664188806039966,1.0,0.9682265817327772,0.8057436579196969,1.1593319553704815,0.006878827618726336,0.01928131427945209,0.047489306697250544,0.00857325269042135
31,restricted,8,clean,Family,0.0074624339350857615,1.0,0.96796179414005,0.805737814213163,1.1590646038733865,0.007982823974573916,0.03628706412912953,0.1407605745802963,0.02459324298119371
31,restricted,8,clean,Global,0.012653985322423624,1.0,0.9660233498267904,0.8057732580339556,1.1578106921177589,0.015356331401350313,0.13183682314266584,0.4175085229375526,0.07894620453408334
31,restricted,8,clean,Local,0.006655338699492165,1.0,0.9682682947078852,0.805743480391045,1.1593834296365726,0.006876725447374457,0.018357993897039314,0.04565575562894852,0.0025226728808640836
31,restricted,8,noisy,Family,0.007461438045878683,1.0,0.9679594388975928,0.8057374630587837,1.1590598720042724,0.007978013024154377,0.03630168816259362,0.1408886399129593,0.024613209191411346
31,restricted,8,noisy,Global,0.012650865935385185,1.0,0.9660251645451784,0.8057729207665496,1.1578091802554034,0.01534891765823736,0.1318099210344864,0.417502779623816,0.07894805472045732
31,restricted,8,noisy,Local,0.006657323354133303,1.0,0.9682651375387848,0.8057437420256622,1.1594072981935435,0.00688623716607763,0.018443187225352937,0.045851584953570876,0.004429615636979117
32,broad,2,clean,Family,0.007469628601815496,1.0,0.9690578557361654,0.8085451754419322,1.1267682805769312,0.00827662411702103,0.0399971992870025,0.15580646836651174,0.02624366109130596
32,broad,2,clean,Global,0.0121825900022261,1.0,0.9672783890329428,0.8085812172421977,1.1260945322332128,0.015374254483491672,0.12718678387143156,0.377625554406653,0.08019635348285165
32,broad,2,clean,Local,0.0066547663951845625,1.0,0.969254466433072,0.8085443831473056,1.1269350080133391,0.006732670017167273,0.018321409343933448,0.0459742020454074,0.00263249692358811
