seed,gamma,low,high,time_scale,plant,severity,method,tracking,steering_rms,peak_rate,feasible,worst_family
21,1,10,30,2,vy,moderate,M4,0.00719490488865887,0.8011199551983814,1.142388641527613,1.0,0.00765258188156124
21,1,10,30,2,vy,near_linear,M1,0.008060153050314682,0.39749322533926185,0.5680142010224005,1.0,0.00958772379821559
21,1,10,30,2,vy,near_linear,M2,0.006605600066188088,0.397474700565034,0.5685929846601122,1.0,0.0072328846918528365
21,1,10,30,2,vy,near_linear,M3,0.005547844748667674,0.39743974919732256,0.5685013427311061,1.0,0.006081227338698123
21,1,10,30,2,vy,near_linear,M4,0.0034510538484533167,0.39742745787313216,0.5689969702493537,1.0,0.0036744894835781063
21,1,10,30,2,vy,strong,M1,0.025911341040235056,1.2199519492359927,1.7606694511581424,1.0,0.031135559423893445
21,1,10,30,2,vy,strong,M2,0.020497338089935757,1.2198774964337615,1.7617906295954997,1.0,0.022258680180461916
21,1,10,30,2,vy,strong,M3,0.018795757941769856,1.219699786395003,1.7674209168127362,1.0,0.020829148440667286
21,1,10,30,2,vy,strong,M4,0.011929286358290188,1.2196555916520526,1.76976534895652,1.0,0.01264761866406727
21,1,18,22,1,beta_noacc,moderate,M1,0.0328360966912561,0.8002610415181229,2.2012403649497845,1.0,0.037879419970216745
21,1,18,22,1,beta_noacc,moderate,M2,0.028511102747303462,0.8003202770799073,2.2194427833709707,1.0,0.030437937700002023
21,1,18,22,1,beta_noacc,moderate,M3,0.0325532518196394,0.800149478982939,2.2038504837454567,1.0,0.03684096930486189
21,1,18,22,1,beta_noacc,moderate,M4,0.028185234955823313,0.800217592641569,2.2228667382188614,1.0,0.03009468337772096
21,1,18,22,1,beta_noacc,near_linear,M1,0.015840604289815038,0.39811111818515527,1.0950864695367128,1.0,0.018216022019079847
21,1,18,22,1,beta_noacc,near_linear,M2,0.013721106888612377,0.39814006172879957,1.1037854451275697,1.0,0.014654439069425033
