design,client_id,family,method,max_small_signal_spectral_radius,small_signal_stable
test,nominal_00,nominal,M4,0.9614200011274454,True
test,nominal_00,nominal,LTI_1,0.9605345246708872,True
test,nominal_00,nominal,LTI_2,0.9604136756705249,True
test,nominal_00,nominal,LTI_3,0.9609618482178752,True
test,nominal_00,nominal,LTI_5,0.9612545604733025,True
test,nominal_00,nominal,LTI_8,0.9612250279500499,True
test,nominal_00,nominal,LTI_10,0.961265258295447,True
test,nominal_01,nominal,M4,0.9589068717718566,True
test,nominal_01,nominal,LTI_1,0.9578938343772094,True
test,nominal_01,nominal,LTI_2,0.9577546694725395,True
test,nominal_01,nominal,LTI_3,0.9583841402375913,True
test,nominal_01,nominal,LTI_5,0.958718451735653,True
test,nominal_01,nominal,LTI_8,0.9586847772489121,True
test,nominal_01,nominal,LTI_10,0.9587306469293009,True
test,nominal_02,nominal,M4,0.9600804116644388,True
test,nominal_02,nominal,LTI_1,0.9591678036241627,True
test,nominal_02,nominal,LTI_2,0.9590431505856426,True
test,nominal_02,nominal,LTI_3,0.959608376593764,True
test,nominal_02,nominal,LTI_5,0.9599099945341135,True
test,nominal_02,nominal,LTI_8,0.9598795694288735,True
test,nominal_02,nominal,LTI_10,0.9599210153631333,True
test,nominal_03,nominal,M4,0.9599956599999958,True
test,nominal_03,nominal,LTI_1,0.9590406644348842,True
test,nominal_03,nominal,LTI_2,0.9589098763414474,True
test,nominal_03,nominal,LTI_3,0.9595022478786261,True
test,nominal_03,nominal,LTI_5,0.9598176578292031,True
test,nominal_03,nominal,LTI_8,0.9597858628897366,True
test,nominal_03,nominal,LTI_10,0.9598291736755784,True
test,nominal_04,nominal,M4,0.9589538608647467,True
test,nominal_04,nominal,LTI_1,0.9579094631263696,True
test,nominal_04,nominal,LTI_2,0.9577656951444743,True
test,nominal_04,nominal,LTI_3,0.958415409161399,True
test,nominal_04,nominal,LTI_5,0.9587598849571841,True
test,nominal_04,nominal,LTI_8,0.9587252045305233,True
test,nominal_04,nominal,LTI_10,0.9587724434739763,True
test,nominal_05,nominal,M4,0.9611862948501066,True
test,nominal_05,nominal,LTI_1,0.9602656806948482,True
test,nominal_05,nominal,LTI_2,0.9601397736735264,True
test,nominal_05,nominal,LTI_3,0.9607103778363963,True
test,nominal_05,nominal,LTI_5,0.9610145405245822,True
test,nominal_05,nominal,LTI_8,0.960983869035592,True
test,nominal_05,nominal,LTI_10,0.9610256500291505,True
test,nominal_06,nominal,M4,0.9596819482846014,True
test,nominal_06,nominal,LTI_1,0.9587083146871637,True
test,nominal_06,nominal,LTI_2,0.9585748391687735,True
test,nominal_06,nominal,LTI_3,0.9591791180961335,True
test,nominal_06,nominal,LTI_5,0.9595005990856563,True
test,nominal_06,nominal,LTI_8,0.9594682003488187,True
test,nominal_06,nominal,LTI_10,0.9595123331745442,True
test,nominal_07,nominal,M4,0.9592636902656028,True
test,nominal_07,nominal,LTI_1,0.958283446363242,True
test,nominal_07,nominal,LTI_2,0.9581490818818985,True
test,nominal_07,nominal,LTI_3,0.9587574191262263,True
test,nominal_07,nominal,LTI_5,0.9590810935770115,True
test,nominal_07,nominal,LTI_8,0.9590484727338787,True
test,nominal_07,nominal,LTI_10,0.9590929081651431,True
test,nominal_08,nominal,M4,0.9590062358545135,True
test,nominal_08,nominal,LTI_1,0.9579479172452844,True
test,nominal_08,nominal,LTI_2,0.9578020906756461,True
test,nominal_08,nominal,LTI_3,0.9584608290043961,True
test,nominal_08,nominal,LTI_5,0.958809807247949,True
test,nominal_08,nominal,LTI_8,0.9587746821003856,True
test,nominal_08,nominal,LTI_10,0.9588225263402151,True
test,nominal_09,nominal,M4,0.959891744572603,True
test,nominal_09,nominal,LTI_1,0.9589100235515137,True
test,nominal_09,nominal,LTI_2,0.9587753272049725,True
test,nominal_09,nominal,LTI_3,0.9593849139452556,True
test,nominal_09,nominal,LTI_5,0.9597089949362516,True
test,nominal_09,nominal,LTI_8,0.9596763410211502,True
test,nominal_09,nominal,LTI_10,0.9597208210701857,True
test,heavy_00,heavy,M4,0.9641341224382233,True
test,heavy_00,heavy,LTI_1,0.9633740064039704,True
test,heavy_00,heavy,LTI_2,0.9632699747573319,True
test,heavy_00,heavy,LTI_3,0.9637412976874863,True
test,heavy_00,heavy,LTI_5,0.9639923864117271,True
test,heavy_00,heavy,LTI_8,0.963967071773377,True
test,heavy_00,heavy,LTI_10,0.9640015553369978,True
test,heavy_01,heavy,M4,0.9647636912676241,True
test,heavy_01,heavy,LTI_1,0.964058286805087,True
test,heavy_01,heavy,LTI_2,0.9639620224545996,True
test,heavy_01,heavy,LTI_3,0.9643986952191678,True
test,heavy_01,heavy,LTI_5,0.9646318869476508,True
test,heavy_01,heavy,LTI_8,0.964608359097677,True
test,heavy_01,heavy,LTI_10,0.9646404096701647,True
test,heavy_02,heavy,M4,0.9667918498457402,True
test,heavy_02,heavy,LTI_1,0.9661562233891805,True
test,heavy_02,heavy,LTI_2,0.9660697102777183,True
test,heavy_02,heavy,LTI_3,0.9664625937108693,True
test,heavy_02,heavy,LTI_5,0.966672862402163,True
test,heavy_02,heavy,LTI_8,0.9666516329990446,True
test,heavy_02,heavy,LTI_10,0.9666805533272955,True
test,heavy_03,heavy,M4,0.9659336908623807,True
test,heavy_03,heavy,LTI_1,0.9652356700029792,True
test,heavy_03,heavy,LTI_2,0.9651403667315394,True
test,heavy_03,heavy,LTI_3,0.9655725929242364,True
test,heavy_03,heavy,LTI_5,0.9658033142600991,True
test,heavy_03,heavy,LTI_8,0.965780038843262,True
test,heavy_03,heavy,LTI_10,0.9658117453618302,True
test,heavy_04,heavy,M4,0.9656880952953958,True
test,heavy_04,heavy,LTI_1,0.965007821664757,True
test,heavy_04,heavy,LTI_2,0.9649150630765155,True
test,heavy_04,heavy,LTI_3,0.965335982104049,True
test,heavy_04,heavy,LTI_5,0.9655609140332884,True
test,heavy_04,heavy,LTI_8,0.9655382148535715,True
test,heavy_04,heavy,LTI_10,0.9655691368360663,True
test,heavy_05,heavy,M4,0.9651675773010479,True
test,heavy_05,heavy,LTI_1,0.9644397119930944,True
test,heavy_05,heavy,LTI_2,0.9643402139660575,True
test,heavy_05,heavy,LTI_3,0.964791230971787,True
test,heavy_05,heavy,LTI_5,0.9650317415072039,True
test,heavy_05,heavy,LTI_8,0.9650074860178433,True
test,heavy_05,heavy,LTI_10,0.9650405272119381,True
test,heavy_06,heavy,M4,0.964416274124915,True
test,heavy_06,heavy,LTI_1,0.9637000384704312,True
test,heavy_06,heavy,LTI_2,0.9636022596631988,True
test,heavy_06,heavy,LTI_3,0.964045731379692,True
test,heavy_06,heavy,LTI_5,0.9642824808056596,True
test,heavy_06,heavy,LTI_8,0.9642585962582442,True
test,heavy_06,heavy,LTI_10,0.9642911326143299,True
test,heavy_07,heavy,M4,0.9652445061206424,True
test,heavy_07,heavy,LTI_1,0.964560575415979,True
test,heavy_07,heavy,LTI_2,0.9644673300823997,True
test,heavy_07,heavy,LTI_3,0.964890479704953,True
test,heavy_07,heavy,LTI_5,0.965116628433779,True
test,heavy_07,heavy,LTI_8,0.9650938056117775,True
test,heavy_07,heavy,LTI_10,0.9651248960743883,True
test,heavy_08,heavy,M4,0.9658814323785595,True
test,heavy_08,heavy,LTI_1,0.9651871600892762,True
test,heavy_08,heavy,LTI_2,0.9650924000408363,True
test,heavy_08,heavy,LTI_3,0.9655222232408677,True
test,heavy_08,heavy,LTI_5,0.9657517253351663,True
test,heavy_08,heavy,LTI_8,0.9657285709230802,True
test,heavy_08,heavy,LTI_10,0.9657601127152521,True
test,heavy_09,heavy,M4,0.9665283064835989,True
test,heavy_09,heavy,LTI_1,0.9658874924726744,True
test,heavy_09,heavy,LTI_2,0.965800265268606,True
test,heavy_09,heavy,LTI_3,0.9661963756397528,True
test,heavy_09,heavy,LTI_5,0.9664083553706542,True
test,heavy_09,heavy,LTI_8,0.9663869536917175,True
test,heavy_09,heavy,LTI_10,0.9664161086815846,True
test,handling_00,handling,M4,0.9539901454132836,True
test,handling_00,handling,LTI_1,0.9527285582356574,True
test,handling_00,handling,LTI_2,0.9525568434749254,True
test,handling_00,handling,LTI_3,0.953336647471941,True
test,handling_00,handling,LTI_5,0.9537539809787696,True
test,handling_00,handling,LTI_8,0.9537118456672696,True
test,handling_00,handling,LTI_10,0.9537692456550805,True
test,handling_01,handling,M4,0.9532151940807698,True
test,handling_01,handling,LTI_1,0.9519020595659482,True
test,handling_01,handling,LTI_2,0.9517228643551758,True
test,handling_01,handling,LTI_3,0.9525357221191122,True
test,handling_01,handling,LTI_5,0.9529698164276911,True
test,handling_01,handling,LTI_8,0.9529260170002455,True
test,handling_01,handling,LTI_10,0.9529856824434396,True
