severity,scale,reference_peak_deg_s,max_force_utilization,max_outside_fraction,max_lateral_accel_mps2,max_steering_deg,mean_tracking_rmse_deg_s,all_finite
near_linear,0.5,4.867353264636831,0.261531378989589,0.0775,2.275816878374463,1.20466400849191,0.015722247317272477,True
moderate,1.0,9.734706529273662,0.5171717289946084,0.3675,4.488622644097615,2.4275008080408846,0.033111857553515776,True
strong,1.5,14.602059793910493,0.7527748148863779,0.5091666666666667,6.497493501393941,3.6918436842196773,0.056507470158623424,True
