speed_mps,a00,a01,a10,a11,b00,b10,continuous_pole_1_real,continuous_pole_1_imag,continuous_pole_2_real,continuous_pole_2_imag,discrete_pole_radius_max,beta_dc_gain_rad_per_rad,yaw_rate_dc_gain_per_s,kinematic_yaw_gain_per_s,controllability_sigma_min,controllability_condition,a_condition,ad_condition
10.0,-10.666666666666666,-0.7866666666666666,12.8,-12.8,5.333333333333333,38.4,-11.733333333333334,2.9885708215726714,-11.733333333333334,-2.9885708215726714,0.8892887141815992,0.25960419091967407,3.259604190919674,3.5714285714285716,2.50586372041504,173.13398765264927,2.6361307812224384,1.1296627498243295
10.1,-10.561056105610561,-0.7908701761265235,12.8,-12.673267326732674,5.2805280528052805,38.4,-11.617161716171616,3.0012962522485114,-11.617161716171616,-3.0012962522485114,0.8903224155796602,0.25389377779972894,3.286432715577726,3.607142857142857,2.548609588085445,168.55016183923186,2.6562803511355555,1.1295744683177114
10.2,-10.457516339869283,-0.7949506600025631,12.8,-12.549019607843137,5.2287581699346415,38.4,-11.50326797385621,3.013597844445486,-11.50326797385621,-3.013597844445486,0.8913370147702542,0.24814681623609394,3.3131097525608157,3.642857142857143,2.5911659678148578,164.16281078241528,2.676508323491962,1.12948873877953
10.3,-10.35598705501618,-0.7989128727181325,12.8,-12.427184466019417,5.17799352750809,38.4,-11.391585760517799,3.0254950160189433,-11.391585760517799,-3.0254950160189433,0.8923330357622712,0.24236379900818394,3.3396347129784294,3.6785714285714293,2.633537643189094,159.9601966795998,2.6968135178766057,1.1294054640407312
10.4,-10.256410256410257,-0.8027613412228798,12.8,-12.307692307692308,5.128205128205129,38.4,-11.282051282051281,3.037006034596389,-11.282051282051281,-3.037006034596389,0.893310983596431,0.2365452191603479,3.3660070279267615,3.714285714285715,2.675729214684079,155.93148275164455,2.7171947543959676,1.1293245515027495
10.5,-10.158730158730158,-0.8065003779289494,12.8,-12.19047619047619,5.079365079365079,38.4,-11.174603174603174,3.0481481022272545,-11.174603174603174,-3.0481481022272545,0.894271345194717,0.23069156991418435,3.3922261484098937,3.7500000000000004,2.7177451080889767,152.0666489606406,2.737650853654442,1.1292459128824641
10.6,-10.062893081761006,-0.8101340927969621,12.8,-12.075471698113208,5.031446540880503,38.4,-11.069182389937108,3.058937432516655,-11.069182389937108,-3.058937432516655,0.8952145901646327,0.22480334458175483,3.41829154525666,3.785714285714286,2.7595895824731227,148.3564169896459,2.7581806367459465,1.1291694639735739
10.7,-9.968847352024923,-0.8136664046350481,12.8,-11.962616822429906,4.984423676012462,38.4,-10.965732087227412,3.0693893210293273,-10.965732087227412,-3.0693893210293273,0.8961411715610538,0.21888103647969412,3.4442027090332727,3.8214285714285716,2.801266737725162,144.7921833197098,2.7787829252595957,1.129095124423199
10.8,-9.876543209876543,-0.817101051668953,12.8,-11.851851851851851,4.938271604938271,38.4,-10.8641975308642,3.0795182096550455,-10.8641975308642,-3.0795182096550455,0.8970515266082568,0.21292513884426503,3.4699591499518063,3.8571428571428577,2.8427805216909032,141.3659594038401,2.799456541298454,1.1290228175226142
10.9,-9.785932721712538,-0.8204416014364672,12.8,-11.743119266055047,4.892966360856269,38.4,-10.764525993883794,3.0893377455448183,-10.764525993883794,-3.0893377455448183,0.8979460773845304,0.20693614474735333,3.495560397774615,3.8928571428571432,2.884134736934341,138.0703180762734,2.820200307510337,1.1289524700110918
11.0,-9.696969696969697,-0.8236914600550964,12.8,-11.636363636363637,4.848484848484849,38.4,-10.666666666666664,3.0988608351563243,-10.666666666666664,-3.0988608351563243,0.8988252314716089,0.20091454701343228,3.5210060017147753,3.928571428571429,2.925333047144649,134.89834545284828,2.8410130471297967,1.1288840118919425
11.1,-9.60960960960961,-0.826853880907935,12.8,-11.531531531531531,4.804804804804805,38.4,-10.57057057057057,3.108099693885407,-10.57057057057057,-3.108099693885407,0.8996893825710157,0.19486083813751007,3.5462955303326362,3.9642857142857144,2.9663789832106144,131.84359767801215,2.861893584030386,1.1288173762598765
11.2,-9.523809523809524,-0.8299319727891157,12.8,-11.428571428571429,4.761904761904762,38.4,-10.476190476190478,3.1170658917069165,-10.476190476190478,-3.1170658917069165,0.900538911089262,0.18877551020408198,3.5714285714285716,4.0,3.007275948982144,128.90006195896507,2.882840742786417,1.128752499138914
11.3,-9.43952802359882,-0.8329287075469236,12.8,-11.327433628318584,4.71976401179941,38.4,-10.3834808259587,3.1257703952014047,-10.3834808259587,-3.1257703952014047,0.9013741846937252,0.1826590548070939,3.596404731932016,4.0357142857142865,3.0480272267376725,126.06212139998613,2.903853348743455,1.1286893193301035
11.4,-9.35672514619883,-0.8358469272596696,12.8,-11.228070175438596,4.678362573099415,38.4,-10.292397660818711,3.1342236063032702,-10.292397660818711,-3.1342236063032702,0.9021955588408992,0.17651196297094598,3.6212236377868785,4.071428571428572,3.0886359823744485,123.32452321216599,2.9249302280968226,1.1286277782683853
11.5,-9.27536231884058,-0.8386893509766855,12.8,-11.130434782608695,4.63768115942029,38.4,-10.202898550724639,3.1424353980700865,-10.202898550724639,-3.1424353980700865,0.9030033772786038,0.1703347250725365,3.645884933833417,4.107142857142858,3.129105270337968,120.68234992711977,2.946070207977476,1.128567819887971
11.6,-9.195402298850574,-0.8414585810543005,12.8,-11.03448275862069,4.597701149425287,38.4,-10.114942528735632,3.1504151477413225,-10.114942528735632,-3.1504151477413225,0.9037979725236421,0.1641278307643627,3.6703882836866604,4.142857142857143,3.1694380383057825,118.1309932892018,2.9672721165445792,1.1285093904956727
11.7,-9.116809116809117,-0.844157109114374,12.8,-10.94017094017094,4.5584045584045585,38.4,-10.028490028490026,3.1581717673268894,-10.028490028490026,-3.1581717673268894,0.9045796663162853,0.15789176889871387,3.694733369611495,4.178571428571429,3.2096371316393495,115.66613054041824,2.9885347830842273,1.128452438651645
11.8,-9.03954802259887,-0.8467873216508666,12.8,-10.847457627118644,4.519774011299435,38.4,-9.943502824858754,3.165713731941405,-9.943502824858754,-3.165713731941405,0.9053487700528914,0.15162702745292253,3.7189198923944486,4.214285714285714,3.2497052976179437,113.28370284648862,3.0098570381137266,1.1283969150570525
