group,cf_over_m,cr_over_m,m_over_iz,scaled_jacobian_condition,cost,multistart_relative_difference
global,50.36523815268594,52.46713340781388,0.39392671263235773,1.3300020334011715,29.93658156162416,8.838173580314295e-08
nominal,53.139856605418316,53.26872772199928,0.5522779088742287,1.726140269948631,1.3482944971567823,1.4466645951308485e-09
heavy,48.28697060532518,45.94201598647973,0.5488231067986101,1.7305895495650303,1.3436739906910584,4.43965320975168e-10
handling,50.62725931442181,60.209053486132994,0.6075418437641226,1.8696827528156692,1.3178670870675149,1.3327747106605555e-09
