method,tracking,tracking_std,worst_client,parameter_error,models,models_min,models_max,feasible_rate,rho,steering_rms
FixedK3,0.007554472013241989,0.00026471820880800983,0.010499589129770727,0.046866555086624635,3.0,3,3,1.0,0.968987718134302,0.8045375261161661
Global,0.011700052323087056,0.0004864703571385251,0.018969043724233824,0.12986574837961473,1.0,1,1,1.0,0.9676443215784308,0.8045458684167948
LearnedKControl,0.007757213947720021,0.0008148525581649041,0.011256029656509531,0.04967008876531947,2.9,2,3,1.0,0.9689804972797637,0.8045351998714253
LearnedKParameter,0.007554472013241989,0.00026471820880800983,0.010499589129770727,0.046866555086624635,3.0,3,3,1.0,0.968987718134302,0.8045375261161661
Local,0.006692361422613724,4.947347259014418e-05,0.007397182715694966,0.02304443521660115,30.0,30,30,1.0,0.9692600687300238,0.8045343439344539
OracleFamily,0.007556383665583031,0.00026471219930769763,0.010509906283043883,0.04694924157958348,3.0,3,3,1.0,0.9689994258363864,0.8045376907197929
