severity,method,mean,std,worst_family_mean,min_feasible,max_rho
near_linear,M1,0.018020673446245465,0.0003241979802928848,0.02164737093672861,1.0,0.9624545219496642
near_linear,M2,0.016194168848554093,0.00031952703940581206,0.01663377503921225,1.0,0.9652507009752631
near_linear,M3,0.015475283272883208,0.0003047763503511018,0.018038536634968797,1.0,0.9647794529495655
near_linear,M4,0.013208418395293181,0.0001953886886996147,0.01363015595863976,1.0,0.9667918498457402
near_linear,M5,0.016038678248854795,0.00027308472275499636,0.01659875540803743,1.0,0.9667918498457402
near_linear,LTI_all,0.017079052789577366,0.0011530047530642425,0.025993662792378365,1.0,0.9638593803843837
near_linear,LTI_near,0.01606089049668244,0.0010696961335094203,0.024153629331065983,1.0,0.9625296760404495
near_linear,physics_M4,0.013195365837941463,0.00020702513714827278,0.013582287763477219,1.0,0.966786132062042
moderate,M1,0.0372325822226713,0.0006716062687538547,0.0448748795510468,1.0,0.9624545219496642
moderate,M2,0.033410802848727245,0.0006620692124701487,0.03430375279823616,1.0,0.9652507009752631
moderate,M3,0.032218647547378396,0.0006273322491944712,0.03765933209607118,1.0,0.9647794529495655
moderate,M4,0.02756686860954794,0.00040677480383935217,0.028420592071301758,1.0,0.9667918498457402
moderate,M5,0.03342135064123163,0.0005674403833747126,0.034551553794723584,1.0,0.9667918498457402
moderate,LTI_all,0.035279076241524085,0.002415202289446236,0.05430371415087274,1.0,0.9638593803843837
moderate,LTI_near,0.033143811937229664,0.0022411263601021516,0.050442800754135916,1.0,0.9625296760404495
moderate,physics_M4,0.027520793199852133,0.0004281859030120332,0.02830357765238476,1.0,0.966786132062042
strong,M1,0.05991094224376649,0.0010788931485075548,0.07262752435773365,1.0,0.9624545219496642
strong,M2,0.05380369894218179,0.0010685612098059556,0.05522959580028406,1.0,0.9652507009752631
strong,M3,0.052507730343085625,0.0009937096792085294,0.06177827080234659,1.0,0.9647794529495655
strong,M4,0.045321796303089384,0.0006752835999211333,0.046642677969831854,1.0,0.9667918498457402
strong,M5,0.054678815434389925,0.0009301261559961019,0.056440091896117206,1.0,0.9667918498457402
strong,LTI_all,0.05695181744031923,0.003992785050689828,0.08915583820560978,1.0,0.9638593803843837
strong,LTI_near,0.05344444633549358,0.0037059989926338834,0.08275937748005088,1.0,0.9625296760404495
strong,physics_M4,0.04520299731617487,0.0007043909246265381,0.04641441120314781,1.0,0.966786132062042
