case,method,client,family,rho,worst_speed,mean_relative_a,mean_relative_b,tracking_rmse_deg_s,beta_rms_deg,steering_rms_deg,peak_steering_deg,peak_steering_rate_deg_s,peak_lateral_accel_mps2,peak_force_utilization,finite,feasible
nonlinear_all_original,M1,nominal_00,nominal,0.9638081487747413,12.0,0.061895837584146136,0.7975471687435407,0.07785866244519048,0.31587867416002624,1.0114268252918648,2.2590203763504904,2.00808566023809,3.1439458759132966,0.36228663037450237,True,True
nonlinear_all_original,M1,nominal_01,nominal,0.9633141996865892,12.0,0.05582122343220719,0.8153573797046576,0.0690361905480655,0.3441274909579747,0.9117174928131878,2.0751334393866885,1.8543183623996453,3.1416558408537183,0.36242443476444597,True,True
nonlinear_all_original,M1,nominal_02,nominal,0.9634826229919076,12.0,0.05640123852431077,0.817627960383832,0.06917281335384985,0.3430890396336205,0.928747097793019,2.1060677295693737,1.879723730013063,3.1430336346313417,0.3622982385491976,True,True
nonlinear_all_original,M1,nominal_03,nominal,0.9633869947895908,12.0,0.054073338733472684,0.8023073046062662,0.07249625232339088,0.3416506549765875,0.961762842900277,2.168251548624628,1.9327883684867255,3.138098141915484,0.36209116064994534,True,True
nonlinear_all_original,M1,nominal_04,nominal,0.9633290575841106,12.0,0.053766048005781025,0.8040205873489482,0.07168823488661008,0.3479179718482925,0.955558408489396,2.156816816524798,1.923265160693217,3.1369804375510832,0.36198811078609694,True,True
nonlinear_all_original,M1,nominal_05,nominal,0.963846672774684,12.0,0.06189161050044533,0.8104860493006033,0.07404494556744681,0.32120092153498825,0.9837208627722915,2.207132581714218,1.9639056278755207,3.146775228918518,0.36236923539041116,True,True
nonlinear_all_original,M1,nominal_06,nominal,0.9636084960649711,28.0,0.053036604630252206,0.8074678309878492,0.06980201971869732,0.3751314063911655,0.9344266130090249,2.118189875218629,1.8915294214379346,3.130633624932966,0.36148224782296345,True,True
nonlinear_all_original,M1,nominal_07,nominal,0.9632476825069443,28.0,0.053604530416186846,0.8047362328534788,0.07031506823161048,0.3595456922438405,0.91741128376203,2.0870143502144476,1.8658867845014164,3.1335748828336034,0.3620222300675009,True,True
nonlinear_all_original,M1,nominal_08,nominal,0.9637036820665468,12.0,0.058143398001669205,0.8082778598713769,0.07335859268804977,0.32141877044746897,0.9668749877036247,2.176523513719378,1.9386771249798622,3.145845878740219,0.3625032804300382,True,True
nonlinear_all_original,M1,nominal_09,nominal,0.9632204373732441,28.0,0.05403497098582163,0.8077645815696554,0.06985875155568537,0.3589872443812276,0.9171225102023368,2.0861394334321446,1.8647568787299138,3.1348917316835627,0.3620337523509753,True,True
nonlinear_all_original,M1,heavy_00,heavy,0.9662312331360361,28.0,0.05431078292724631,0.7805845851865053,0.07818156196498383,0.4708463865777396,0.909604884223151,2.0775925058889175,1.8646211014513687,3.0933804205059388,0.3593391237101968,True,True
nonlinear_all_original,M1,heavy_01,heavy,0.9652601757389218,28.0,0.04807141072838356,0.7824401597853334,0.07423474014015731,0.4390118142777754,0.9570502900510238,2.163756209811298,1.9333929066101119,3.1037577090898556,0.35974461928198903,True,True
nonlinear_all_original,M1,heavy_02,heavy,0.9646662723559043,28.0,0.05001371415424039,0.7827979519781155,0.07385872393135502,0.4109419564628756,0.9356221526259263,2.123951915115533,1.9003503507605648,3.1114664575612614,0.3606757444872082,True,True
nonlinear_all_original,M1,heavy_03,heavy,0.9660791280796932,28.0,0.05108382212280688,0.7722725636643106,0.07834278725733472,0.4676170780174223,0.9310055992966912,2.1178916582493597,1.8984294264693429,3.0914993404714126,0.3592767214537438,True,True
nonlinear_all_original,M1,heavy_04,heavy,0.9660594239492837,28.0,0.05547463967858524,0.7863367596344325,0.07692566559160535,0.4620272934291222,0.9011874328372212,2.06124421300392,1.850207812624454,3.0979347960502692,0.35961814905196454,True,True
nonlinear_all_original,M1,heavy_05,heavy,0.964880162549315,28.0,0.0504890687215292,0.7905023615373291,0.07277390677976582,0.42011716734639093,0.9349293393704698,2.121912844438437,1.8977665037745048,3.1118474708294017,0.36040318345504224,True,True
nonlinear_all_original,M1,heavy_06,heavy,0.9653619234260978,28.0,0.046396066577149606,0.7784727137457744,0.07472026090827122,0.4472572455155674,0.9787710401380255,2.2041364712418314,1.9669462299580498,3.100286148815399,0.35934149027506007,True,True
nonlinear_all_original,M1,heavy_07,heavy,0.9656760055726293,28.0,0.04603598188539938,0.7695508483690475,0.07674302387711206,0.45881869286482907,0.9739131979444778,2.1965817013553037,1.962227014468077,3.093725515305996,0.35912605559185373,True,True
