seed,epsilon,draw,tracking,feasible,rho,steering_rms,peak_rate
71,0.5,0,2.5297570151996704,1.0,0.9820503409921588,1.0650062436465817,4.082706332073229
71,0.5,1,3.2874377189189747,1.0,0.9883856930656996,1.0897590248019116,6.392152061090385
71,0.5,2,1.5601276898648704,1.0,1.2248916564876833,0.9653680199374929,3.168654372065538
71,0.5,3,1.7680386401064172,1.0,1.5433798793386475,0.9829796134951103,395.4461494374722
71,0.5,4,1.6153605443749903,1.0,1.9668297588619303,1.479996459742209,1085.754728903329
71,0.5,5,1.4041430637927017,1.0,0.9907180867119892,0.8951806615094284,1.962078603565316
71,0.5,6,1.4662862839643345,0.0,4.779218428753576,8.372446455068475,3989.470776790505
71,0.5,7,1.3889422676618468,1.0,1.642341943624305,0.9617818305107663,640.328222682174
71,0.5,8,1.009871657627543,1.0,0.9869282823510654,0.8692556175171027,1.3275890394539245
71,0.5,9,0.6120929220599873,1.0,0.9780159256103904,0.8509127364886895,1.4911889656400383
71,1,0,1.5534615543123955,1.0,0.9873931683953188,0.8994513715167243,3.0384865299762667
71,1,1,0.14251421735218261,1.0,0.9799263383577,0.8136982190875351,1.1735740928778653
71,1,2,0.5837648389372307,1.0,0.989177117226272,0.8509283621024228,1.4196693941372391
71,1,3,0.10961996444816385,1.0,0.9649426054871996,0.8121389487117939,1.1696336746918463
71,1,4,2.93294565436941,1.0,0.9956649875531473,1.0757144246259926,12.096421582713576
71,1,5,0.8736771171322205,0.0,3.8754671381855994,4.642867216808349,3128.005760282121
71,1,6,0.1023069527700496,1.0,0.9808037325447702,0.8075300127052276,1.17986184259893
71,1,7,2.9084095342194165,1.0,2.271102200543309,2.4315021125139826,1418.5384366035137
71,1,8,0.05451922613665198,1.0,0.9672547946031632,0.8091993755140332,1.1733210838383374
71,1,9,2.0577814940130357,1.0,0.992912800506582,0.9631138769528313,8.665376162698914
71,2,0,0.04601997032961861,1.0,0.9736689570761328,0.8077029522241321,1.1694394078899464
71,2,1,0.2743775497103727,1.0,0.9751848602052532,0.8166984674534283,1.1799350942649365
71,2,2,0.8979934244228521,1.0,0.9863877994302837,0.8486387449973674,1.5441935143086891
71,2,3,0.09792243989321384,1.0,0.9743882979018588,0.8082350384753485,1.1545926204703922
71,2,4,0.22061226806861214,1.0,0.9776440678126774,0.8152568489875195,1.1837832897368012
71,2,5,0.11534986350592989,1.0,0.9718481200570674,0.8114426897725584,1.1754515939681842
71,2,6,0.14328639118531505,1.0,0.9779627182380652,0.8120340510311678,1.180924107201771
71,2,7,0.8853737265832484,1.0,0.9871707934696344,0.8487385076504164,1.3460257216804266
71,2,8,0.9544358067022303,1.0,0.9853242069818184,0.8641613691186627,1.4670367732918934
