seed,severity,scenario,method,tracking,effort,peak_rate,feasible,switches,rho
11,near_linear,all,M4,0.01321245399877647,0.3944113618910549,1.1063436459737885,1.0,0.0,0.9664057472476054
11,near_linear,all,LTI_1,0.015193429281388476,0.39409741149473115,1.1000783051985654,1.0,0.0,0.9657640777931242
11,near_linear,all,LTI_2,0.015985443646432645,0.3943467922984446,16.674301266261594,1.0,1.3333333333333333,0.9656767107015235
11,near_linear,all,LTI_3,0.01591374061692935,0.3945288860624213,14.820293063816237,1.0,2.3333333333333335,0.9660734104962078
11,near_linear,all,LTI_5,0.0164456861616776,0.3945561447432222,19.447064546474618,1.0,4.333333333333333,0.9662856584687239
11,near_linear,all,LTI_8,0.014033159996049763,0.3943903231513555,19.663149308964364,1.0,6.666666666666667,0.9662642311632343
11,near_linear,all,LTI_10,0.013596283173476713,0.39440095371861805,7.002025683140822,1.0,8.0,0.9662934209836377
11,near_linear,previous_s_curve,M4,0.016471465902153724,0.48917986188650864,1.1063436459737885,1.0,0.0,0.9664057472476054
11,near_linear,previous_s_curve,LTI_1,0.02114262708857054,0.4882570535145333,1.1000783051985654,1.0,0.0,0.9657640777931242
11,near_linear,previous_s_curve,LTI_2,0.022513400011396935,0.48900442951488304,16.674301266261594,1.0,2.0,0.9656767107015235
11,near_linear,previous_s_curve,LTI_3,0.021558747227605556,0.4894120587454933,14.820293063816237,1.0,4.0,0.9660734104962078
11,near_linear,previous_s_curve,LTI_5,0.024669087144652102,0.4896838618659381,19.447064546474618,1.0,7.0,0.9662856584687239
11,near_linear,previous_s_curve,LTI_8,0.017487643165215623,0.4890155432914579,19.663149308964364,1.0,10.0,0.9662642311632343
11,near_linear,previous_s_curve,LTI_10,0.017390767604686445,0.4892201253207605,7.002025683140822,1.0,12.0,0.9662934209836377
11,near_linear,shifted_double_lane,M4,0.01224049551517602,0.3777932149003014,0.920186753445047,1.0,0.0,0.9664057472476054
11,near_linear,shifted_double_lane,LTI_1,0.013821341263711538,0.37799498961622396,0.9203287791035613,1.0,0.0,0.9657640777931242
11,near_linear,shifted_double_lane,LTI_2,0.01484285147597682,0.3779574059409807,7.4169589999406424,1.0,2.0,0.9656767107015235
11,near_linear,shifted_double_lane,LTI_3,0.013466477566567285,0.3776544966697145,13.896687224517695,1.0,3.0,0.9660734104962078
11,near_linear,shifted_double_lane,LTI_5,0.013901517416719883,0.3777755036429611,9.964741857015156,1.0,6.0,0.9662856584687239
11,near_linear,shifted_double_lane,LTI_8,0.013260238509162784,0.37780985970689446,4.588805175935237,1.0,10.0,0.9662642311632343
11,near_linear,shifted_double_lane,LTI_10,0.01268534208786018,0.37779555852859553,3.5789743738810125,1.0,12.0,0.9662934209836377
11,near_linear,constant_22,M4,0.010925400578999664,0.31626100888635483,0.9580056226576007,1.0,0.0,0.9664057472476054
11,near_linear,constant_22,LTI_1,0.010616319491883356,0.3160401913534362,0.9572470262331715,1.0,0.0,0.9657640777931242
11,near_linear,constant_22,LTI_2,0.010600079451924194,0.31607854143946995,0.9573812608778199,1.0,0.0,0.9656767107015235
11,near_linear,constant_22,LTI_3,0.01271599705661522,0.3165201027720562,0.9588843167346457,1.0,0.0,0.9660734104962078
11,near_linear,constant_22,LTI_5,0.010766453923660813,0.31620906872076743,0.9578330037321859,1.0,0.0,0.9662856584687239
11,near_linear,constant_22,LTI_8,0.01135159831377088,0.31634556645571393,0.9582982733347344,1.0,0.0,0.9662642311632343
11,near_linear,constant_22,LTI_10,0.010712739827883509,0.31618717730649804,0.9577577430193522,1.0,0.0,0.9662934209836377
11,moderate,all,M4,0.02757170579899448,0.7933924665002466,2.2222321178888795,1.0,0.0,0.9664057472476054
11,moderate,all,LTI_1,0.03133528046785166,0.7927460065831013,2.208069060769781,1.0,0.0,0.9657640777931242
11,moderate,all,LTI_2,0.03291236330605915,0.793265112850193,33.49749859094887,1.0,1.3333333333333333,0.9656767107015235
11,moderate,all,LTI_3,0.03287411024462743,0.793637272604616,29.832755215874208,1.0,2.3333333333333335,0.9660734104962078
11,moderate,all,LTI_5,0.0338657526696824,0.7936958958086058,39.00504496218448,1.0,4.333333333333333,0.9662856584687239
11,moderate,all,LTI_8,0.02920979871745736,0.793353058635266,38.86390200077003,1.0,6.666666666666667,0.9662642311632343
11,moderate,all,LTI_10,0.028257501050323534,0.7933711368245295,14.034104411534758,1.0,8.0,0.9662934209836377
11,moderate,previous_s_curve,M4,0.034532561471797014,0.9827055839278762,2.2222321178888795,1.0,0.0,0.9664057472476054
11,moderate,previous_s_curve,LTI_1,0.043303537044010305,0.9807922277845704,2.208069060769781,1.0,0.0,0.9657640777931242
11,moderate,previous_s_curve,LTI_2,0.0460466238378028,0.9823421780524992,33.49749859094887,1.0,2.0,0.9656767107015235
11,moderate,previous_s_curve,LTI_3,0.04460679916921759,0.9831960746944566,29.832755215874208,1.0,4.0,0.9660734104962078
11,moderate,previous_s_curve,LTI_5,0.05073453642235544,0.9837622267166739,39.00504496218448,1.0,7.0,0.9662856584687239
11,moderate,previous_s_curve,LTI_8,0.03646017929964877,0.9823746476274565,38.86390200077003,1.0,10.0,0.9662642311632343
11,moderate,previous_s_curve,LTI_10,0.03624742626227214,0.9827879095466451,14.034104411534758,1.0,12.0,0.9662934209836377
11,moderate,shifted_double_lane,M4,0.02600969146699124,0.7623973664241093,1.8785104374588084,1.0,0.0,0.9664057472476054
11,moderate,shifted_double_lane,LTI_1,0.02914705613557818,0.7628249808561407,1.8789484134724501,1.0,0.0,0.9657640777931242
11,moderate,shifted_double_lane,LTI_2,0.031166930921502644,0.7627534029573388,14.830844875013366,1.0,2.0,0.9656767107015235
11,moderate,shifted_double_lane,LTI_3,0.028259663622639188,0.7621090900299254,27.953264838688096,1.0,3.0,0.9660734104962078
