design,client_id,family,method,max_small_signal_spectral_radius,small_signal_stable,seed,test_seed
held_out,heavy_00,heavy,M4,0.9641341224382233,True,18,118
held_out,heavy_00,heavy,M5,0.9641341224382233,True,18,118
held_out,heavy_00,heavy,LTI_all,0.9582768188755422,True,18,118
held_out,heavy_00,heavy,LTI_near,0.9567259398320981,True,18,118
held_out,heavy_00,heavy,physics_M4,0.9641236385056546,True,18,118
held_out,heavy_01,heavy,M1,0.9600009365118193,True,18,118
held_out,heavy_01,heavy,M2,0.9630475538278196,True,18,118
held_out,heavy_01,heavy,M3,0.9626577449371678,True,18,118
held_out,heavy_01,heavy,M4,0.9647636912676241,True,18,118
held_out,heavy_01,heavy,M5,0.9647636912676241,True,18,118
held_out,heavy_01,heavy,LTI_all,0.9575900012910548,True,18,118
held_out,heavy_01,heavy,LTI_near,0.9559772037709886,True,18,118
held_out,heavy_01,heavy,physics_M4,0.9647477833629751,True,18,118
held_out,heavy_02,heavy,M1,0.9624545219496642,True,18,118
held_out,heavy_02,heavy,M2,0.9652507009752631,True,18,118
held_out,heavy_02,heavy,M3,0.9647794529495655,True,18,118
held_out,heavy_02,heavy,M4,0.9667918498457402,True,18,118
held_out,heavy_02,heavy,M5,0.9667918498457402,True,18,118
held_out,heavy_02,heavy,LTI_all,0.9592458849555079,True,18,118
held_out,heavy_02,heavy,LTI_near,0.9576320273401155,True,18,118
held_out,heavy_02,heavy,physics_M4,0.966786132062042,True,18,118
held_out,heavy_03,heavy,M1,0.960566473827701,True,18,118
held_out,heavy_03,heavy,M2,0.9642345548126576,True,18,118
held_out,heavy_03,heavy,M3,0.9634753176125281,True,18,118
held_out,heavy_03,heavy,M4,0.9659336908623807,True,18,118
held_out,heavy_03,heavy,M5,0.9659336908623807,True,18,118
held_out,heavy_03,heavy,LTI_all,0.9599384954786793,True,18,118
held_out,heavy_03,heavy,LTI_near,0.958400418392011,True,18,118
held_out,heavy_03,heavy,physics_M4,0.9659332350389148,True,18,118
held_out,heavy_04,heavy,M1,0.96094433091235,True,18,118
held_out,heavy_04,heavy,M2,0.9640348733389337,True,18,118
held_out,heavy_04,heavy,M3,0.9635336380353684,True,18,118
held_out,heavy_04,heavy,M4,0.9656880952953958,True,18,118
held_out,heavy_04,heavy,M5,0.9656880952953958,True,18,118
held_out,heavy_04,heavy,LTI_all,0.958693532617605,True,18,118
held_out,heavy_04,heavy,LTI_near,0.9571013942611606,True,18,118
held_out,heavy_04,heavy,physics_M4,0.9656794395762227,True,18,118
held_out,heavy_05,heavy,M1,0.9595322031326351,True,18,118
held_out,heavy_05,heavy,M2,0.9633930252940427,True,18,118
held_out,heavy_05,heavy,M3,0.9626366472209654,True,18,118
held_out,heavy_05,heavy,M4,0.9651675773010479,True,18,118
held_out,heavy_05,heavy,M5,0.9651675773010479,True,18,118
held_out,heavy_05,heavy,LTI_all,0.9593264818549455,True,18,118
held_out,heavy_05,heavy,LTI_near,0.9577762189233116,True,18,118
held_out,heavy_05,heavy,physics_M4,0.9651642930674524,True,18,118
held_out,heavy_06,heavy,M1,0.9596277552049963,True,18,118
held_out,heavy_06,heavy,M2,0.9626729441964146,True,18,118
held_out,heavy_06,heavy,M3,0.9623203251037163,True,18,118
held_out,heavy_06,heavy,M4,0.964416274124915,True,18,118
held_out,heavy_06,heavy,M5,0.964416274124915,True,18,118
held_out,heavy_06,heavy,LTI_all,0.9571925701239481,True,18,118
held_out,heavy_06,heavy,LTI_near,0.9555673406993607,True,18,118
held_out,heavy_06,heavy,physics_M4,0.9643976019649434,True,18,118
held_out,heavy_07,heavy,M1,0.9606943209519957,True,18,118
held_out,heavy_07,heavy,M2,0.9635826296004824,True,18,118
held_out,heavy_07,heavy,M3,0.9632121392563241,True,18,118
held_out,heavy_07,heavy,M4,0.9652445061206424,True,18,118
held_out,heavy_07,heavy,M5,0.9652445061206424,True,18,118
held_out,heavy_07,heavy,LTI_all,0.9577163436262863,True,18,118
held_out,heavy_07,heavy,LTI_near,0.9560732655709356,True,18,118
held_out,heavy_07,heavy,physics_M4,0.9652300171707879,True,18,118
held_out,heavy_08,heavy,M1,0.9606737815515877,True,18,118
held_out,heavy_08,heavy,M2,0.9641921310804269,True,18,118
held_out,heavy_08,heavy,M3,0.9634956769864151,True,18,118
held_out,heavy_08,heavy,M4,0.9658814323785595,True,18,118
held_out,heavy_08,heavy,M5,0.9658814323785595,True,18,118
held_out,heavy_08,heavy,LTI_all,0.9596318954550755,True,18,118
held_out,heavy_08,heavy,LTI_near,0.9580684098638245,True,18,118
held_out,heavy_08,heavy,physics_M4,0.9658791225009713,True,18,118
held_out,heavy_09,heavy,M1,0.9622257660172562,True,18,118
held_out,heavy_09,heavy,M2,0.9649743853394249,True,18,118
held_out,heavy_09,heavy,M3,0.9645474044149087,True,18,118
held_out,heavy_09,heavy,M4,0.9665283064835989,True,18,118
held_out,heavy_09,heavy,M5,0.9665283064835989,True,18,118
held_out,heavy_09,heavy,LTI_all,0.9587731677044233,True,18,118
held_out,heavy_09,heavy,LTI_near,0.9571265203330991,True,18,118
held_out,heavy_09,heavy,physics_M4,0.9665204039935154,True,18,118
held_out,handling_00,handling,M1,0.9554030195058177,True,18,118
held_out,handling_00,handling,M2,0.9509319238336531,True,18,118
held_out,handling_00,handling,M3,0.958238029128016,True,18,118
held_out,handling_00,handling,M4,0.9539901454132836,True,18,118
held_out,handling_00,handling,M5,0.9539901454132836,True,18,118
held_out,handling_00,handling,LTI_all,0.9566640495375017,True,18,118
held_out,handling_00,handling,LTI_near,0.957085137920417,True,18,118
held_out,handling_00,handling,physics_M4,0.9539701948614976,True,18,118
held_out,handling_01,handling,M1,0.9547307405100709,True,18,118
held_out,handling_01,handling,M2,0.9500209462341549,True,18,118
held_out,handling_01,handling,M3,0.9576347019142859,True,18,118
held_out,handling_01,handling,M4,0.9532151940807698,True,18,118
held_out,handling_01,handling,M5,0.9532151940807698,True,18,118
held_out,handling_01,handling,LTI_all,0.9558919609097086,True,18,118
held_out,handling_01,handling,LTI_near,0.956306116430753,True,18,118
held_out,handling_01,handling,physics_M4,0.9531663201297419,True,18,118
held_out,handling_02,handling,M1,0.9564701058182935,True,18,118
held_out,handling_02,handling,M2,0.9523709840660156,True,18,118
held_out,handling_02,handling,M3,0.9591959928776445,True,18,118
held_out,handling_02,handling,M4,0.9552112719403708,True,18,118
held_out,handling_02,handling,M5,0.9552112719403708,True,18,118
held_out,handling_02,handling,LTI_all,0.9578822168584916,True,18,118
held_out,handling_02,handling,LTI_near,0.9583137547874869,True,18,118
held_out,handling_02,handling,physics_M4,0.9552321728879629,True,18,118
held_out,handling_03,handling,M1,0.9560534293758083,True,18,118
held_out,handling_03,handling,M2,0.9517346656989052,True,18,118
held_out,handling_03,handling,M3,0.9589322298505989,True,18,118
held_out,handling_03,handling,M4,0.9547687915996845,True,18,118
held_out,handling_03,handling,M5,0.9547687915996845,True,18,118
held_out,handling_03,handling,LTI_all,0.957701556760604,True,18,118
held_out,handling_03,handling,LTI_near,0.9581651341388404,True,18,118
held_out,handling_03,handling,physics_M4,0.9548245367426506,True,18,118
held_out,handling_04,handling,M1,0.9559695006899241,True,18,118
