phase,k_mean,k_min,k_max,train_ari,test_ari,entropy
confirmation,2.8,2,3,0.8566612347822884,0.8198601238600727,0.046310262707211294
development,2.9,2,3,0.9157662430410924,0.9350186941131314,0.0237495806371028
