profile,family,severity,scale,reference_peak_deg_s,tracking_rmse_deg_s,peak_front_slip_deg,peak_rear_slip_deg,peak_lateral_accel_mps2,peak_force_utilization,fraction_outside_near_linear,peak_steering_deg,finite
low_to_high,nominal,near_linear,0.5,4.867353264636831,0.014714435180905538,1.3947074826937003,1.0772139236515474,2.246111561987441,0.2589647713843556,0.07583333333333334,0.8393869627800288,True
low_to_high,heavy,near_linear,0.5,4.867353264636831,0.01584204919039048,1.500582678928169,1.2243664739005793,2.213402223758327,0.2560827692188813,0.0725,0.8230724549799081,True
low_to_high,handling,near_linear,0.5,4.867353264636831,0.014954581465783177,1.496021418747766,0.939986235120288,2.275816878374463,0.261531378989589,0.0775,1.0644305325445016,True
low_to_high,nominal,moderate,1.0,9.734706529273662,0.031128334191326174,2.9386968044498816,2.29365371831523,4.420589290819883,0.5111216885794654,0.3675,1.7154590734693376,True
low_to_high,heavy,moderate,1.0,9.734706529273662,0.03336064174215643,3.1452194332821093,2.596034201932052,4.347461812736154,0.5045069378609739,0.36666666666666664,1.6570001850571678,True
low_to_high,handling,moderate,1.0,9.734706529273662,0.03177157089577134,3.1690102439076266,2.0097549060439173,4.488622644097615,0.5171717289946084,0.3675,2.1916144836291975,True
low_to_high,nominal,strong,1.5,14.602059793910493,0.05499715797507315,4.825610977708926,3.8805776678942134,6.379088122556415,0.741874614414167,0.5066666666666667,2.685345384581349,True
low_to_high,heavy,strong,1.5,14.602059793910493,0.05822666094606776,5.104726099935767,4.3466875163559076,6.257341451269184,0.7305130185690146,0.5091666666666667,2.5835832209869536,True
low_to_high,handling,strong,1.5,14.602059793910493,0.05691924749625192,5.271138237348288,3.438093532044414,6.497493501393941,0.7527748148863779,0.505,3.473373965059413,True
high_to_low,nominal,near_linear,0.5,4.867353264636831,0.015820701571263626,0.975178260363029,0.7457989110760619,1.5763800063236704,0.18143793877739778,0.0,1.072401957325968,True
high_to_low,heavy,near_linear,0.5,4.867353264636831,0.017131939306402912,1.0466888891181718,0.8477081117154003,1.5501227298543165,0.1793765477031312,0.0,1.0600526501104583,True
high_to_low,handling,near_linear,0.5,4.867353264636831,0.01586977718888912,1.0483739475254823,0.6510639090989225,1.6007996612865847,0.1833558470778267,0.0,1.20466400849191,True
high_to_low,nominal,moderate,1.0,9.734706529273662,0.033196349528606006,1.9987560913445623,1.5359695930188342,3.128554890997633,0.36084230771511283,0.2525,2.156964704645955,True
high_to_low,heavy,moderate,1.0,9.734706529273662,0.03591990125423503,2.1400974566676236,1.7426419380161158,3.073355545868064,0.3564202649010632,0.25,2.13202769064656,True
high_to_low,handling,moderate,1.0,9.734706529273662,0.03329434770899967,2.154220771812676,1.3431772474512682,3.1804057874901166,0.3649623749738111,0.255,2.4275008080408846,True
high_to_low,nominal,strong,1.5,14.602059793910493,0.05478058339412247,3.128032830962393,2.427790946895076,4.622105549013104,0.5350863970064652,0.4666666666666667,3.2699289578748787,True
high_to_low,heavy,strong,1.5,14.602059793910493,0.05916107496666805,3.333458923890727,2.744449404258825,4.533362847606095,0.527793694382482,0.4683333333333333,3.2316667530209653,True
high_to_low,handling,strong,1.5,14.602059793910493,0.05496009617355719,3.3881521853709327,2.1309948938878764,4.7068569432282485,0.5420159833166708,0.465,3.6918436842196773,True
