seed,test_seed,scenario,severity,method,client,family,switches,tracking,peak_steering,peak_acceleration,peak_steering_rate,beta_rms,steering_rms,feasible
17,117,previous_s_curve,near_linear,M4,nominal_00,nominal,0,0.015810784678644697,1.0578150569238587,1.5731998657845756,0.9520277160624249,0.17591194374681726,0.4646150572635325,1.0
17,117,previous_s_curve,near_linear,M4,nominal_01,nominal,0,0.015934661192190332,1.0490456118770353,1.5757479856123706,0.9449230711114643,0.16905219923286585,0.45991951498467554,1.0
17,117,previous_s_curve,near_linear,M4,nominal_02,nominal,0,0.016656005696391692,1.0289078693582403,1.5767120530501855,0.9284595426021677,0.16629935735613197,0.44905351679057315,1.0
17,117,previous_s_curve,near_linear,M4,nominal_03,nominal,0,0.015442015039589292,1.056069418415653,1.583648194845761,0.9511447795530034,0.14707071379476733,0.4638430919206728,1.0
17,117,previous_s_curve,near_linear,M4,nominal_04,nominal,0,0.016588652532650575,1.049888239106919,1.5703652503911292,0.9457929820878471,0.1815818455709106,0.46017951448152566,1.0
17,117,previous_s_curve,near_linear,M4,nominal_05,nominal,0,0.015006742505785362,1.0739205462230232,1.5781022615367246,0.9652587890361667,0.16370376617632457,0.4735020718618118,1.0
17,117,previous_s_curve,near_linear,M4,nominal_06,nominal,0,0.016272818175815842,1.120113911669863,1.580296986319623,1.0047205440314952,0.15165911763120685,0.49830541532226913,1.0
17,117,previous_s_curve,near_linear,M4,nominal_07,nominal,0,0.017062634459227167,1.0458032525168568,1.5721186024829867,0.9431304513727218,0.17420754682836304,0.45787531453069236,1.0
17,117,previous_s_curve,near_linear,M4,nominal_08,nominal,0,0.015930305247790565,1.1296539251870397,1.5803548898747741,1.012053891058508,0.15416701231565574,0.5036383569582104,1.0
17,117,previous_s_curve,near_linear,M4,nominal_09,nominal,0,0.01608941458288463,1.1085284180115904,1.5760530673183015,0.9949319848765548,0.16271421375257608,0.4919036184136697,1.0
17,117,previous_s_curve,near_linear,M4,heavy_00,heavy,0,0.017881038803709483,1.116114287255078,1.5558960275747145,1.0024407851192276,0.1951938553012966,0.4949768562537529,1.0
17,117,previous_s_curve,near_linear,M4,heavy_01,heavy,0,0.017689095450469663,1.071829448691384,1.5444766082672738,0.9653732526252367,0.226954542220051,0.4709092152927912,1.0
17,117,previous_s_curve,near_linear,M4,heavy_02,heavy,0,0.01695538971064103,1.0679698405865392,1.5500748327791083,0.9616657029310605,0.21613005090834947,0.4691298825102208,1.0
17,117,previous_s_curve,near_linear,M4,heavy_03,heavy,0,0.017097794449313367,1.1287665294432676,1.5534930988620121,1.0113474717715274,0.20613137385177988,0.5021106566169841,1.0
17,117,previous_s_curve,near_linear,M4,heavy_04,heavy,0,0.01715762521811178,1.1020744861846674,1.5554262027989638,0.9902626922524841,0.19953352341342648,0.48754023057061446,1.0
17,117,previous_s_curve,near_linear,M4,heavy_05,heavy,0,0.0172577346635891,1.0683598489714619,1.5480739976667328,0.9622320370765274,0.2199177732976385,0.4692269577404122,1.0
17,117,previous_s_curve,near_linear,M4,heavy_06,heavy,0,0.01788406389997632,1.0546678745442384,1.5461408172544915,0.9514260495597249,0.22370802151990987,0.46171735912446576,1.0
17,117,previous_s_curve,near_linear,M4,heavy_07,heavy,0,0.017562062229953563,1.1201632224599127,1.5516054199681695,1.0050014926290525,0.20769378649999704,0.49718706633397086,1.0
17,117,previous_s_curve,near_linear,M4,heavy_08,heavy,0,0.016337007133461885,1.0775957244068612,1.5547773704946233,0.9692522009010298,0.20596320533435566,0.47454293816193377,1.0
17,117,previous_s_curve,near_linear,M4,heavy_09,heavy,0,0.01812007735663622,1.0414453114616027,1.549250800044788,0.940915482258703,0.21580409152406793,0.45464863635663744,1.0
17,117,previous_s_curve,near_linear,M4,handling_00,handling,0,0.017436042086018285,1.1496907706674442,1.5970122124418233,1.0304920407123928,0.13636731105272237,0.5147361361094918,1.0
17,117,previous_s_curve,near_linear,M4,handling_01,handling,0,0.015357949836246575,1.207265624862146,1.6039549712179901,1.079652494607514,0.11296936914489444,0.5461815897291659,1.0
17,117,previous_s_curve,near_linear,M4,handling_02,handling,0,0.016291424798380263,1.2291295591173428,1.5944890376714922,1.0979459176519153,0.1350347741712186,0.5576371571447352,1.0
17,117,previous_s_curve,near_linear,M4,handling_03,handling,0,0.01590695654793381,1.2041305239315923,1.5988745169710408,1.0769187565395522,0.1257762267901233,0.5442438059018103,1.0
17,117,previous_s_curve,near_linear,M4,handling_04,handling,0,0.01677737087519729,1.2533686300185538,1.605493170577239,1.1220233265515664,0.1048703145837067,0.5712460575514364,1.0
17,117,previous_s_curve,near_linear,M4,handling_05,handling,0,0.01634244211772638,1.1659325432652705,1.598462624004209,1.044146619221464,0.1320901353127146,0.523634953746557,1.0
17,117,previous_s_curve,near_linear,M4,handling_06,handling,0,0.016093969736300836,1.1779385713973638,1.5981078581462218,1.0543812602468683,0.13164582141055628,0.5301080659040367,1.0
17,117,previous_s_curve,near_linear,M4,handling_07,handling,0,0.016638047969510142,1.2256946541886957,1.5950266363381087,1.0953716643994362,0.13226131684154485,0.5556861950177211,1.0
17,117,previous_s_curve,near_linear,M4,handling_08,handling,0,0.01573216537465279,1.187013186722346,1.6003209245168089,1.0622894258119528,0.12420213835790922,0.5350649755412188,1.0
17,117,previous_s_curve,near_linear,M4,handling_09,handling,0,0.01585845734030322,1.180194654951357,1.601245060435716,1.0566494719786452,0.12155952722431544,0.5313629772566699,1.0
17,117,previous_s_curve,near_linear,LTI_1,nominal_00,nominal,0,0.019730310709850443,1.0538000704061525,1.5681969142784309,0.9467026143330356,0.1756850346089725,0.4637342185837024,1.0
17,117,previous_s_curve,near_linear,LTI_1,nominal_01,nominal,0,0.019444735496924947,1.0451066182680622,1.5707871461475194,0.939715994596392,0.16883936028649704,0.4590587082481333,1.0
17,117,previous_s_curve,near_linear,LTI_1,nominal_02,nominal,0,0.018680702612005266,1.025059482422894,1.5717755679646863,0.9233457111942094,0.1660920548227125,0.44821598794027,1.0
17,117,previous_s_curve,near_linear,LTI_1,nominal_03,nominal,0,0.020261580319956958,1.0522337513563458,1.5788244207913242,0.946103562108208,0.14690078629490974,0.4630119562374849,1.0
17,117,previous_s_curve,near_linear,LTI_1,nominal_04,nominal,0,0.019484091041694997,1.0458484703012483,1.5653359930633433,0.9404490988536378,0.1813426102721661,0.4592939119101784,1.0
17,117,previous_s_curve,near_linear,LTI_1,nominal_05,nominal,0,0.02070227280195767,1.069934523080489,1.5731657326990822,0.9600307453441067,0.16350189882152305,0.47262858014025066,1.0
17,117,previous_s_curve,near_linear,LTI_1,nominal_06,nominal,0,0.024428106662577807,1.1159707076336243,1.5754413101514346,0.9993117906694771,0.15147959317839374,0.4974016545692873,1.0
17,117,previous_s_curve,near_linear,LTI_1,nominal_07,nominal,0,0.019720334442074543,1.041825394225987,1.5671391931244325,0.9377994369395415,0.1739830241074423,0.45700257124039173,1.0
17,117,previous_s_curve,near_linear,LTI_1,nominal_08,nominal,0,0.024806786682241153,1.1254582896994973,1.575475925910518,1.0065858609502285,0.15398318385054982,0.5027252118611263,1.0
17,117,previous_s_curve,near_linear,LTI_1,nominal_09,nominal,0,0.02337006608914344,1.104352610275426,1.5711302888645775,0.9894421718758198,0.16251289387689397,0.49099057147238556,1.0
17,117,previous_s_curve,near_linear,LTI_1,heavy_00,heavy,0,0.02365811009601183,1.1120912455519094,1.5517417964747198,0.9969483971412636,0.19495893674998901,0.4940911700502262,1.0
17,117,previous_s_curve,near_linear,LTI_1,heavy_01,heavy,0,0.020635645406235463,1.0678093314358796,1.5401391716048196,0.9597437962080435,0.2266522288871736,0.47000554120963295,1.0
17,117,previous_s_curve,near_linear,LTI_1,heavy_02,heavy,0,0.020201336121177586,1.0640325662471641,1.5457898842804452,0.9562265135581801,0.21585309059561586,0.4682556057402183,1.0
17,117,previous_s_curve,near_linear,LTI_1,heavy_03,heavy,0,0.023822583163686874,1.12467002374015,1.5492576294499278,1.0057715410506431,0.20587536089778097,0.5011996670953854,1.0
17,117,previous_s_curve,near_linear,LTI_1,heavy_04,heavy,0,0.022467833127613638,1.0981083506768976,1.5512432962094946,0.9848299393611153,0.19929072739452733,0.4866631457726374,1.0
17,117,previous_s_curve,near_linear,LTI_1,heavy_05,heavy,0,0.02032508443012708,1.064402868407854,1.5437708273542181,0.956724604470575,0.21963200890897272,0.46834312204241973,1.0
17,117,previous_s_curve,near_linear,LTI_1,heavy_06,heavy,0,0.019867389273733632,1.0507363183462557,1.5418213300560575,0.9459296387196302,0.223413427878868,0.4608371102861294,1.0
17,117,previous_s_curve,near_linear,LTI_1,heavy_07,heavy,0,0.023539942522657533,1.1160654464954674,1.5473686722013782,0.9993737805281944,0.2074333224837127,0.4962757063913659,1.0
17,117,previous_s_curve,near_linear,LTI_1,heavy_08,heavy,0,0.02058436561798496,1.0737253224121233,1.5505523722373789,0.9639259105757343,0.20570864588594776,0.47368216211177755,1.0
17,117,previous_s_curve,near_linear,LTI_1,heavy_09,heavy,0,0.019449668048173482,1.0376100101444299,1.5449765389146686,0.9355385122950708,0.21552701545967465,0.45379545013170286,1.0
17,117,previous_s_curve,near_linear,LTI_1,handling_00,handling,0,0.019540411877816934,1.144906699325395,1.5911375847357845,1.0245344092129678,0.13619050130817995,0.5137173155008395,1.0
17,117,previous_s_curve,near_linear,LTI_1,handling_01,handling,0,0.023829017893332163,1.2023213423510049,1.598200692803598,1.0735192551809458,0.11283754999856072,0.5451334202476722,1.0
17,117,previous_s_curve,near_linear,LTI_1,handling_02,handling,0,0.02422953994468536,1.2239213571459218,1.5886264351538706,1.0914487987046775,0.13485961529851598,0.5565265707645725,1.0
17,117,previous_s_curve,near_linear,LTI_1,handling_03,handling,0,0.02303081579638712,1.1991153473948981,1.593056636265642,1.0706663479082514,0.12561975339393483,0.5431774698973966,1.0
