gamma,low,high,severity,method,mean,std,worst_family,steering_rms,peak_rate,feasible,rho
0.0,10,30,moderate,M1,0.03548533436464627,0.0007875757856492431,0.036262410868508385,0.7632398889610508,2.1218323577207827,1.0,0.9624430802397934
0.0,10,30,moderate,M2,0.03549323625286968,0.0007903236231462063,0.03648681842504099,0.7632398165572399,2.121994486306745,1.0,0.9624504407161484
0.0,10,30,moderate,M3,0.026384179493188283,0.0005643079330143746,0.027008452475725725,0.7629626890733369,2.1316376326963518,1.0,0.964533673102512
0.0,10,30,moderate,M4,0.026404132808778902,0.0005670018154478229,0.027151992935561982,0.7629628832572866,2.131815744936193,1.0,0.964535263196989
0.0,10,30,near_linear,M1,0.01725293449310812,0.0003801192533803048,0.01762852260950333,0.37955411064146966,1.0604952217762664,1.0,0.9624430802397934
0.0,10,30,near_linear,M2,0.017257112603496574,0.0003812985563977782,0.017737095166761124,0.3795541128878338,1.0605754796301063,1.0,0.9624504407161484
0.0,10,30,near_linear,M3,0.012629903335708173,0.00027187114241059165,0.012936547808765788,0.37943005370624777,1.065389361834869,1.0,0.964533673102512
0.0,10,30,near_linear,M4,0.012639899855061596,0.00027321837803183255,0.013003717808866434,0.3794301754025563,1.0654809561930343,1.0,0.964535263196989
0.0,10,30,strong,M1,0.056969301898311765,0.001269304503670631,0.05820914993568207,1.1554468589063647,3.1831114795321764,1.0,0.9624430802397934
0.0,10,30,strong,M2,0.05698038649652189,0.0012742455712697507,0.05857419972533121,1.1554465448134175,3.183354480765844,1.0,0.9624504407161484
0.0,10,30,strong,M3,0.043655459134094854,0.00092809091197116,0.04462277615349508,1.1549536142154173,3.197668054164224,1.0,0.964533673102512
0.0,10,30,strong,M4,0.043685358031493426,0.0009317354766602288,0.04488251815987273,1.1549537785204318,3.197933046061632,1.0,0.964535263196989
0.0,15,25,moderate,M1,0.02992457634549022,0.0006063640427562899,0.03051797842281681,0.7623660817935604,1.9469470856811548,1.0,0.9552586701209484
0.0,15,25,moderate,M2,0.029940194481951492,0.0006070387328199657,0.030703323569994133,0.7623664829926291,1.947151365117872,1.0,0.955635572050695
0.0,15,25,moderate,M3,0.027521999104525706,0.00045421381844525766,0.02802829651780773,0.7621627248071208,1.9509931723006253,1.0,0.957158030695754
0.0,15,25,moderate,M4,0.027542401287353253,0.00045586568974731825,0.028142747762387572,0.7621632571534007,1.9512056801099664,1.0,0.9574132629767812
0.0,15,25,near_linear,M1,0.014429926017693726,0.00029256895166310346,0.014718165083399163,0.37933746282630226,0.9719382954930436,1.0,0.9552586701209484
0.0,15,25,near_linear,M2,0.014437803007419068,0.0002928363156721039,0.014807151802879007,0.3793376790643036,0.9720418487591548,1.0,0.955635572050695
0.0,15,25,near_linear,M3,0.013203077502899094,0.00021733253667032958,0.013451304524552937,0.37924118402422463,0.973932497929145,1.0,0.957158030695754
0.0,15,25,near_linear,M4,0.013213293635702752,0.00021821171731107697,0.013503760271839364,0.3792414617025196,0.9740367144194272,1.0,0.9574132629767812
0.0,15,25,strong,M1,0.04844897485573211,0.000980226557367992,0.049391007183457646,1.1531851486860387,2.9239315267716277,1.0,0.9552586701209484
0.0,15,25,strong,M2,0.048472131235717725,0.0009815301589279888,0.049696559847572014,1.153185667451179,2.9242434829322037,1.0,0.955635572050695
0.0,15,25,strong,M3,0.04494109510284635,0.0007509362864080004,0.045730523513650506,1.1528503098497438,2.929962596271008,1.0,0.957158030695754
0.0,15,25,strong,M4,0.04497163574174204,0.0007529799577297507,0.045939568810701534,1.1528510488407786,2.930286024332758,1.0,0.9574132629767812
0.0,18,22,moderate,M1,0.028450275928235395,0.00048408468830675265,0.02894873568785694,0.767512871500806,1.953457163884993,1.0,0.9501099215148616
0.0,18,22,moderate,M2,0.028469046634069538,0.0004847688027032569,0.029090580074313994,0.7675135307635435,1.953905983450301,1.0,0.9505089980106708
0.0,18,22,moderate,M3,0.028082845570198366,0.000409609513636434,0.028537171606064456,0.7674145953236182,1.955971781501317,1.0,0.9512448064046324
0.0,18,22,moderate,M4,0.02810305653579323,0.00041117889197019584,0.02864079467663928,0.7674153069363047,1.9564345553032625,1.0,0.9516250738663962
0.0,18,22,near_linear,M1,0.013687005921086473,0.00023276073465051118,0.01393139527902543,0.38202198335973003,0.9771965791092831,1.0,0.9501099215148616
0.0,18,22,near_linear,M2,0.013696413133338765,0.00023311954908393964,0.013997926885452514,0.3820223202314112,0.9774078093031268,1.0,0.9505089980106708
0.0,18,22,near_linear,M3,0.013500933339216892,0.0001955281301976005,0.013723340430313286,0.38197457489020253,0.9784556789016216,1.0,0.9512448064046324
0.0,18,22,near_linear,M4,0.013511038539868684,0.00019639683200032995,0.01377052066630886,0.3819749368329678,0.9786738810325016,1.0,0.9516250738663962
0.0,18,22,strong,M1,0.04611974541220035,0.0007892676300958287,0.04689629194147585,1.160372161017241,2.9132526979310973,1.0,0.9501099215148616
0.0,18,22,strong,M2,0.04614780525963612,0.0007901353485026295,0.04714138362636171,1.1603731132926165,2.913978201694864,1.0,0.9505089980106708
0.0,18,22,strong,M3,0.04556867902408959,0.0006781088821054836,0.04627933934878024,1.160215194923976,2.9170680235937296,1.0,0.9512448064046324
0.0,18,22,strong,M4,0.04559900227864617,0.0006799061453160941,0.04646873531012949,1.1602162318106257,2.9178143744221083,1.0,0.9516250738663962
0.5,10,30,moderate,M1,0.03680911188804687,0.0008613548412330403,0.04102306442480909,0.7856920628306596,2.2059798017548853,1.0,0.9637890225921149
0.5,10,30,moderate,M2,0.035889608405521675,0.0008019687311962354,0.03684182995129296,0.7856926858997892,2.209510904442216,1.0,0.9650422589009592
0.5,10,30,moderate,M3,0.028169734830500743,0.0007911444587127028,0.03128494347813825,0.7853905671907186,2.216263981075824,1.0,0.9658240874975568
0.5,10,30,moderate,M4,0.026836830832824655,0.0005905100561079021,0.027688575963104534,0.7854012210808256,2.219906781352352,1.0,0.9668126391856487
0.5,10,30,near_linear,M1,0.017883003383104723,0.00041643668799412663,0.01988083723007407,0.3905500702087005,1.1012328286063882,1.0,0.9637890225921149
0.5,10,30,near_linear,M2,0.01745068039234751,0.0003869984587716554,0.01791517148777388,0.39055055637694397,1.1029817338565662,1.0,0.9650422589009592
0.5,10,30,near_linear,M3,0.013495915351312681,0.00038437733007932795,0.014975876841204966,0.3904154049151594,1.106349637586187,1.0,0.9658240874975568
0.5,10,30,near_linear,M4,0.012847844163300117,0.0002847744105574162,0.013266808219769707,0.39042040357405805,1.1082169847278358,1.0,0.9668126391856487
0.5,10,30,strong,M1,0.05911795478757529,0.0013810199169711867,0.06614055192198771,1.1904043247332212,3.3172156714026158,1.0,0.9637890225921149
0.5,10,30,strong,M2,0.05761798908533714,0.0012923674935967704,0.05913200387490081,1.1904069550578735,3.322509981641996,1.0,0.9650422589009592
0.5,10,30,strong,M3,0.04643791695661382,0.0012577183904341415,0.0517032508948851,1.1898648644701457,3.3326302534987016,1.0,0.9658240874975568
0.5,10,30,strong,M4,0.04439923950821358,0.000967518531492636,0.04574028588061961,1.1898853467645263,3.338037622994699,1.0,0.9668126391856487
0.5,15,25,moderate,M1,0.03133810645589284,0.0007484759347957412,0.03489981871334513,0.7839143557021242,2.0804267516907093,1.0,0.956836685717512
0.5,15,25,moderate,M2,0.03036071818221809,0.0006209604654478826,0.03123714833078562,0.7839334980958153,2.0866327218892526,1.0,0.958626570294534
0.5,15,25,moderate,M3,0.02910017952089187,0.0006761696094205375,0.03185412200958261,0.7836985561967029,2.086491444340574,1.0,0.9586774749597377
0.5,15,25,moderate,M4,0.027977662799289576,0.0004758556445762906,0.02880188216064296,0.7837225961810739,2.0935728071566087,1.0,0.9601538683087716
