cohort,epsilon,isotropic,control_aware,relative_improvement_pct,improved_seeds,wilcoxon_statistic,wilcoxon_p_less
10,2,0.021692384105589425,0.01948736613698938,10.164940643992571,10,0.0,0.0009765625
10,4,0.015228269217207406,0.013493735453969376,11.390222608345201,10,0.0,0.0009765625
10,8,0.01094029960203296,0.010053660659233377,8.104338775464848,10,0.0,0.0009765625
30,2,0.011645183450863943,0.010628101717244369,8.73392624436602,10,0.0,0.0009765625
30,4,0.008864224895378702,0.008512183705755136,3.971483054396552,10,0.0,0.0009765625
30,8,0.008099419820872448,0.007959026897854351,1.7333701193794182,10,0.0,0.0009765625
100,2,0.008121675777192739,0.007970323864694788,1.863555215082302,10,0.0,0.0009765625
100,4,0.007752887197271201,0.007710073449901883,0.5522297213918947,10,0.0,0.0009765625
100,8,0.007664956823043745,0.007650428474710404,0.18954246799751662,10,0.0,0.0009765625
