scope,method,tracking,std,feasible,rho
family,Central,0.007499737689929252,0.00015694734881031792,1.0,0.9687594966506836
family,Federated,0.007499737703057868,0.00015694736332295714,1.0,0.9687594966416394
family,Secure,0.007499737708284787,0.00015694735788476528,1.0,0.9687594966416392
global,Central,0.011960708223485095,0.0005063539806039367,1.0,0.9673094806609652
global,Federated,0.011960708155571109,0.0005063538173949643,1.0,0.9673094806834016
global,Secure,0.011960708151577187,0.0005063538215845822,1.0,0.9673094806737004
