severity,method,tracking,std,effort,max_rate,feasible,rho
near_linear,M4,0.013208418395293181,0.0001953886886996147,0.4004869719068994,1.1341967821120957,1.0,0.9667918498457402
near_linear,LTI_1,0.015428687771044822,0.00015671891792161787,0.40016760537596296,1.1240212552969873,1.0,0.9661562233891805
near_linear,LTI_2,0.016079688064475628,0.0001408488563508841,0.40042096283902306,17.110749155676913,1.0,0.9660697102777183
near_linear,LTI_3,0.015830860749491138,0.0003040804982332981,0.4006069842062975,15.35047250100844,1.0,0.9664625937108693
near_linear,LTI_5,0.016477247078598434,0.00018657527982558018,0.4006326631440982,19.805331089732526,1.0,0.966672862402163
near_linear,LTI_8,0.014050245791631392,0.00018311773436664448,0.400465807889243,19.96666527425954,1.0,0.9666516329990446
near_linear,LTI_10,0.013636464330055106,0.0001658589036664095,0.40047626722527,7.151247737083749,1.0,0.9666805533272955
moderate,M4,0.02756686860954794,0.00040677480383935217,0.8057775316413067,2.2891455487367587,1.0,0.9667918498457402
moderate,LTI_1,0.03180868151006269,0.0003155214756435448,0.8051197555788038,2.26836723471065,1.0,0.9661562233891805
moderate,LTI_2,0.03310291086380819,0.00029423018096016464,0.8056473006651943,34.369434220150104,1.0,0.9660697102777183
moderate,LTI_3,0.032709084038911734,0.0006242154235745989,0.8060274225139968,30.890297560353115,1.0,0.9664625937108693
moderate,LTI_5,0.033929752476197006,0.0003873363368082783,0.8060829949877576,39.72132665999613,1.0,0.966672862402163
moderate,LTI_8,0.029245404356201442,0.0003839669991943849,0.8057378442124289,39.45112931890547,1.0,0.9666516329990446
moderate,LTI_10,0.028339768339436678,0.00034702709949881785,0.8057555716939634,14.333442707398136,1.0,0.9666805533272955
strong,M4,0.045321796303089384,0.0006752835999211333,1.2212737330995878,3.480086065852834,1.0,0.9667918498457402
strong,LTI_1,0.05105118439062724,0.00047041958482412096,1.2202314227723117,3.448284788247608,1.0,0.9661562233891805
strong,LTI_2,0.05295020122491917,0.0004898968296376187,1.2210838743829986,51.94654165401749,1.0,0.9660697102777183
strong,LTI_3,0.052715343701745056,0.0010031686555014333,1.2216780216892116,46.824064405515024,1.0,0.9664625937108693
strong,LTI_5,0.05417880434965614,0.000639416205612873,1.2217730925876036,59.872849800439454,1.0,0.966672862402163
strong,LTI_8,0.047820874558199326,0.0006457134902726384,1.221221416175289,58.057310879717676,1.0,0.9666516329990446
strong,LTI_10,0.04620480836451523,0.0005819450912736598,1.2212389627889326,21.581357784336934,1.0,0.9666805533272955
