method,parameter_error,gain_error,prediction_error
ExactFamily,0.0437445862896433,0.008356995874190299,1.31075885644676
ExactIndividual,0.0,0.0,0.4969893873034229
GlobalExact,0.12694067606252027,0.02570112877922881,3.194420769794521
Local,0.06917169088414245,0.005961685180768219,0.8824824372422976
SwapWithinFamily,0.0958476256495157,0.014090837877046142,2.005721833479683
