seed,gamma,low,high,severity,method,tracking,steering_rms,peak_steering_rate,feasible,worst_family,rho
21,0.0,10,30,moderate,M1,0.0346426392370152,0.7552127479532443,2.079190673618624,1.0,0.03514332349377778,0.9621501995286752
21,0.0,10,30,moderate,M2,0.03461129958798158,0.7552130880898218,2.079427905351385,1.0,0.03505570138004406,0.9621331508260932
21,0.0,10,30,moderate,M3,0.025652935698467584,0.7549429460361811,2.0885423281181184,1.0,0.025936646305458163,0.9642490436415974
21,0.0,10,30,moderate,M4,0.025610665409406128,0.7549436968218302,2.088753268896633,1.0,0.026138644472338147,0.9642083345114342
21,0.0,10,30,near_linear,M1,0.016847810462947702,0.37562266550427376,1.0395314898830397,1.0,0.01709200825790911,0.9621501995286752
21,0.0,10,30,near_linear,M2,0.01683307477319194,0.3756228605144301,1.039648699533164,1.0,0.01704647529748006,0.9621331508260932
21,0.0,10,30,near_linear,M3,0.012280966819893664,0.3755019070481186,1.0442075606204684,1.0,0.012416394493104797,0.9642490436415974
21,0.0,10,30,near_linear,M4,0.012260020874689144,0.37550228681785724,1.0443116987365555,1.0,0.012512917203177017,0.9642083345114342
21,0.0,10,30,strong,M1,0.0555956200548323,1.14295522973622,3.1173368868372844,1.0,0.05637890326997308,0.9621501995286752
21,0.0,10,30,strong,M2,0.055544947295028006,1.1429556594552486,3.1176867457977657,1.0,0.056265569990654955,0.9621331508260932
21,0.0,10,30,strong,M3,0.042442990603534424,1.1424755215989781,3.1311314643864367,1.0,0.04288507689714185,0.9642490436415974
21,0.0,10,30,strong,M4,0.042381098137885626,1.142476682160773,3.131442297321405,1.0,0.0432274420773663,0.9642083345114342
21,0.0,15,25,moderate,M1,0.0291984484133093,0.7546431864869465,1.8979871165130984,1.0,0.029373782705416754,0.955125354435032
21,0.0,15,25,moderate,M2,0.02916811656424435,0.7546441219574245,1.8981941192595275,1.0,0.029599257838963874,0.9551194756754264
21,0.0,15,25,moderate,M3,0.026877306353622607,0.7544440141864949,1.9018255938438664,1.0,0.027242249265063464,0.9569875891937808
21,0.0,15,25,moderate,M4,0.02684628457166957,0.7544451426990357,1.9020235103279304,1.0,0.027418520324290718,0.9569337096940388
21,0.0,15,25,near_linear,M1,0.01408053416932924,0.3755460865506742,0.9480171893491154,1.0,0.014164874261701403,0.955125354435032
21,0.0,15,25,near_linear,M2,0.014065752238267988,0.3755465570977867,0.948121606780998,1.0,0.014273832878075904,0.9551194756754264
21,0.0,15,25,near_linear,M3,0.012894398160920832,0.3754517652644642,0.949911154636542,1.0,0.013073767569218067,0.9569875891937808
21,0.0,15,25,near_linear,M4,0.012878966954275092,0.37545232618955576,0.9500088757687526,1.0,0.01315751287584874,0.9569337096940388
21,0.0,15,25,strong,M1,0.04727055738369383,1.1412178052641984,2.8475596147812388,1.0,0.04754782351131748,0.955125354435032
21,0.0,15,25,strong,M2,0.04722390718539963,1.1412192240627388,2.8478627894559425,1.0,0.0479141221748184,0.9551194756754264
21,0.0,15,25,strong,M3,0.043883040038524605,1.1408900597435048,2.853246796662702,1.0,0.04443821114802627,0.9569875891937808
21,0.0,15,25,strong,M4,0.04383690425343526,1.1408918027002763,2.853532340423766,1.0,0.04473524381979072,0.9569337096940388
21,0.0,18,22,moderate,M1,0.02780295765260124,0.7599870260981152,1.8956166358155573,1.0,0.02811652535204016,0.9501099215148616
21,0.0,18,22,moderate,M2,0.02777472384132584,0.7599882979302526,1.8959961416991569,1.0,0.02830448947118767,0.9500993752476616
21,0.0,18,22,moderate,M3,0.02747946011805129,0.7598905551361483,1.8980113682380124,1.0,0.027871184231785293,0.9512448064046324
21,0.0,18,22,moderate,M4,0.0274529345862222,0.7598919022612468,1.8984177486329776,1.0,0.028035650060191146,0.951227756770369
21,0.0,18,22,near_linear,M1,0.013375616495714266,0.3783237775558965,0.9486854167458746,1.0,0.013529800162619513,0.9501099215148616
21,0.0,18,22,near_linear,M2,0.013361605968627,0.378324407760159,0.9488674299649764,1.0,0.013619783834914538,0.9500993752476616
21,0.0,18,22,near_linear,M3,0.013211680541275765,0.37827723188237955,0.9498840610154118,1.0,0.013405260954881076,0.9512448064046324
21,0.0,18,22,near_linear,M4,0.013198470564940593,0.37827789809711454,0.9500794739162368,1.0,0.013483231335750813,0.951227756770369
21,0.0,18,22,strong,M1,0.04506880761377657,1.1487301324482444,2.8250046996600653,1.0,0.04554774126673336,0.9501099215148616
21,0.0,18,22,strong,M2,0.04502646846495075,1.1487320968945944,2.8255796750984383,1.0,0.04585808366493889,0.9500993752476616
21,0.0,18,22,strong,M3,0.0445822185253167,1.1485761081133448,2.828640146189075,1.0,0.04517578081802652,0.9512448064046324
21,0.0,18,22,strong,M4,0.04454265046569284,1.1485781944680797,2.829255273900732,1.0,0.04545249770978051,0.951227756770369
21,0.5,10,30,moderate,M1,0.036128302860154275,0.7772821796352045,2.179598937587269,1.0,0.040098847175243195,0.9636707080090076
21,0.5,10,30,moderate,M2,0.0349894177379687,0.7772683902755595,2.1833095024442617,1.0,0.03590301672487854,0.9648053494992536
21,0.5,10,30,moderate,M3,0.02755870458995211,0.7769863474813601,2.189748806897222,1.0,0.030481725070558175,0.965765142880959
21,0.5,10,30,moderate,M4,0.026009655469793547,0.7769848257218661,2.1936326777855992,1.0,0.026973742015812707,0.9666144993294212
