method,target_tracking,time_to_target,tracking_at_075,tracking_at_125,tracking_at_175
ExactIndividual,0.007244781114507473,0.25,0.006696746086723865,0.006696746086723865,0.006696746086723865
LearnedBackbone,0.007244781114507473,,0.010699414558547084,0.007900664751458342,0.007757545988479874
LearnedRank1,0.007244781114507473,1.75,0.010591314012160844,0.0076518099872993055,0.007100169448608933
LearnedRank2,0.007244781114507473,1.75,0.013262595603158673,0.007620447294981646,0.007099287245113247
Local,0.007244781114507473,1.75,0.01339232142594916,0.007692560901648776,0.007102726582850464
OracleGroupRank2,0.007244781114507473,1.75,0.012823584649885316,0.007582393040874031,0.007083262064928627
