seed,method,selected_k,train_ari,test_ari,candidate_k,silhouette,minimum_size,admissible
120,LearnedKControl,3,0.966851851851852,1.0,4,0.4873618742147414,29,True
120,LearnedKControl,3,0.966851851851852,1.0,5,0.4106661780592701,23,True
120,LearnedKControl,3,0.966851851851852,1.0,6,0.364651683210916,25,True
120,LearnedKControl,3,0.966851851851852,1.0,7,0.3725224278091191,16,True
120,LearnedKControl,3,0.966851851851852,1.0,8,0.3737925440164363,16,True
121,FixedK3,3,1.0,1.0,3,0.5354339571933632,60,True
121,LearnedKParameter,3,1.0,1.0,2,0.52025080605882,60,True
121,LearnedKParameter,3,1.0,1.0,3,0.5354339571933632,60,True
121,LearnedKParameter,3,1.0,1.0,4,0.4393790367492101,28,True
121,LearnedKParameter,3,1.0,1.0,5,0.3745371257829253,24,True
121,LearnedKParameter,3,1.0,1.0,6,0.3034603232267882,24,True
121,LearnedKParameter,3,1.0,1.0,7,0.2905357805150356,17,True
121,LearnedKParameter,3,1.0,1.0,8,0.2756258992458916,18,True
121,LearnedKControl,3,0.9832862676849272,1.0,2,0.5464455103297245,68,True
121,LearnedKControl,3,0.9832862676849272,1.0,3,0.5776572974393209,59,True
121,LearnedKControl,3,0.9832862676849272,1.0,4,0.4908263528100542,27,True
121,LearnedKControl,3,0.9832862676849272,1.0,5,0.4285354354103564,27,True
121,LearnedKControl,3,0.9832862676849272,1.0,6,0.3633969736600282,25,True
121,LearnedKControl,3,0.9832862676849272,1.0,7,0.3730327903017421,16,True
121,LearnedKControl,3,0.9832862676849272,1.0,8,0.3713802771652373,16,True
122,FixedK3,3,0.9832862676849272,1.0,3,0.5206484876050118,59,True
122,LearnedKParameter,3,0.9832862676849272,1.0,2,0.5065592861907338,67,True
122,LearnedKParameter,3,0.9832862676849272,1.0,3,0.5206484876050118,59,True
122,LearnedKParameter,3,0.9832862676849272,1.0,4,0.4478727914510139,24,True
122,LearnedKParameter,3,0.9832862676849272,1.0,5,0.4024337858629699,23,True
122,LearnedKParameter,3,0.9832862676849272,1.0,6,0.3305092069728467,23,True
122,LearnedKParameter,3,0.9832862676849272,1.0,7,0.3116449564527072,16,True
122,LearnedKParameter,3,0.9832862676849272,1.0,8,0.2972287193366806,18,True
122,LearnedKControl,3,0.9040000752719198,1.0,2,0.5392553746539938,68,True
122,LearnedKControl,3,0.9040000752719198,1.0,3,0.5565910178673246,56,True
122,LearnedKControl,3,0.9040000752719198,1.0,4,0.478153150335116,29,True
122,LearnedKControl,3,0.9040000752719198,1.0,5,0.4296163278493357,25,True
122,LearnedKControl,3,0.9040000752719198,1.0,6,0.3459473608059166,26,True
122,LearnedKControl,3,0.9040000752719198,1.0,7,0.3488887503127147,20,True
122,LearnedKControl,3,0.9040000752719198,1.0,8,0.3589623710711598,15,True
123,FixedK3,3,1.0,1.0,3,0.5534751882533483,60,True
123,LearnedKParameter,3,1.0,1.0,2,0.5063461390563231,66,True
123,LearnedKParameter,3,1.0,1.0,3,0.5534751882533483,60,True
123,LearnedKParameter,3,1.0,1.0,4,0.4903888791414441,14,True
123,LearnedKParameter,3,1.0,1.0,5,0.4101237815281812,15,True
123,LearnedKParameter,3,1.0,1.0,6,0.3252721130556866,15,True
123,LearnedKParameter,3,1.0,1.0,7,0.3075297955617435,14,True
123,LearnedKParameter,3,1.0,1.0,8,0.296755254582346,13,True
123,LearnedKControl,3,0.9832862676849272,1.0,2,0.5325892873733454,68,True
123,LearnedKControl,3,0.9832862676849272,1.0,3,0.5871745083271642,59,True
123,LearnedKControl,3,0.9832862676849272,1.0,4,0.4868442010607503,30,True
123,LearnedKControl,3,0.9832862676849272,1.0,5,0.4000519394062084,28,True
123,LearnedKControl,3,0.9832862676849272,1.0,6,0.3506656592675456,22,True
123,LearnedKControl,3,0.9832862676849272,1.0,7,0.3411114218191641,13,True
123,LearnedKControl,3,0.9832862676849272,1.0,8,-inf,9,False
124,FixedK3,3,0.966851851851852,1.0,3,0.5385858419109255,60,True
124,LearnedKParameter,3,0.966851851851852,1.0,2,0.5256028271687253,62,True
124,LearnedKParameter,3,0.966851851851852,1.0,3,0.5385858419109255,60,True
124,LearnedKParameter,3,0.966851851851852,1.0,4,0.4508397636268333,28,True
124,LearnedKParameter,3,0.966851851851852,1.0,5,0.3795059246740608,28,True
124,LearnedKParameter,3,0.966851851851852,1.0,6,0.32246156572674,28,True
124,LearnedKParameter,3,0.966851851851852,1.0,7,0.3197019129116027,18,True
124,LearnedKParameter,3,0.966851851851852,1.0,8,0.296040598674567,14,True
124,LearnedKControl,2,0.5450100399779181,0.5061709107951883,2,0.5631204944211505,63,True
124,LearnedKControl,2,0.5450100399779181,0.5061709107951883,3,0.558889678045976,59,True
