method,model_count,dense_matrix_mean,dense_matrix_worst,fixed20_matrix_mean,trajectory_mean_one_step_relative_rmse,trajectory_worst_one_step_relative_rmse,trajectory_mean_free_relative_rmse,trajectory_worst_free_relative_rmse,trajectory_mean_beta_rmse_deg,trajectory_worst_beta_rmse_deg,trajectory_mean_yaw_rmse_deg_s,trajectory_worst_yaw_rmse_deg_s,trajectory_family_gap
M1,1,0.06069799467552863,0.14128282301214173,0.05590777491776585,0.016601617197869366,0.03707447780039371,0.16230446837110818,0.3406972420804518,0.19322998373089237,0.5056639620657686,0.5057391730912789,1.2872690404917455,0.07388193306158773
M2,3,0.029871904110528112,0.09100364633044235,0.020697692785663382,0.013652235843348121,0.029955255728223266,0.13090461624101196,0.2856430855533309,0.17779852561474618,0.4355544826648592,0.4012489158387623,1.0746260650169561,0.03270583708682388
M3,1,0.05537211613578519,0.11906842786650192,0.05545969055726796,0.009137964100796082,0.019816651525550597,0.1085894135576642,0.2644130785278629,0.08340910856980145,0.26568279585504795,0.3390586387657551,0.9203533548887244,0.06845635491833788
M4,3,0.019491259500143538,0.05595239254130607,0.019518108076754023,0.0026249402683346072,0.007950122024251214,0.03532329325277945,0.12821186998719436,0.023241384633646556,0.10974007022782555,0.11263614449881992,0.42549910176641764,0.010557540496315559
M5,15,0.020577852130574555,0.06259439913738343,0.019518106708493684,0.003776752544566527,0.008383856718565674,0.044222316170434164,0.12987631170780597,0.03725041826014635,0.113140186101445,0.13811722742777108,0.43025167442452483,0.010590960773990236
