group,cf_over_m,cr_over_m,m_over_iz,scaled_jacobian_condition,cost,multistart_relative_difference,seed
global,50.16479237439772,52.60654209250337,0.3662291087236112,1.289129537573692,33.019039141652826,2.1679305976031e-07,16
nominal,52.88701275511155,53.70045375758243,0.5594808906239579,1.7456387657803334,1.9204632313633958,2.715351599935381e-09,16
heavy,48.43907773039009,45.498296252205705,0.5516287790800903,1.739707273943299,1.3403184231899576,7.492197556243628e-10,16
handling,50.17315732882752,60.860014344665124,0.6116377578673919,1.8804936636432492,0.7098303810176569,2.1661234170681083e-09,16
