method,mean,std,worst_family,feasible,rho,steering_rms,peak_rate,beta_prediction,yaw_prediction,parameter_relative_error
Family,0.0076508220604371525,0.0003680438954118852,0.007990960605559608,1.0,0.9689380355446332,0.8085276897672358,1.168983043301146,0.0383626065845189,0.15836736539388171,0.02627271991600515
Local,0.006668557423731581,1.5955263082627703e-05,0.0068049119235333785,1.0,0.9693275071251448,0.80851868863644,1.169276985128319,0.018739662360480476,0.04667077575593763,0.007871619935617115
Personalized,0.006672376286510453,1.745009903552769e-05,0.006808221513572729,1.0,0.9693275071251448,0.808519108617577,1.1692889669491395,0.018995816436801483,0.046374361208828443,0.00841765082633105
