condition,method,tracking,tracking_std,steering,beta,feasible_rate
load_shift,ExactDeployment,0.006994964211348957,5.3405064650832134e-05,0.840046719333628,0.5203745552078801,1.0
load_shift,ExactFamily,0.008338670722832734,0.00023661194822281858,0.8400781178217157,0.5204078064673326,1.0
load_shift,ExactIndividual,0.00742518244915664,5.092505052551293e-05,0.8400843096324966,0.5204027554625118,1.0
load_shift,GlobalExact,0.012795181017859323,0.0006964661613272506,0.8400864818916804,0.5205137893351328,1.0
load_shift,Local,0.00772770750601774,0.00010456653679978691,0.8400836342960337,0.5204030048183425,1.0
load_shift,SwapWithinFamily,0.009476966454094548,0.00041383146662800867,0.8400787429942792,0.5204108175080445,1.0
nominal,ExactDeployment,0.006702055900492762,4.5563019125366706e-05,0.8121431916983697,0.4503712194168849,1.0
nominal,ExactFamily,0.007520996867622205,0.00021505532620610002,0.8121382620738128,0.45037508214804367,1.0
nominal,ExactIndividual,0.006702055900492762,4.5563019125366706e-05,0.8121431916983697,0.4503712194168849,1.0
nominal,GlobalExact,0.011637964241092903,0.0006389507281428508,0.8121466939875452,0.45045697499256426,1.0
nominal,Local,0.006973600962861026,0.00011462965536881033,0.8121430510325787,0.4503717731783096,1.0
nominal,SwapWithinFamily,0.008569499659262899,0.00038499755540346355,0.8121393398129154,0.4503778666013745,1.0
tire_fade,ExactDeployment,0.006867889942895622,5.354292894935292e-05,0.8430946201441799,0.5281356674258635,1.0
tire_fade,ExactFamily,0.008286484115707482,0.00024247657876101786,0.843129201420313,0.5281724883934346,1.0
tire_fade,ExactIndividual,0.007348060711832996,5.054561322430802e-05,0.8431355364417096,0.5281673088390652,1.0
tire_fade,GlobalExact,0.012813898347092867,0.0007059996055428511,0.8431374736561935,0.5282810268689137,1.0
tire_fade,Local,0.0076601914785789215,0.00010366534293615356,0.8431348124505336,0.5281675265115146,1.0
tire_fade,SwapWithinFamily,0.009447583319119176,0.00042116038634382695,0.8431297789602008,0.5281755226809844,1.0
