design,client_id,family,method,max_small_signal_spectral_radius,small_signal_stable
test,heavy_03,heavy,LTI_10,0.9654732695733244,True
test,heavy_04,heavy,M4,0.9657027104682026,True
test,heavy_04,heavy,LTI_1,0.9650509143754303,True
test,heavy_04,heavy,LTI_2,0.9649620712624067,True
test,heavy_04,heavy,LTI_3,0.9653652825231562,True
test,heavy_04,heavy,LTI_5,0.9655808190567979,True
test,heavy_04,heavy,LTI_8,0.9655590657460168,True
test,heavy_04,heavy,LTI_10,0.965588699346319,True
test,heavy_05,heavy,M4,0.9657257387168457,True
test,heavy_05,heavy,LTI_1,0.9650445873907093,True
test,heavy_05,heavy,LTI_2,0.964951592609109,True
test,heavy_05,heavy,LTI_3,0.9653733573036439,True
test,heavy_05,heavy,LTI_5,0.9655985061331323,True
test,heavy_05,heavy,LTI_8,0.9655757923962139,True
test,heavy_05,heavy,LTI_10,0.9656067338050046,True
test,heavy_06,heavy,M4,0.9662001684127477,True
test,heavy_06,heavy,LTI_1,0.9655550554862727,True
test,heavy_06,heavy,LTI_2,0.9654671336713975,True
test,heavy_06,heavy,LTI_3,0.9658661850178024,True
test,heavy_06,heavy,LTI_5,0.9660795179892178,True
test,heavy_06,heavy,LTI_8,0.9660579865242143,True
test,heavy_06,heavy,LTI_10,0.9660873179423503,True
test,heavy_07,heavy,M4,0.9666629599850358,True
test,heavy_07,heavy,LTI_1,0.9660200907751467,True
test,heavy_07,heavy,LTI_2,0.9659324551696596,True
test,heavy_07,heavy,LTI_3,0.9663301709345659,True
test,heavy_07,heavy,LTI_5,0.9665427494994128,True
test,heavy_07,heavy,LTI_8,0.9665212955210548,True
test,heavy_07,heavy,LTI_10,0.9665505213064438,True
test,heavy_08,heavy,M4,0.9656924708612233,True
test,heavy_08,heavy,LTI_1,0.965046071144853,True
test,heavy_08,heavy,LTI_2,0.9649579885725347,True
test,heavy_08,heavy,LTI_3,0.965357795915086,True
test,heavy_08,heavy,LTI_5,0.9655715637541717,True
test,heavy_08,heavy,LTI_8,0.9655499873224972,True
test,heavy_08,heavy,LTI_10,0.9655793800586325,True
test,heavy_09,heavy,M4,0.9652078780102883,True
test,heavy_09,heavy,LTI_1,0.9645117650047677,True
test,heavy_09,heavy,LTI_2,0.9644166754881419,True
test,heavy_09,heavy,LTI_3,0.9648478387863406,True
test,heavy_09,heavy,LTI_5,0.9650779003366382,True
test,heavy_09,heavy,LTI_8,0.9650546942005657,True
test,heavy_09,heavy,LTI_10,0.9650863061958855,True
test,handling_00,handling,M4,0.9569780849878715,True
test,handling_00,handling,LTI_1,0.9560164849563637,True
test,handling_00,handling,LTI_2,0.9558875849669994,True
test,handling_00,handling,LTI_3,0.9564767872864149,True
test,handling_00,handling,LTI_5,0.956796136123021,True
test,handling_00,handling,LTI_8,0.9567637671428688,True
test,handling_00,handling,LTI_10,0.9568078696701275,True
test,handling_01,handling,M4,0.9546424049490722,True
test,handling_01,handling,LTI_1,0.9535259220293391,True
test,handling_01,handling,LTI_2,0.9533751903825202,True
test,handling_01,handling,LTI_3,0.9540620986435749,True
test,handling_01,handling,LTI_5,0.9544322084390451,True
test,handling_01,handling,LTI_8,0.9543947632955896,True
test,handling_01,handling,LTI_10,0.9544457782527508,True
test,handling_02,handling,M4,0.9550439083365567,True
test,handling_02,handling,LTI_1,0.9539505550789454,True
test,handling_02,handling,LTI_2,0.9538031953932761,True
test,handling_02,handling,LTI_3,0.9544752280075492,True
test,handling_02,handling,LTI_5,0.9548378272535278,True
test,handling_02,handling,LTI_8,0.9548011265101459,True
test,handling_02,handling,LTI_10,0.9548511281498583,True
test,handling_03,handling,M4,0.9552885001260853,True
test,handling_03,handling,LTI_1,0.9541990651844467,True
test,handling_03,handling,LTI_2,0.9540522128301044,True
test,handling_03,handling,LTI_3,0.9547218926603304,True
test,handling_03,handling,LTI_5,0.9550831791278139,True
test,handling_03,handling,LTI_8,0.9550466126808637,True
test,handling_03,handling,LTI_10,0.9550964312736184,True
test,handling_04,handling,M4,0.9534596813821915,True
test,handling_04,handling,LTI_1,0.952258029665196,True
test,handling_04,handling,LTI_2,0.9520950985638672,True
test,handling_04,handling,LTI_3,0.9528362262588969,True
test,handling_04,handling,LTI_5,0.9532341276815476,True
test,handling_04,handling,LTI_8,0.9531939146651625,True
test,handling_04,handling,LTI_10,0.9532486981394549,True
test,handling_05,handling,M4,0.9552789945007562,True
test,handling_05,handling,LTI_1,0.9542336907056993,True
test,handling_05,handling,LTI_2,0.9540929110337363,True
test,handling_05,handling,LTI_3,0.9547351202451573,True
test,handling_05,handling,LTI_5,0.9550818515636872,True
test,handling_05,handling,LTI_8,0.9550467488962671,True
test,handling_05,handling,LTI_10,0.9550945737551886,True
test,handling_06,handling,M4,0.9554052443435734,True
test,handling_06,handling,LTI_1,0.9543679626701519,True
test,handling_06,handling,LTI_2,0.9542283424324653,True
test,handling_06,handling,LTI_3,0.95486541734081,True
test,handling_06,handling,LTI_5,0.9552095375006225,True
test,handling_06,handling,LTI_8,0.9551746941955714,True
test,handling_06,handling,LTI_10,0.9552221659663346,True
test,handling_07,handling,M4,0.9558179723219214,True
test,handling_07,handling,LTI_1,0.9547862730057711,True
test,handling_07,handling,LTI_2,0.9546475281243465,True
test,handling_07,handling,LTI_3,0.955280859332911,True
test,handling_07,handling,LTI_5,0.9556232049784006,True
test,handling_07,handling,LTI_8,0.9555885340944168,True
test,handling_07,handling,LTI_10,0.9556357713434204,True
test,handling_08,handling,M4,0.9545658556311456,True
test,handling_08,handling,LTI_1,0.9534281261021784,True
test,handling_08,handling,LTI_2,0.9532744665092263,True
test,handling_08,handling,LTI_3,0.9539746101811455,True
test,handling_08,handling,LTI_5,0.954351724846204,True
test,handling_08,handling,LTI_8,0.9543135754122605,True
test,handling_08,handling,LTI_10,0.9543655496366824,True
test,handling_09,handling,M4,0.9554316156929101,True
test,handling_09,handling,LTI_1,0.9544072261195633,True
test,handling_09,handling,LTI_2,0.9542693613120177,True
test,handling_09,handling,LTI_3,0.9548984599734447,True
test,handling_09,handling,LTI_5,0.955238316332312,True
test,handling_09,handling,LTI_8,0.955203903037199,True
test,handling_09,handling,LTI_10,0.9552507890477743,True
