epsilon,tracking,std,q95,feasible_rate,rho,steering_rms,peak_rate,tracking_increase_pct
0.5,1.383932506655199,0.802781611477232,2.894378191723644,0.89,5.376167400419586,1.5548772880812098,4804.752496048435,18520.906008489852
1,0.9628418333472065,0.7502388632752537,2.6226378809888162,0.94,3.8754671381855994,1.1532719507597873,3128.005760282121,12855.102357652268
2,0.45489881914408364,0.416998355254649,1.1687703411940022,0.99,3.4396787497910664,0.8698417963926779,2986.271664205168,6020.694552603226
4,0.14038396812987383,0.09716639066460768,0.3489533267474276,1.0,0.98960269534788,0.8085305923140049,1.3969979434359234,1788.8758397352258
8,0.06286050713449776,0.03667917566392752,0.11867202695518174,1.0,0.98062720400238,0.8064979170435036,1.183414418556051,745.7923991008026
inf,0.007432143774444816,0.0001474040797331565,0.007619354728537926,1.0,0.969142316849706,0.8059156304395616,1.1696946753684392,0.0
