family,speed_mps,stable_continuous,max_pole_real_per_s,pole_imag_magnitude_per_s,discrete_spectral_radius,controllability_rank,controllability_sigma_min,yaw_rate_dc_gain_per_s,beta_dc_gain,understeer_coefficient_s2_per_m,a_norm,b_norm
nominal,10.0,True,-11.733333333333334,2.9885708215726714,0.8892887141815992,2,2.50586372041504,3.259604190919674,0.25960419091967407,0.0026785714285714286,1.262314771973058,0.36685023590614124
nominal,10.1,True,-11.617161716171616,3.0012962522485114,0.8903224155796602,2,2.548609588085445,3.286432715577726,0.25389377779972894,0.0026785714285714286,1.2637760863890122,0.3669784093216885
nominal,10.2,True,-11.50326797385621,3.013597844445486,0.8913370147702542,2,2.5911659678148578,3.3131097525608157,0.24814681623609394,0.0026785714285714286,1.2652104487780877,0.36710482627380286
nominal,10.3,True,-11.391585760517799,3.0254950160189433,0.8923330357622712,2,2.633537643189094,3.3396347129784294,0.24236379900818394,0.0026785714285714286,1.2666185970384622,0.367229517204153
nominal,10.4,True,-11.282051282051281,3.037006034596389,0.893310983596431,2,2.675729214684079,3.3660070279267615,0.2365452191603479,0.0026785714285714286,1.2680012424108722,0.36735251212871695
nominal,10.5,True,-11.174603174603174,3.0481481022272545,0.894271345194717,2,2.7177451080889767,3.3922261484098937,0.23069156991418435,0.0026785714285714286,1.2693590706699585,0.3674738406250542
nominal,10.6,True,-11.069182389937108,3.058937432516655,0.8952145901646327,2,2.7595895824731227,3.41829154525666,0.22480334458175483,0.0026785714285714286,1.2706927432523816,0.3675935318220256
nominal,10.7,True,-10.965732087227412,3.0693893210293273,0.8961411715610538,2,2.801266737725162,3.4442027090332727,0.21888103647969412,0.0026785714285714286,1.2720028983255787,0.3677116143916955
nominal,10.8,True,-10.8641975308642,3.0795182096550455,0.8970515266082568,2,2.8427805216909032,3.4699591499518063,0.21292513884426503,0.0026785714285714286,1.2732901518007738,0.36782811654318087
nominal,10.9,True,-10.764525993883794,3.0893377455448183,0.8979460773845304,2,2.884134736934341,3.495560397774615,0.20693614474735333,0.0026785714285714286,1.2745550982935936,0.36794306601823296
nominal,11.0,True,-10.666666666666664,3.0988608351563243,0.8988252314716089,2,2.925333047144649,3.5210060017147753,0.20091454701343228,0.0026785714285714286,1.2757983120354233,0.3680564900883584
nominal,11.1,True,-10.57057057057057,3.108099693885407,0.8996893825710157,2,2.9663789832106144,3.5462955303326362,0.19486083813751007,0.0026785714285714286,1.2770203477384183,0.3681684155533088
nominal,11.2,True,-10.476190476190478,3.1170658917069165,0.900538911089262,2,3.007275948982144,3.5714285714285716,0.18877551020408198,0.0026785714285714286,1.2782217414168955,0.36827886874078325
nominal,11.3,True,-10.3834808259587,3.1257703952014047,0.9013741846937252,2,3.0480272267376725,3.596404731932016,0.1826590548070939,0.0026785714285714286,1.2794030111676422,0.36838787550720126
nominal,11.4,True,-10.292397660818711,3.1342236063032702,0.9021955588408992,2,3.0886359823744485,3.6212236377868785,0.17651196297094598,0.0026785714285714286,1.280564657911524,0.3684954612394239
nominal,11.5,True,-10.202898550724639,3.1424353980700865,0.9030033772786038,2,3.129105270337968,3.645884933833417,0.1703347250725365,0.0026785714285714286,1.2817071660985997,0.3686016508573065
nominal,11.6,True,-10.114942528735632,3.1504151477413225,0.9037979725236421,2,3.1694380383057825,3.6703882836866604,0.1641278307643627,0.0026785714285714286,1.28283100437883,0.3687064688169837
nominal,11.7,True,-10.028490028490026,3.1581717673268894,0.9045796663162853,2,3.2096371316393495,3.694733369611495,0.15789176889871387,0.0026785714285714286,1.2839366262403096,0.3688099391147925
nominal,11.8,True,-9.943502824858754,3.165713731941405,0.9053487700528914,2,3.2497052976179437,3.7189198923944486,0.15162702745292253,0.0026785714285714286,1.2850244706168474,0.3689120852917533
nominal,11.9,True,-9.859943977591037,3.1730491060784374,0.9061055851978713,2,3.289645189465789,3.7429475712123295,0.1453340934557394,0.0026785714285714286,1.2860949624665958,0.3690129304385325
nominal,12.0,True,-9.777777777777779,3.1801855679997013,0.9068504036761394,2,3.3294593701851727,3.7668161434977585,0.1390134529147987,0.0026785714285714286,1.2871485133233198,0.3691124972008223
nominal,12.1,True,-9.696969696969695,3.187130432397172,0.9075835082471246,2,3.369150316205419,3.790525364801705,0.13266559074521092,0.0026785714285714286,1.2881855218218066,0.3692108077850748
nominal,12.2,True,-9.617486338797814,3.1938906714708466,0.9083051728613356,2,3.4087204208585735,3.8140750086531265,0.12629099069928393,0.0026785714285714286,1.2892063741988165,0.36930788396454023
nominal,12.3,True,-9.539295392953928,3.20047293455136,0.9090156630004265,2,3.448171997690692,3.8374648664157753,0.11989013529737837,0.0026785714285714286,1.2902114447708894,0.3694037470855577
nominal,12.4,True,-9.46236559139785,3.206883566384627,0.9097152360016453,2,3.4875072836182683,3.8606947471422854,0.11346350575990763,0.0026785714285714286,1.291201096390249,0.3694984180740572
nominal,12.5,True,-9.386666666666667,3.213128624184777,0.9104041413674943,2,3.52672844193774,3.883764477425619,0.10701158194049522,0.0026785714285714286,1.2921756808799583,0.36959191744223385
nominal,12.6,True,-9.312169312169313,3.2192138935520616,0.9110826210613803,2,3.565837565195891,3.9066739012479657,0.10053484226029014,0.0026785714285714286,1.293135539449428,0.3696842652953579
nominal,12.7,True,-9.238845144356956,3.2251449033436845,0.911750909789989,2,3.6048366779292387,3.929422879827176,0.09403376364344589,0.0026785714285714286,1.2940810030912944,0.36977548133869237
nominal,12.8,True,-9.166666666666668,3.2309269395776954,0.9124092352730778,2,3.643727739278215,3.952011291460832,0.08750882145377517,0.0026785714285714286,1.2950123929606399,0.36986558488448756
nominal,12.9,True,-9.095607235142118,3.236565058443092,0.9130578185013262,2,3.682512645483839,3.974439031368029,0.08096048943258059,0.0026785714285714286,1.2959300207374633,0.3699545948590303
nominal,13.0,True,-9.025641025641026,3.242064098482929,0.913696873982864,2,3.7211932322721513,3.9967060115289597,0.07438923963766154,0.0026785714285714286,1.2968341889732529,0.37004252980972374
nominal,13.1,True,-8.956743002544531,3.2474286920115194,0.9143266099790478,2,3.759771277132719,4.018812160522401,0.06779554238351256,0.0026785714285714286,1.2977251914224732,0.37012940791217896
nominal,13.2,True,-8.88888888888889,3.2526632758216754,0.9149472287300311,2,3.7982485014963947,4.040757423361176,0.061179866182708986,0.0026785714285714286,1.2986033133597246,0.370215246977302
nominal,13.3,True,-8.822055137844611,3.257772101233252,0.9155589266706371,2,3.8366265728175355,4.062541761325671,0.05454267768847464,0.0026785714285714286,1.2994688318832883,0.37030006445835834
nominal,13.4,True,-8.756218905472636,3.2627592435300166,0.916161894637019,2,3.874907106565536,4.084165151795531,0.04788444163845603,0.0026785714285714286,1.30032201620574,0.3703838774580044
nominal,13.5,True,-8.691358024691356,3.267628610828056,0.9167563180645592,2,3.913091668130287,4.10562758807956,0.041205620799674235,0.0026785714285714286,1.3011631279322629,0.370466702735271
nominal,13.6,True,-8.627450980392156,3.2723839524154474,0.9173423771774426,2,3.951181774645634,4.126929079243974,0.03450667591468674,0.0026785714285714286,1.3019924213272678,0.3705485567124908
nominal,13.7,True,-8.564476885644767,3.2770288665997227,0.9179202471703055,2,3.9891788967353228,4.148069649939039,0.027788065648933474,0.0026785714285714286,1.302810143569886,0.3706294554821587
nominal,13.8,True,-8.502415458937199,3.2815668080968137,0.9184900983823429,2,4.02708446018457,4.169049340224205,0.021050246539278908,0.0026785714285714286,1.3036165349988742,0.37070941481371805
nominal,13.9,True,-8.44124700239808,3.2860010949924954,0.9190520964642409,2,4.064899847541771,4.189868205391818,0.01429367294375388,0.0026785714285714286,1.3044118293474387,0.37078845016026596
nominal,14.0,True,-8.38095238095238,3.2903349153050185,0.9196064025382745,2,4.102626399652891,4.2105263157894735,0.00751879699248098,0.0026785714285714286,1.305196253968458,0.37086657666517137
nominal,14.100000000000001,True,-8.321513002364068,3.294571333175318,0.9201531733518907,2,4.140265417132468,4.2310237566411155,0.0007260685397985718,0.0026785714285714286,1.3059700300505634,0.3709438091685999
nominal,14.2,True,-8.262910798122066,3.298713294709333,0.920692561425091,2,4.177818161773683,4.251360627866942,-0.006084064882435257,0.0026785714285714286,1.306733372825498,0.3710201622139438
nominal,14.3,True,-8.205128205128204,3.302763633495005,0.9212247151919003,2,4.215285857900941,4.271537043902205,-0.012911158110345893,0.0026785714285714286,1.3074864917671727,0.3710956500541497
