design,severity,method,runs,mean_tracking_rmse_deg_s,worst_tracking_rmse_deg_s,mean_beta_rms_deg,worst_beta_rms_deg,mean_steering_rms_deg,worst_steering_rms_deg,mean_peak_steering_deg,worst_peak_steering_deg,mean_peak_steering_rate_deg_s,worst_peak_steering_rate_deg_s,mean_peak_lateral_accel_mps2,worst_peak_lateral_accel_mps2,mean_peak_force_utilization,worst_peak_force_utilization,feasible_fraction,worst_family_tracking_rmse_deg_s,family_gap_tracking_rmse_deg_s
phase3_transfer,near_linear,M1,30,0.020314045101594312,0.027129212218327217,0.1699307169828326,0.24173807250964585,0.4903454639515466,0.5520435550286328,1.1037585278715198,1.2157057123811652,0.9918371370260831,1.0854101978405772,1.576143105131165,1.5989396138505307,0.18148589631304732,0.18300450673461496,1.0,0.023566965698791513,0.00530212054967405
phase3_transfer,near_linear,M2,30,0.018159825093928206,0.02002798894860706,0.16983183269674004,0.24121355484360468,0.49026888752115005,0.5526703483724978,1.103564475039568,1.2169652381903806,0.9914651243334084,1.0878895420918804,1.5754393746279447,1.6035952956394846,0.18139749643139297,0.18355368518863582,1.0,0.01866552266300999,0.0007640482632850949
phase3_transfer,near_linear,M3,30,0.018878082237832283,0.026460356197165143,0.16974313277264402,0.2415185635762841,0.4905751432901859,0.5522656808912336,1.1064881174253065,1.2185334605777849,0.9943980041716091,1.0879333954232258,1.575228652985903,1.5981570748360132,0.1813755751039351,0.18291852028258487,1.0,0.022700965840493324,0.0063563491919405475
phase3_transfer,near_linear,M4,30,0.01652490334126706,0.01900514931537127,0.16964543105804888,0.2410126440352602,0.4904972362410402,0.5529251738767287,1.1062905628550865,1.2200821940601105,0.9940267032286122,1.090549914944972,1.5745154856330479,1.6031117833245763,0.18128500959045973,0.1834978925032433,1.0,0.017416036589325792,0.0015408856274165862
phase3_transfer,near_linear,M5,30,0.020409820111391187,0.02179069506180502,0.16968694362091805,0.2410527668802993,0.49045738192065885,0.552887566365995,1.1050140722831072,1.2185841687091599,9.690518345743238,11.2106361740003,1.6493903397858543,1.6908118947218136,0.1939628702026992,0.1996616259632734,1.0,0.020681265615416417,0.0005054844170218897
phase3_transfer,moderate,M1,30,0.04204828304476262,0.056264786502541644,0.3522549922495786,0.49842767461547416,0.9850598010163819,1.1109187973988175,2.2211012891606154,2.4497862614825845,1.9831583829996653,2.1776493360357914,3.128220972822071,3.1770515305005236,0.36094363039936983,0.3643072139663187,1.0,0.04897524025235706,0.011410968299695484
phase3_transfer,moderate,M2,30,0.037630228383275996,0.041649883163884655,0.3520297644384728,0.4972151388078967,0.9849039310127932,1.112252355632251,2.220680445780703,2.4525822057299145,1.9823831094806132,2.1825570365014326,3.1268289382333707,3.1867357180607385,0.36076679725788197,0.3654571182055768,1.0,0.03880116243893701,0.0018075308538137089
phase3_transfer,moderate,M3,30,0.03942128627190858,0.05506652738570786,0.3518596472563697,0.4979676737649228,0.9855276664781919,1.1113730509122879,2.2268102330715864,2.4556888144677655,1.9882729495986582,2.182795564827623,3.126200273733638,3.1753028261275915,0.36069618661230507,0.3640985797522909,1.0,0.047422241638690805,0.013390589809337737
phase3_transfer,moderate,M4,30,0.03463612721601642,0.03975862531137667,0.3516363261598719,0.49678854030454145,0.985369503279265,1.1127744378136974,2.226378556359347,2.4591280824778177,1.987494291956239,2.18791066106338,3.124794008374748,3.1855715224670136,0.36051600523403926,0.3653181939677093,1.0,0.03649148369866294,0.003209611811479829
phase3_transfer,moderate,M5,30,0.04261771308904137,0.045568978365096394,0.3517482214643738,0.4968934743858783,0.9853032419363748,1.1127162221390683,2.223752807828457,2.4560424604149373,19.60656165229102,22.64111939213195,3.255727146511249,3.33909494139501,0.3817956149836755,0.3929468903106407,1.0,0.04309756305601608,0.0009661135212422553
phase3_transfer,strong,M1,30,0.06772148923707216,0.09082259336457976,0.5632334913799802,0.7890856836975559,1.4891538271684817,1.6848554177580006,3.369813591320946,3.725765064470817,2.9700450642997422,3.2843355778438617,4.621857113756971,4.702843903207166,0.5352839898984122,0.5411289709185325,1.0,0.07946361163881602,0.019799162175625565
phase3_transfer,strong,M2,30,0.0608214089649894,0.06767177299614706,0.5628106807328768,0.786738810311529,1.4889159463412283,1.6870996374832588,3.369112723722034,3.7309687268743836,2.968780277170088,3.2916522997660267,4.61986511215289,4.718155625951818,0.5350225465050579,0.5429995487204969,1.0,0.06302398751104028,0.003547766567001766
phase3_transfer,strong,M3,30,0.06440232691663292,0.08937128007402088,0.5625785465959847,0.7883317738742802,1.4898802675573306,1.6855655400733536,3.379110161167529,3.735492030837154,2.977604428149415,3.2921345413786067,4.618416507410274,4.699897349798241,0.5348490263759539,0.540765822534622,1.0,0.07757491144456981,0.022418846741415678
phase3_transfer,strong,M4,30,0.05703219696493065,0.0652097947213758,0.562157508340267,0.7860232668402547,1.4896401317702135,1.6879184963287048,3.378357378290935,3.7415250826685087,2.9763603095255045,3.299777505756959,4.6163806000095216,4.715987091377323,0.5345836840808332,0.5427017473848357,1.0,0.06002099049598919,0.005165159238410821
phase3_transfer,strong,M5,30,0.06963174052917057,0.07459869099065963,0.5624163302536868,0.7862559318756387,1.4895836903904658,1.687884079499574,3.3742179671162247,3.7366897326316257,29.9834748695616,34.53079067318645,4.767234539885242,4.894501026015773,0.5566050350140461,0.5726248080104056,1.0,0.07020237503563445,0.0013611471351532983
nonlinear_data_redesign,near_linear,M1,30,0.03888915085026772,0.049758136250014,0.1702042351979182,0.24280874237264113,0.49027474667912846,0.5505982663376539,1.0985288560367874,1.2070541276647333,0.9846422442567451,1.0724110506384934,1.57767721039283,1.5936963540834814,0.1816489200644677,0.1823840840637572,1.0,0.04452143797797157,0.009044652055026373
nonlinear_data_redesign,near_linear,M2,30,0.018266597596977394,0.027294043882262826,0.1696254252003547,0.2413096322979671,0.4898081233610272,0.5520420498096332,1.1021906097683163,1.2167897140199138,0.9889549123849695,1.0864598867801596,1.571842818192521,1.5986510385422206,0.1809652431028323,0.18296825925816057,1.0,0.02597394860258529,0.013663942148926463
nonlinear_data_redesign,near_linear,M3,30,0.4213745324559676,0.46859522621927624,0.1735160697515862,0.24745983220165535,5.19903693083678,5.660332546096645,18.155115509175427,21.508818373650183,3162.436006030149,3417.385688302853,5.014288061074273,5.030789968800895,0.9959551152705595,0.9992622943112921,0.0,0.4522132240497926,0.06030153979900432
