seed,method,tracking,feasible,rho,steering_rms,peak_rate,worst_family,beta_prediction,yaw_prediction,parameter_relative_error
41,Family,0.007956739053784537,1.0,0.967848334428273,0.8130859953105951,1.1557133517344438,0.00808942593395248,0.039250698444062294,0.19289558558896103,0.02763144737397205
41,Local,0.006659128406009573,1.0,0.9689252069025543,0.8130712787363042,1.1558915920091046,0.00684552082779001,0.017489941784199832,0.049057830811217604,0.00851628587755829
41,Personalized,0.006673627022538857,1.0,0.9688657690567982,0.8130728834240003,1.155933146477231,0.00685254680242482,0.01872912745964558,0.049379141865909096,0.008676133215858327
42,Family,0.00746932126105016,1.0,0.9687140714093492,0.8125935012109745,1.15499124455889,0.00801638296538624,0.037205898056756045,0.12156833152084844,0.0255178623685966
42,Local,0.006702963935648684,1.0,0.969043592265278,0.8125841866907147,1.155455685206214,0.006848446595121799,0.019786016102432188,0.0474383106873644,0.00807860401666138
42,Personalized,0.006709497242555752,1.0,0.9690352746936094,0.8125850276768236,1.1554479126610664,0.006849217334221809,0.020186837738676657,0.045698434733502435,0.008497795419038943
43,Family,0.007855668952353559,1.0,0.9686926030465116,0.8126669927022016,1.1450853975827484,0.008026034774135441,0.039828170275085104,0.1685985116204398,0.026247702233783345
43,Local,0.00665861449079634,1.0,0.9693275071251448,0.8126439932491981,1.1453249814113138,0.006718118810311253,0.019627484882597853,0.04490392399172073,0.007962859067049646
43,Personalized,0.006665140082472168,1.0,0.9693275071251448,0.812644779519079,1.1453251812015932,0.00673465360609802,0.02023854469965573,0.04548162625188272,0.008467316489457036
44,Family,0.007494643483335362,1.0,0.968307608899982,0.8050514179963731,1.168983043301146,0.00767628740789126,0.03929323433097201,0.13263292816235564,0.026760552033918108
44,Local,0.006653654001101166,1.0,0.9683351570371476,0.8050264074038356,1.169276985128319,0.00676996459673862,0.018479393288416378,0.04872806334228397,0.008089340418450252
44,Personalized,0.006660558326446385,1.0,0.9683278232348624,0.8050276601668613,1.1692889669491395,0.006770180729904707,0.01889320305610189,0.04815796286921638,0.008780455387850097
45,Family,0.00725094350062938,1.0,0.9682123940231692,0.8058728363813233,1.1495437175205423,0.007390951932313503,0.03422467466504662,0.13673978275490403,0.02366806155231744
45,Local,0.006677897588861924,1.0,0.9686790192289884,0.8058853872231049,1.1497454076311964,0.0068772936384085106,0.01995997629549915,0.04642026333680049,0.007242343224740447
45,Personalized,0.006682374825048587,1.0,0.9686327828313492,0.8058861107605325,1.1497454076311964,0.00687667681617959,0.019824643722922617,0.04508983812575292,0.008315745958309296
46,Family,0.0070943465256634785,1.0,0.9684681303417116,0.8028003938363066,1.1195583986944362,0.00749104636696963,0.032050908130463136,0.13531567554690668,0.023730231630060085
46,Local,0.00664695648386802,1.0,0.969008977446278,0.8028234416249104,1.1199015765035123,0.006728926106528963,0.018170207403388313,0.043166974498793996,0.007374255153414196
46,Personalized,0.0066417921009849145,1.0,0.969008977446278,0.8028222472175952,1.1198907980755322,0.00673153877782377,0.01798947726064449,0.04325313307530804,0.007880954669593857
47,Family,0.007845223399034457,1.0,0.9679382938278344,0.813349118329049,1.14104978385167,0.008558455217450705,0.041879769968097065,0.17356679542629067,0.02487605258089689
47,Local,0.00667419617614133,1.0,0.9689196674395416,0.8133415131742325,1.1412676566564284,0.00685534862168578,0.018095959516589183,0.04572833347490869,0.008048005539696134
47,Personalized,0.006668786557556524,1.0,0.9689196674395416,0.813340651480642,1.1412525374923397,0.006846893599181939,0.017699655155110034,0.04544324731940968,0.00842378568792222
48,Family,0.0075244127555656555,1.0,0.9682597198027624,0.8041482763709348,1.1305572410708111,0.007972048397304563,0.03518443601405836,0.1412418539080693,0.02800018883023627
48,Local,0.006663436590309325,1.0,0.9687802863302708,0.8041279267129089,1.1306913441956994,0.006789192069151657,0.01840608976268643,0.0466748072628717,0.007219841993606369
48,Personalized,0.006669117899438987,1.0,0.9687764610223732,0.8041287390125671,1.1306832529331308,0.006784060366615209,0.01902350620740278,0.04758114185706738,0.0083262333632573
49,Family,0.007656981838511674,1.0,0.96809101713048,0.8085784898487268,1.1623174286630382,0.00809044908373022,0.03702359180416199,0.17160082313816022,0.028381893026283755
49,Local,0.006677377555240296,1.0,0.9677722091753213,0.8085876407758567,1.1626365847719122,0.006834620918951027,0.018305402048569435,0.0486087871036143,0.008043737802180557
49,Personalized,0.006682647052693578,1.0,0.9677651054124516,0.8085888152736591,1.1626278759557511,0.006856692000267163,0.018668954745383864,0.04861802945118396,0.008096298012888673
50,Family,0.008359939834443268,1.0,0.9689380355446332,0.807129875685873,1.1675343854006712,0.00859852397646203,0.04768468415648637,0.20951336627188152,0.027913207529986946
50,Local,0.006671349009339154,1.0,0.9687689896333236,0.8070951107733353,1.1679046013502357,0.00678168705064616,0.019076152520425986,0.04598046304980046,0.008140926262813873
50,Personalized,0.006670221755368777,1.0,0.9687564606719534,0.8070941716440095,1.1678872507176494,0.006779755103010266,0.018704214322471196,0.045041056539051876,0.008711790059134743
