method,mean,std,worst_family,feasible,rho,steering_rms,peak_rate,beta_prediction,yaw_prediction,parameter_relative_error
Family,0.007614638711722145,0.00012682180179904821,0.00800806093347393,1.0,0.9689621564440872,0.8098054335347433,1.1683306470265364,0.037532012311189814,0.15873363842549865,0.026166311740710785
Global,0.011754688162579343,0.0004654599484617501,0.013409798404508014,1.0,0.9673805132332448,0.8098222005487907,1.1671074817742777,0.11880020177436354,0.3688851289167009,0.07383348392484039
Local,0.00670263551372732,5.2001600402158416e-05,0.006839885006384119,1.0,0.9693760754444528,0.8098045959781535,1.168724103989278,0.02037183490072152,0.049309926732669505,0.014989483445022971
LocalExtra,0.0066825155807545625,5.131909079193588e-05,0.006794418574231612,1.0,0.9693457008309406,0.8098052019397629,1.1688265271737377,0.019356050865037076,0.04791804368815716,0.004784941296487347
