baseline,metric,reduction_pct,mean_difference,ci_low,ci_high,positive_pairs
Local,tracking,-0.05726670007041486,-3.818862778871748e-06,-7.369045665556748e-06,-1.653106733072012e-07,3
Local,worst_family,-0.048635310442533615,-3.3095900393514433e-06,-9.156191581727125e-06,1.8648531840766975e-06,4
Local,yaw_prediction,0.6351181061554874,0.00029641454710918543,-0.00018656669509679183,0.00080829473746552,5
Local,parameter_relative_error,-6.936702930019288,-0.0005460308907139348,-0.0007548447998603613,-0.0003540657160241291,0
Family,tracking,12.788766569102423,0.0009784457739267,0.0007733846602100748,0.0011971168931826574,10
Family,worst_family,14.800962617235312,0.001182739091986878,0.0009526709871949793,0.0014148015588525712,10
Family,yaw_prediction,70.7172237831393,0.11199300418505327,0.09555033853673368,0.12925746568875263,10
Family,parameter_relative_error,67.96048961339905,0.017855069089674103,0.016883270327433097,0.01881664410923144,10
