scenario,n,relative_gap_pct,tolerance_gap_low,tolerance_gap_high,matches
all,1,15.387358501232073,0.0025722263375212045,0.0031816834295194498,False
all,2,20.082231074815702,0.004047961192771273,0.004276256535998141,False
all,3,18.65360735090078,0.003606198440189191,0.00390287553145098,False
all,5,23.081634540258378,0.004947524278114347,0.005017998267157909,False
all,8,6.088960521515774,0.0002731448323029577,0.0003285898205517902,False
all,10,2.8037269696313594,-0.0006625198278632846,-0.0005434054989662252,True
previous_s_curve,1,28.364865333194977,0.0074646258506376895,0.008819211580226126,False
previous_s_curve,2,34.02163082149472,0.009921471451497212,0.010243589119141645,False
previous_s_curve,3,28.582719532817414,0.007982754331776422,0.008371327821312965,False
previous_s_curve,5,46.41518974178018,0.014257751589940873,0.01449301512422668,False
previous_s_curve,8,6.140298706425407,0.00026210273610473056,0.0005423932930691206,False
previous_s_curve,10,5.0321444060194676,-9.070242443004404e-06,3.1988855929135e-05,False
shifted_double_lane,1,11.686034559817449,0.0016327593687509537,0.0018093253647810932,False
shifted_double_lane,2,19.523466109731768,0.003647407157735043,0.003844832700473736,False
shifted_double_lane,3,9.31760303473852,0.001025449886845,0.0012139964739458081,False
shifted_double_lane,5,12.215632706819935,0.0017727671093789434,0.0019625466842389016,False
shifted_double_lane,8,8.529119237134019,0.0008743204094397806,0.0009503037997707118,False
shifted_double_lane,10,3.1627473856763677,-0.0005122501506781873,-0.0004347575735103377,True
constant_22,1,-0.6469097614834718,-0.0015531546159370882,-0.0009081350164311907,True
constant_22,2,-1.1289395423899062,-0.001614353089096166,-0.0010671251961768115,True
constant_22,3,13.977812921352228,0.0016283386008710083,0.002300556685804696,False
constant_22,5,-0.8325824442677376,-0.001379190009709097,-0.0011937171712513527,True
constant_22,8,3.160117345747482,-0.0005197789581186863,-0.00030911995337805636,True
constant_22,10,-1.1105313696324948,-0.0014697491502890327,-0.0012225656017941296,True
