seed,test_seed,scenario,severity,method,client,family,tracking,peak_steering,peak_acceleration,peak_steering_rate,beta_rms,steering_rms,feasible
14,114,previous_s_curve,near_linear,M1,nominal_00,nominal,0.01708461235414013,1.0890096245007792,1.5784281240522224,0.9774053260074934,0.1624335133261535,0.4829173353459392,1.0
14,114,previous_s_curve,near_linear,M1,nominal_01,nominal,0.017497957213333835,1.0765753071249424,1.5760071584249142,0.9675286093518417,0.16676368965769517,0.47601402823623407,1.0
14,114,previous_s_curve,near_linear,M1,nominal_02,nominal,0.017945796918535515,1.070178936203245,1.5679469599336675,0.961931105266964,0.18876708599494024,0.47238982749656566,1.0
14,114,previous_s_curve,near_linear,M1,nominal_03,nominal,0.017449704496387143,1.1139600950718072,1.582274685264745,0.9984017511531483,0.15093542800967225,0.4965412054755133,1.0
14,114,previous_s_curve,near_linear,M1,nominal_04,nominal,0.01789439133884345,1.0295502227902806,1.5755532648238362,0.9277213937927735,0.17410653669518608,0.4507623098697269,1.0
14,114,previous_s_curve,near_linear,M1,nominal_05,nominal,0.018317370948569577,1.0520841407862407,1.5715074467048815,0.9475022942602038,0.1777620374153572,0.4625651464749789,1.0
14,114,previous_s_curve,near_linear,M1,nominal_06,nominal,0.018456753631898873,1.0338578287319022,1.5726615206378358,0.9320432731330311,0.17749976093422157,0.452840676958264,1.0
14,114,previous_s_curve,near_linear,M1,nominal_07,nominal,0.01935270846338089,1.00290658629709,1.5750823258924005,0.9065456279270956,0.17184730931304662,0.4361846525007546,1.0
14,114,previous_s_curve,near_linear,M1,nominal_08,nominal,0.017596900423038537,1.104600807257671,1.5744624659085595,0.9907155531742915,0.16958204412212594,0.49116285535350634,1.0
14,114,previous_s_curve,near_linear,M1,nominal_09,nominal,0.019689996135953923,0.9979199862017698,1.5742470621769937,0.9025085303027043,0.17395659059203827,0.4334741186036301,1.0
14,114,previous_s_curve,near_linear,M1,heavy_00,heavy,0.020027979248272716,1.1064930191493532,1.5576048021006035,0.9944544227228752,0.20012173345035733,0.4910587015431371,1.0
14,114,previous_s_curve,near_linear,M1,heavy_01,heavy,0.020698248965299943,1.05050476494268,1.5545349869467873,0.9473988310317791,0.21565798675219527,0.4610020716384155,1.0
14,114,previous_s_curve,near_linear,M1,heavy_02,heavy,0.021364941117028597,1.0503173058262134,1.5520301455000243,0.9480129391362845,0.21874312626328807,0.460673277294688,1.0
14,114,previous_s_curve,near_linear,M1,heavy_03,heavy,0.019876029936646354,1.0965463581200958,1.5545084232682638,0.9855284769533883,0.21142945164223176,0.48576125289902106,1.0
14,114,previous_s_curve,near_linear,M1,heavy_04,heavy,0.020432043053429442,1.0945824437470983,1.5493510869657607,0.9840515192851791,0.22341761859704068,0.48449437686800506,1.0
14,114,previous_s_curve,near_linear,M1,heavy_05,heavy,0.019946055422842907,1.0743284715472108,1.5535421129859757,0.9666023808823155,0.21808766256537296,0.4739038345515781,1.0
14,114,previous_s_curve,near_linear,M1,heavy_06,heavy,0.020124695788204233,1.099013191308031,1.5561750781098647,0.9882291964535197,0.20438775380210555,0.4869842617992239,1.0
14,114,previous_s_curve,near_linear,M1,heavy_07,heavy,0.02164816138946596,1.0490895253943782,1.5485524576292775,0.9466797700498851,0.22892792490506786,0.45999113614315357,1.0
14,114,previous_s_curve,near_linear,M1,heavy_08,heavy,0.023963986294267037,1.0011186881898906,1.5480769235601037,0.907819397611687,0.232214088085434,0.4341783059133849,1.0
14,114,previous_s_curve,near_linear,M1,heavy_09,heavy,0.020679197948508563,1.0764562855754507,1.552318393209025,0.9695170259009777,0.21598551502585644,0.47473188359319723,1.0
14,114,previous_s_curve,near_linear,M1,handling_00,handling,0.026394433008738196,1.2578271666513627,1.594798324209915,1.1213623983326344,0.11385714274815391,0.5754070146635387,1.0
14,114,previous_s_curve,near_linear,M1,handling_01,handling,0.01994820345754225,1.169070902359076,1.592887172949721,1.0445667788985467,0.12363847169376056,0.5269314870790801,1.0
14,114,previous_s_curve,near_linear,M1,handling_02,handling,0.023430950354406718,1.227077668056928,1.5915396964837534,1.0931923737317264,0.12519010713092893,0.5585899300519578,1.0
14,114,previous_s_curve,near_linear,M1,handling_03,handling,0.0220831691846604,1.2004788683359933,1.5951980768650482,1.0710398358750326,0.11687615428795685,0.5441619778444103,1.0
14,114,previous_s_curve,near_linear,M1,handling_04,handling,0.020458137720702003,1.1758732076039817,1.596542272003676,1.0501415012706106,0.11592593039354598,0.5308422535236187,1.0
14,114,previous_s_curve,near_linear,M1,handling_05,handling,0.02389414932949684,1.2222451044740001,1.5947931318498236,1.0897737734578483,0.11448633015367062,0.5558942909688576,1.0
14,114,previous_s_curve,near_linear,M1,handling_06,handling,0.022398435391513136,1.2180834454898684,1.583604022447343,1.0856799327678246,0.14213467298228136,0.5532408766856071,1.0
14,114,previous_s_curve,near_linear,M1,handling_07,handling,0.018553894389455827,1.1534275566851615,1.5912017966722463,1.0308498775003243,0.13157791739226093,0.5185034389239829,1.0
14,114,previous_s_curve,near_linear,M1,handling_08,handling,0.019614926236350763,1.1623102685223907,1.596128251254735,1.0387096300439589,0.11748958482780596,0.5234297544619564,1.0
14,114,previous_s_curve,near_linear,M1,handling_09,handling,0.021624725275134433,1.2024440846879731,1.587425685251728,1.0725776311119655,0.13448817514241665,0.5448902355413471,1.0
14,114,previous_s_curve,near_linear,M2,nominal_00,nominal,0.018209564636542917,1.0888461429601628,1.5760688595338,0.9768991478434479,0.1622621490146217,0.4826697961915915,1.0
14,114,previous_s_curve,near_linear,M2,nominal_01,nominal,0.018095025760876807,1.0764165814204838,1.5736323189488313,0.9669901219731128,0.16658753814011296,0.47576374211246114,1.0
14,114,previous_s_curve,near_linear,M2,nominal_02,nominal,0.017825828927073125,1.0699231380647694,1.5653167040799119,0.9612313331213201,0.18855384860903632,0.47209812956373476,1.0
14,114,previous_s_curve,near_linear,M2,nominal_03,nominal,0.01952768825413413,1.1138364907926386,1.5800617001230721,0.9979718918345857,0.15077974839003586,0.49630904629524414,1.0
14,114,previous_s_curve,near_linear,M2,nominal_04,nominal,0.01683642305973004,1.0293560809413762,1.573125491739799,0.9271443855546,0.1739208880090946,0.4505124672433531,1.0
14,114,previous_s_curve,near_linear,M2,nominal_05,nominal,0.017858945578018304,1.051877031135767,1.5690979890438084,0.946886806221479,0.1775706420914931,0.46230335613455664,1.0
