seed,budget,method,tracking,feasible
178,1.25,LearnedRank1,0.007997754292516925,1.0
178,1.25,LearnedRank2,0.007830900931847212,1.0
178,1.25,Local,0.008084568080602643,1.0
178,1.25,OracleGroupRank2,0.007727378908023831,1.0
178,1.75,ExactIndividual,0.006662402390606932,1.0
178,1.75,LearnedBackbone,0.007471110953606469,1.0
178,1.75,LearnedRank1,0.007298993806249467,1.0
178,1.75,LearnedRank2,0.00709988365031481,1.0
178,1.75,Local,0.007023071884526184,1.0
178,1.75,OracleGroupRank2,0.007093740955255115,1.0
178,2.75,ExactIndividual,0.006662402390606932,1.0
178,2.75,LearnedBackbone,0.0073906536604376,1.0
178,2.75,LearnedRank1,0.006741420987847422,1.0
178,2.75,LearnedRank2,0.00665830221822526,1.0
178,2.75,Local,0.006695562970391179,1.0
178,2.75,OracleGroupRank2,0.006658870434686983,1.0
178,4.75,ExactIndividual,0.006662402390606932,1.0
178,4.75,LearnedBackbone,0.007152326328087075,1.0
178,4.75,LearnedRank1,0.006641760325882881,1.0
178,4.75,LearnedRank2,0.00661344426142262,1.0
178,4.75,Local,0.006651991993694455,1.0
178,4.75,OracleGroupRank2,0.00662351511568373,1.0
179,0.25,ExactIndividual,0.006749279699176483,1.0
179,0.25,LearnedBackbone,0.011277768657453025,1.0
179,0.25,LearnedRank1,0.01731744713922024,1.0
179,0.25,LearnedRank2,0.05635432241729289,1.0
179,0.25,Local,0.45534313348122557,1.0
179,0.25,OracleGroupRank2,0.05397395715182003,1.0
179,0.5,ExactIndividual,0.006749279699176483,1.0
179,0.5,LearnedBackbone,0.010860846011515204,1.0
179,0.5,LearnedRank1,0.012073246121570094,1.0
179,0.5,LearnedRank2,0.01721778823711546,1.0
179,0.5,Local,0.018408454505707328,1.0
179,0.5,OracleGroupRank2,0.01679964038541732,1.0
179,0.75,ExactIndividual,0.006749279699176483,1.0
179,0.75,LearnedBackbone,0.011926529163333009,1.0
179,0.75,LearnedRank1,0.009674779415298427,1.0
179,0.75,LearnedRank2,0.012025623146796489,1.0
179,0.75,Local,0.012904141509980416,1.0
179,0.75,OracleGroupRank2,0.011991478884947157,1.0
179,1.25,ExactIndividual,0.006749279699176483,1.0
179,1.25,LearnedBackbone,0.008560469654298564,1.0
179,1.25,LearnedRank1,0.0072892239785736284,1.0
179,1.25,LearnedRank2,0.007659707474241912,1.0
179,1.25,Local,0.007683318818127487,1.0
179,1.25,OracleGroupRank2,0.0076571935136723075,1.0
179,1.75,ExactIndividual,0.006749279699176483,1.0
179,1.75,LearnedBackbone,0.007708875492706728,1.0
179,1.75,LearnedRank1,0.0069600718344988155,1.0
179,1.75,LearnedRank2,0.007128694120100211,1.0
179,1.75,Local,0.007128699500359709,1.0
179,1.75,OracleGroupRank2,0.007117142761297659,1.0
179,2.75,ExactIndividual,0.006749279699176483,1.0
179,2.75,LearnedBackbone,0.007621614754515679,1.0
179,2.75,LearnedRank1,0.0067305770729515725,1.0
179,2.75,LearnedRank2,0.006741087559384915,1.0
179,2.75,Local,0.006714839631894931,1.0
179,2.75,OracleGroupRank2,0.006739520766588999,1.0
179,4.75,ExactIndividual,0.006749279699176483,1.0
179,4.75,LearnedBackbone,0.007600544588331783,1.0
179,4.75,LearnedRank1,0.006733033295619739,1.0
179,4.75,LearnedRank2,0.006759180371969884,1.0
179,4.75,Local,0.006735571823299839,1.0
179,4.75,OracleGroupRank2,0.006745992084081323,1.0
180,0.25,ExactIndividual,0.0067112225829019535,1.0
180,0.25,LearnedBackbone,0.011728153852551939,1.0
180,0.25,LearnedRank1,0.017450027494352247,1.0
180,0.25,LearnedRank2,0.05705132877552712,1.0
180,0.25,Local,0.6831595988802619,1.0
180,0.25,OracleGroupRank2,0.05541005706224768,1.0
180,0.5,ExactIndividual,0.0067112225829019535,1.0
180,0.5,LearnedBackbone,0.010051184001089477,1.0
180,0.5,LearnedRank1,0.012013782210782975,1.0
180,0.5,LearnedRank2,0.019820457125651742,1.0
180,0.5,Local,0.01880324683665441,1.0
180,0.5,OracleGroupRank2,0.01778003172582283,1.0
180,0.75,ExactIndividual,0.0067112225829019535,1.0
180,0.75,LearnedBackbone,0.009436741202532552,1.0
180,0.75,LearnedRank1,0.010828763785088272,1.0
180,0.75,LearnedRank2,0.014925300107930075,1.0
180,0.75,Local,0.013787497576071221,1.0
180,0.75,OracleGroupRank2,0.01398902504183148,1.0
180,1.25,ExactIndividual,0.0067112225829019535,1.0
180,1.25,LearnedBackbone,0.007508765545240948,1.0
180,1.25,LearnedRank1,0.007814953377750199,1.0
180,1.25,LearnedRank2,0.008043818112607974,1.0
180,1.25,Local,0.008250409312091967,1.0
