seed,condition,method,tracking,steering,beta,feasible
146,load_shift,ExactDeployment,0.007019247194312724,0.8469731666809851,0.5174280151077001,1.0
146,load_shift,ExactFamily,0.008215981516859162,0.8470066035993219,0.5174615451035474,1.0
146,load_shift,ExactIndividual,0.007446733350099156,0.8470107210502701,0.5174557778569709,1.0
146,load_shift,GlobalExact,0.012812979842638359,0.8470213799113899,0.5175764647822763,1.0
146,load_shift,Local,0.007647229660562953,0.8469897873517911,0.5174345622354862,1.0
146,load_shift,SwapWithinFamily,0.009083736720510103,0.8469884252815683,0.5174444104291918,1.0
146,nominal,ExactDeployment,0.006721824341348389,0.8184476402019227,0.44774460353920326,1.0
146,nominal,ExactFamily,0.007412036581533385,0.8184443786285027,0.4477490075463792,1.0
146,nominal,ExactIndividual,0.006721824341348389,0.8184476402019227,0.44774460353920326,1.0
146,nominal,GlobalExact,0.011664579483419339,0.8184580642827396,0.44783780002109513,1.0
146,nominal,Local,0.0068665226573310055,0.8184313180570173,0.4477292295539563,1.0
146,nominal,SwapWithinFamily,0.008218415508125054,0.8184304730228088,0.4477368986226557,1.0
146,tire_fade,ExactDeployment,0.006892507117918445,0.8500913550923906,0.5251550688377578,1.0
146,tire_fade,ExactFamily,0.00815934409617779,0.850127979762359,0.5251921168875314,1.0
146,tire_fade,ExactIndividual,0.007369425777014499,0.8501321955800104,0.5251862023138443,1.0
146,tire_fade,GlobalExact,0.012829976004617409,0.8501427916815499,0.5253098160262403,1.0
146,tire_fade,Local,0.007584083221796347,0.8501108129475569,0.5251643490749179,1.0
146,tire_fade,SwapWithinFamily,0.009045987566090324,0.8501093854165683,0.5251744313655073,1.0
147,load_shift,ExactDeployment,0.006973908424432941,0.8416495870027018,0.51679649106387,1.0
147,load_shift,ExactFamily,0.008261919066243429,0.841681877438208,0.5168290849682186,1.0
147,load_shift,ExactIndividual,0.007401420390216324,0.8416870544350027,0.5168243437076414,1.0
147,load_shift,GlobalExact,0.012738565423416734,0.8416951468177718,0.5169399972604525,1.0
147,load_shift,Local,0.007753005262516229,0.8416630613981264,0.5168064092390924,1.0
147,load_shift,SwapWithinFamily,0.009937762956472014,0.8416591986504863,0.5168161683649743,1.0
147,nominal,ExactDeployment,0.006680607328783605,0.8135999721178172,0.4471668233179998,1.0
147,nominal,ExactFamily,0.007457344459857348,0.8135958548176438,0.44717045326643234,1.0
147,nominal,ExactIndividual,0.006680607328783605,0.8135999721178172,0.4471668233179998,1.0
147,nominal,GlobalExact,0.011595348539637812,0.8136082177906359,0.44725604529547613,1.0
147,nominal,Local,0.006933045127321073,0.8135803056265792,0.44715317062731624,1.0
147,nominal,SwapWithinFamily,0.008952421012025943,0.8135774460099373,0.4471608210297324,1.0
147,tire_fade,ExactDeployment,0.0068478572690899185,0.8447147368708504,0.5245177425733908,1.0
147,tire_fade,ExactFamily,0.008208027868972637,0.8447501826782008,0.5245538340570528,1.0
147,tire_fade,ExactIndividual,0.007324754859139609,0.8447554808609737,0.5245489743245371,1.0
147,tire_fade,GlobalExact,0.012756427940290391,0.8447634647630432,0.5246674341810709,1.0
147,tire_fade,Local,0.007696318585793486,0.8447310664271377,0.5245305771940951,1.0
147,tire_fade,SwapWithinFamily,0.009924905779890702,0.8447270757101312,0.5245405598567108,1.0
148,load_shift,ExactDeployment,0.0070050974425271,0.8384066614536069,0.5206133036719935,1.0
148,load_shift,ExactFamily,0.008190048333353296,0.8384394674038035,0.520645533278288,1.0
148,load_shift,ExactIndividual,0.0074357408187114525,0.8384443204221924,0.5206416204725913,1.0
148,load_shift,GlobalExact,0.012797235867021153,0.8384466739018458,0.5207508491948535,1.0
148,load_shift,Local,0.007885487373090303,0.8384621676924664,0.5206558227809819,1.0
148,load_shift,SwapWithinFamily,0.009060633172179495,0.8384620404302544,0.5206628666317795,1.0
148,nominal,ExactDeployment,0.006711264105511036,0.8106501459901014,0.4505805229532701,1.0
148,nominal,ExactFamily,0.007387153277446568,0.8106462628433883,0.4505834947277195,1.0
148,nominal,ExactIndividual,0.006711264105511036,0.8106501459901014,0.4505805229532701,1.0
148,nominal,GlobalExact,0.011636074760939826,0.8106537824609562,0.4506648934825624,1.0
148,nominal,Local,0.007127968962505566,0.8106652155888596,0.4505916214864052,1.0
148,nominal,SwapWithinFamily,0.008211836954647389,0.8106652636836835,0.45059707377509345,1.0
148,tire_fade,ExactDeployment,0.006877851775070303,0.8414376729618991,0.5283773328459491,1.0
148,tire_fade,ExactFamily,0.008133629993432345,0.8414737154649741,0.5284131281860187,1.0
148,tire_fade,ExactIndividual,0.007358517018103761,0.8414786790554885,0.5284091150562179,1.0
148,tire_fade,GlobalExact,0.012817617465490856,0.8414808000633864,0.5285209759485286,1.0
148,tire_fade,Local,0.007818297143118113,0.8414967890737169,0.5284236455972339,1.0
148,tire_fade,SwapWithinFamily,0.009018990432173907,0.8414966336717419,0.5284308593657017,1.0
149,load_shift,ExactDeployment,0.006981272110253594,0.8396617477270164,0.5234717035619909,1.0
149,load_shift,ExactFamily,0.0081209546049625,0.8396943696761383,0.5235040225841472,1.0
149,load_shift,ExactIndividual,0.007413833435997821,0.8396995776284808,0.5234999945936829,1.0
149,load_shift,GlobalExact,0.011964972448983886,0.8397017444466461,0.5235886795534336,1.0
149,load_shift,Local,0.0075498119117930335,0.8396600435456926,0.523461043905905,1.0
149,load_shift,SwapWithinFamily,0.008735776781676224,0.8396601970311793,0.5234710516274584,1.0
149,nominal,ExactDeployment,0.006692058660142409,0.8118065318451074,0.45311490663245774,1.0
149,nominal,ExactFamily,0.0073053060526174565,0.8118023793219259,0.45311796938149784,1.0
149,nominal,ExactIndividual,0.006692058660142409,0.8118065318451074,0.45311490663245774,1.0
149,nominal,GlobalExact,0.010871597467395742,0.8118097150816764,0.4531834035100263,1.0
149,nominal,Local,0.0067651894524601705,0.8117750598396017,0.45308615271828,1.0
149,nominal,SwapWithinFamily,0.007840658329252357,0.8117753831967551,0.4530939262453856,1.0
149,tire_fade,ExactDeployment,0.006853681097889819,0.8427051566795943,0.5312705748379863,1.0
149,tire_fade,ExactFamily,0.008065340600734721,0.8427410409606959,0.5313064325995113,1.0
149,tire_fade,ExactIndividual,0.007336616009687243,0.8427463699895523,0.5313023012559919,1.0
149,tire_fade,GlobalExact,0.011972608588343007,0.8427483481490227,0.5313931230743117,1.0
149,tire_fade,Local,0.007488611120801125,0.842706069269672,0.5312622547432199,1.0
149,tire_fade,SwapWithinFamily,0.008700534803831416,0.842706186621586,0.5312725000958125,1.0
150,load_shift,ExactDeployment,0.007096542625979507,0.8514341704580005,0.5165714340424239,1.0
150,load_shift,ExactFamily,0.008350172991916992,0.8514661802482204,0.5166033154195986,1.0
150,load_shift,ExactIndividual,0.007524098998700824,0.8514718648098193,0.5165990532457678,1.0
150,load_shift,GlobalExact,0.012970184956963214,0.8514725819159679,0.5167059779084641,1.0
150,load_shift,Local,0.007810065904357497,0.8514835691311194,0.5166109529785955,1.0
150,load_shift,SwapWithinFamily,0.009485574640077665,0.8514766991028929,0.5166144851196293,1.0
150,nominal,ExactDeployment,0.006790309583327062,0.8225114609325339,0.44692825392037994,1.0
150,nominal,ExactFamily,0.007527707402758705,0.8225069160749124,0.44693150211546945,1.0
150,nominal,ExactIndividual,0.006790309583327062,0.8225114609325339,0.44692825392037994,1.0
150,nominal,GlobalExact,0.011811955987090353,0.8225137118332904,0.44701085720353734,1.0
150,nominal,Local,0.007066858943735023,0.8225214196360173,0.44693762416379257,1.0
150,nominal,SwapWithinFamily,0.00862840197391003,0.8225159749315034,0.44694041209184754,1.0
150,tire_fade,ExactDeployment,0.00696920956924849,0.8545963430809437,0.5242930182201143,1.0
150,tire_fade,ExactFamily,0.008295591688908817,0.8546315363585925,0.5243283576014792,1.0
150,tire_fade,ExactIndividual,0.007446174313991646,0.854637348264122,0.52432398408104,1.0
150,tire_fade,GlobalExact,0.012988063167270258,0.8546378073576727,0.5244334844006227,1.0
150,tire_fade,Local,0.007737468683827658,0.854649202079528,0.5243361446213846,1.0
150,tire_fade,SwapWithinFamily,0.009446683004368222,0.854642164757065,0.524339755321512,1.0
151,load_shift,ExactDeployment,0.007018154301555653,0.8405868127259184,0.5191096894668129,1.0
151,load_shift,ExactFamily,0.008890188742151642,0.8406128052488187,0.5191451785142017,1.0
151,load_shift,ExactIndividual,0.007447856765313262,0.8406240145712461,0.5191379987020035,1.0
151,load_shift,GlobalExact,0.01455817683280519,0.8406101584001381,0.5192766868086789,1.0
151,load_shift,Local,0.007794236897443047,0.8406393605364099,0.5191561531358896,1.0
151,load_shift,SwapWithinFamily,0.009780554544865695,0.8406303886106646,0.5191624672046056,1.0
151,nominal,ExactDeployment,0.006722342904178356,0.8126109718740214,0.4492699590317294,1.0
151,nominal,ExactFamily,0.00801970795760809,0.812602058549753,0.4492754802117694,1.0
