method,selected_k,ari,coverage,minimum_family_coverage,minimum_category_coverage,messages,upload_bytes,download_bytes
Dropout50,2.3,0.5877004089877292,0.9716666666666667,0.9533333333333334,0.8944444444444445,744.9,105339.2,52496.0
FamilySkew20,3.7,0.8540450947769316,0.8066666666666666,0.42000000000000004,0.6444444444444445,1261.2,302297.6,165168.0
OperatingSkew20,3.5,0.8855333921120454,0.9333333333333332,0.9066666666666666,0.47777777777777775,1284.0,289132.0,156240.0
Persistent20,2.1,0.6001405152633376,0.2,0.15499999999999997,0.05555555555555554,1152.0,162388.8,93744.0
Uniform20,3.3,0.8341169921138485,0.9988888888888889,0.9966666666666667,0.9888888888888889,1295.8,274162.4,147312.0
