client_id,family,method,max_spectral_radius,min_spectral_margin,seed
nominal_00,nominal,M1,0.9587691477473751,0.041230852252624905,1
nominal_00,nominal,M2,0.9596012605211278,0.04039873947887218,1
nominal_00,nominal,M3,0.9616714638414715,0.03832853615852849,1
nominal_00,nominal,M4,0.9624003948826793,0.037599605117320745,1
nominal_00,nominal,M5,0.9620913744712183,0.037908625528781714,1
nominal_01,nominal,M1,0.9576362755784689,0.042363724421531135,1
nominal_01,nominal,M2,0.9586750099699752,0.041324990030024766,1
nominal_01,nominal,M3,0.9609297235462224,0.039070276453777586,1
nominal_01,nominal,M4,0.9617956333162868,0.03820436668371319,1
nominal_01,nominal,M5,0.9614549130954152,0.0385450869045848,1
nominal_02,nominal,M1,0.9581039936116218,0.041896006388378204,1
nominal_02,nominal,M2,0.9590849909983287,0.04091500900167133,1
nominal_02,nominal,M3,0.9612719769125632,0.038728023087436836,1
nominal_02,nominal,M4,0.9621014495485638,0.0378985504514362,1
nominal_02,nominal,M5,0.9617709565065988,0.03822904349340117,1
nominal_03,nominal,M1,0.958867662712553,0.04113233728744703,1
nominal_03,nominal,M2,0.9597619224750918,0.040238077524908156,1
nominal_03,nominal,M3,0.9618454887963349,0.03815451120366509,1
nominal_03,nominal,M4,0.9626200590894445,0.03737994091055552,1
nominal_03,nominal,M5,0.9623051396276098,0.037694860372390226,1
nominal_04,nominal,M1,0.9590453655051098,0.04095463449489023,1
nominal_04,nominal,M2,0.9599400510721101,0.04005994892788989,1
nominal_04,nominal,M3,0.9620068547549454,0.037993145245054594,1
nominal_04,nominal,M4,0.9627822606905004,0.037217739309499565,1
nominal_04,nominal,M5,0.9624689836765431,0.0375310163234569,1
nominal_05,nominal,M1,0.9583940876844478,0.04160591231555222,1
nominal_05,nominal,M2,0.959276106132004,0.04072389386799602,1
nominal_05,nominal,M3,0.9613997447268826,0.03860025527311739,1
nominal_05,nominal,M4,0.9621623518803107,0.03783764811968926,1
nominal_05,nominal,M5,0.9618446489817315,0.0381553510182685,1
nominal_06,nominal,M1,0.9599463346873676,0.040053665312632436,1
nominal_06,nominal,M2,0.9608264434848789,0.03917355651512111,1
nominal_06,nominal,M3,0.9628050322518461,0.037194967748153895,1
nominal_06,nominal,M4,0.9635730752664674,0.036426924733532595,1
nominal_06,nominal,M5,0.9632695767566959,0.03673042324330411,1
nominal_07,nominal,M1,0.9586360297737749,0.041363970226225066,1
nominal_07,nominal,M2,0.9596085322102347,0.04039146778976532,1
nominal_07,nominal,M3,0.9617430240335542,0.03825697596644584,1
nominal_07,nominal,M4,0.9625711165462781,0.03742888345372186,1
nominal_07,nominal,M5,0.9622458711006869,0.037754128899313066,1
nominal_08,nominal,M1,0.9579398108456554,0.04206018915434462,1
nominal_08,nominal,M2,0.9588670709048172,0.041132929095182846,1
nominal_08,nominal,M3,0.961052138122489,0.03894786187751098,1
nominal_08,nominal,M4,0.961845264717051,0.03815473528294899,1
nominal_08,nominal,M5,0.9615183220080286,0.03848167799197144,1
nominal_09,nominal,M1,0.9586127318605473,0.041387268139452704,1
nominal_09,nominal,M2,0.9595865845692936,0.04041341543070642,1
nominal_09,nominal,M3,0.9617232372361991,0.038276762763800876,1
nominal_09,nominal,M4,0.962551689803315,0.03744831019668504,1
nominal_09,nominal,M5,0.962226231653497,0.037773768346503034,1
heavy_00,heavy,M1,0.9638220271841644,0.03617797281583557,1
heavy_00,heavy,M2,0.965627659152055,0.03437234084794505,1
heavy_00,heavy,M3,0.9661719606249429,0.03382803937505707,1
heavy_00,heavy,M4,0.967792211452678,0.03220778854732198,1
heavy_00,heavy,M5,0.9675549633242182,0.0324450366757818,1
heavy_01,heavy,M1,0.9633525076555823,0.036647492344417665,1
heavy_01,heavy,M2,0.9651266556371277,0.03487334436287226,1
heavy_01,heavy,M3,0.9657100203666946,0.03428997963330538,1
heavy_01,heavy,M4,0.9673019432097704,0.032698056790229635,1
heavy_01,heavy,M5,0.9670634373557893,0.03293656264421074,1
heavy_02,heavy,M1,0.9616411049231787,0.03835889507682133,1
heavy_02,heavy,M2,0.9636215397036828,0.036378460296317194,1
heavy_02,heavy,M3,0.9642564271523748,0.035743572847625193,1
heavy_02,heavy,M4,0.9660038816280659,0.03399611837193406,1
heavy_02,heavy,M5,0.9657441984341394,0.03425580156586061,1
heavy_03,heavy,M1,0.9640486086766685,0.03595139132333147,1
heavy_03,heavy,M2,0.9658024727142346,0.03419752728576542,1
heavy_03,heavy,M3,0.9663498494991607,0.033650150500839304,1
heavy_03,heavy,M4,0.9679295223182166,0.032070477681783394,1
heavy_03,heavy,M5,0.96769608450364,0.032303915496360025,1
heavy_04,heavy,M1,0.9632950964254368,0.03670490357456324,1
heavy_04,heavy,M2,0.9651657597887819,0.03483424021121806,1
heavy_04,heavy,M3,0.9657228596320754,0.03427714036792462,1
heavy_04,heavy,M4,0.9673923176023208,0.032607682397679194,1
heavy_04,heavy,M5,0.9671487148923972,0.03285128510760282,1
heavy_05,heavy,M1,0.9620948023115728,0.03790519768842715,1
heavy_05,heavy,M2,0.9640262281135177,0.03597377188648232,1
heavy_05,heavy,M3,0.9646435480287685,0.035356451971231495,1
heavy_05,heavy,M4,0.9663542219229634,0.033645778077036614,1
heavy_05,heavy,M5,0.9661001020456359,0.0338998979543641,1
heavy_06,heavy,M1,0.9640786082264793,0.03592139177352072,1
heavy_06,heavy,M2,0.9657572148845638,0.034242785115436214,1
heavy_06,heavy,M3,0.9663252185074774,0.033674781492522565,1
heavy_06,heavy,M4,0.9678421189834238,0.03215788101657624,1
heavy_06,heavy,M5,0.9676129390559534,0.03238706094404664,1
heavy_07,heavy,M1,0.964435208483011,0.03556479151698899,1
heavy_07,heavy,M2,0.9660934241525875,0.03390657584741252,1
heavy_07,heavy,M3,0.9666471684772916,0.033352831522708404,1
heavy_07,heavy,M4,0.968149351719766,0.031850648280233984,1
heavy_07,heavy,M5,0.9679232015310854,0.03207679846891465,1
heavy_08,heavy,M1,0.964802144934172,0.035197855065827954,1
heavy_08,heavy,M2,0.9665351480226809,0.03346485197731908,1
heavy_08,heavy,M3,0.9670405473821719,0.03295945261782807,1
heavy_08,heavy,M4,0.9686059581227742,0.03139404187722583,1
heavy_08,heavy,M5,0.9683784755187457,0.031621524481254326,1
heavy_09,heavy,M1,0.962215581176247,0.03778441882375305,1
heavy_09,heavy,M2,0.9641376115958866,0.03586238840411338,1
heavy_09,heavy,M3,0.9647504569547338,0.035249543045266174,1
heavy_09,heavy,M4,0.9664550354828374,0.0335449645171626,1
heavy_09,heavy,M5,0.9662019856827571,0.03379801431724294,1
handling_00,handling,M1,0.9577090463449296,0.04229095365507041,1
handling_00,handling,M2,0.9546554324759685,0.04534456752403149,1
handling_00,handling,M3,0.9606866104824604,0.0393133895175396,1
handling_00,handling,M4,0.9580368460050201,0.04196315399497985,1
handling_00,handling,M5,0.9576527983295001,0.04234720167049988,1
handling_01,handling,M1,0.957973599106317,0.042026400893683036,1
handling_01,handling,M2,0.954924673487548,0.04507532651245205,1
handling_01,handling,M3,0.9609236870622103,0.03907631293778968,1
handling_01,handling,M4,0.9582736234348221,0.04172637656517786,1
handling_01,handling,M5,0.9578928200456822,0.042107179954317786,1
handling_02,handling,M1,0.9573967540325085,0.04260324596749154,1
handling_02,handling,M2,0.954301714329,0.04569828567099998,1
handling_02,handling,M3,0.960417762810986,0.03958223718901399,1
handling_02,handling,M4,0.957742026350594,0.04225797364940598,1
handling_02,handling,M5,0.9573519671385965,0.042648032861403506,1
handling_03,handling,M1,0.9580454506151715,0.041954549384828455,1
handling_03,handling,M2,0.9553315130424355,0.044668486957564535,1
handling_03,handling,M3,0.9608837506685428,0.03911624933145719,1
handling_03,handling,M4,0.9584900922720538,0.04150990772794616,1
handling_03,handling,M5,0.9581300764579559,0.04186992354204411,1
handling_04,handling,M1,0.956859388383026,0.04314061161697402,1
handling_04,handling,M2,0.9540285166964899,0.045971483303510086,1
handling_04,handling,M3,0.9598493782115566,0.04015062178844342,1
handling_04,handling,M4,0.9573844571158703,0.04261554288412972,1
handling_04,handling,M5,0.9570042260816272,0.04299577391837284,1
handling_05,handling,M1,0.956876438101144,0.04312356189885602,1
handling_05,handling,M2,0.9538119768747185,0.046188023125281474,1
handling_05,handling,M3,0.9599386972794118,0.040061302720588166,1
handling_05,handling,M4,0.9572986439468449,0.04270135605315506,1
handling_05,handling,M5,0.9569044274257006,0.04309557257429941,1
handling_06,handling,M1,0.9584983956194602,0.04150160438053985,1
handling_06,handling,M2,0.9556725017511666,0.04432749824883342,1
handling_06,handling,M3,0.9613309486458037,0.03866905135419629,1
handling_06,handling,M4,0.9588391143107557,0.04116088568924425,1
handling_06,handling,M5,0.9584774422075534,0.041522557792446624,1
handling_07,handling,M1,0.9596270917145641,0.04037290828543594,1
handling_07,handling,M2,0.9570379493198957,0.04296205068010428,1
handling_07,handling,M3,0.9622815496653041,0.0377184503346959,1
handling_07,handling,M4,0.9599592361072626,0.04004076389273736,1
handling_07,handling,M5,0.9596235841668868,0.040376415833113244,1
handling_08,handling,M1,0.9572323535253424,0.042767646474657584,1
handling_08,handling,M2,0.9540792243567612,0.04592077564323882,1
handling_08,handling,M3,0.960288083459241,0.03971191654075901,1
handling_08,handling,M4,0.9575696348893563,0.042430365110643686,1
handling_08,handling,M5,0.9571742416383172,0.042825758361682786,1
handling_09,handling,M1,0.9570606047990199,0.04293939520098011,1
handling_09,handling,M2,0.9540399795875477,0.045960020412452285,1
handling_09,handling,M3,0.9600916110912231,0.039908388908776904,1
handling_09,handling,M4,0.9574785454712912,0.04252145452870881,1
handling_09,handling,M5,0.9570891244451549,0.042910875554845074,1
nominal_00,nominal,M1,0.9580476324757945,0.0419523675242055,2
nominal_00,nominal,M2,0.9594964282166356,0.04050357178336439,2
nominal_00,nominal,M3,0.9613222855179225,0.03867771448207746,2
nominal_00,nominal,M4,0.9625230033619411,0.037476996638058924,2
nominal_00,nominal,M5,0.9621924796761641,0.03780752032383594,2
nominal_01,nominal,M1,0.9603267965761064,0.03967320342389358,2
nominal_01,nominal,M2,0.9614975412822577,0.03850245871774227,2
nominal_01,nominal,M3,0.9631078834398742,0.03689211656012581,2
nominal_01,nominal,M4,0.9641314148083424,0.03586858519165759,2
nominal_01,nominal,M5,0.9638400529168243,0.036159947083175714,2
nominal_02,nominal,M1,0.9585856889037119,0.041414311096288126,2
nominal_02,nominal,M2,0.9599309218855642,0.04006907811443583,2
nominal_02,nominal,M3,0.9617031768397266,0.038296823160273386,2
nominal_02,nominal,M4,0.9628402485356742,0.03715975146432582,2
nominal_02,nominal,M5,0.9625211271897575,0.037478872810242536,2
nominal_03,nominal,M1,0.9583659567053119,0.04163404329468812,2
nominal_03,nominal,M2,0.9596283164265257,0.040371683573474315,2
nominal_03,nominal,M3,0.9614194239457988,0.03858057605420118,2
