method,log_time_average_tracking
ExactIndividual,0.006696746086723865
LearnedBackbone,0.0093349375501618
LearnedRank1,0.010006271963509637
LearnedRank2,0.015280048397412463
Local,0.06772638212241906
OracleGroupRank2,0.014456655756294508
