regime,kind,tracking_cost_vs_reference_pct,global_improvement_pct,test_ari,passed
baseline,discrete,0.07789026770936847,35.659518347678656,0.979634078728516,True
short-data,discrete,63.87349307635781,-7.4580471240417445,0.08211115840370233,False
high-noise,discrete,21.896833084600644,21.82118500611393,0.3899282742422962,False
unbalanced,discrete,1.4864765507997868,21.077927528946493,0.9543094696166985,True
continuous,continuous,-0.4231685612264724,17.248983118761007,,False
