mechanism,cohort,epsilon,tracking,std,q95,feasible_rate,rho,baseline,tracking_increase_pct
Broad-10,10,2,0.3719908670108372,0.30250063200705335,0.7999609706697062,1.0,1.045656597732433,0.007860977675205327,4632.1196215090495
Broad-10,10,4,0.14915192601145497,0.11426009230795416,0.3599765943633453,1.0,0.99134177028754,0.007860977675205327,1797.3711944495396
Broad-10,10,8,0.06578037446528257,0.039723315982815255,0.13751781846813332,1.0,0.976357472947049,0.007860977675205327,736.796352605904
Broad-10,10,inf,0.007860977675205327,0.00027408637624891494,0.008132062716643886,1.0,0.9685397168247446,0.007860977675205327,0.0
Tight-10,10,2,0.021616533564107376,0.006521157665578224,0.032654986617216525,1.0,0.9732236281807916,0.00786097767520531,174.98530662781465
Tight-10,10,4,0.01563973423152552,0.004960264164690431,0.02475836737873618,1.0,0.9714481530308496,0.00786097767520531,98.95405988564963
Tight-10,10,8,0.010998635369135383,0.0024177583271030294,0.015217619041352949,1.0,0.9703290298724708,0.00786097767520531,39.91434429112692
Tight-10,10,inf,0.00786097767520531,0.00027408637624892117,0.008132062716643882,1.0,0.9685397168247448,0.00786097767520531,0.0
Tight-100,100,2,0.008249905129588227,0.0005962845513636117,0.009295355695028833,1.0,0.9692158797802706,0.0077793437442607695,6.048857086108517
Tight-100,100,4,0.007827288836242691,0.00024220405989319773,0.008188067445825658,1.0,0.969040187541389,0.0077793437442607695,0.6163128093843895
Tight-100,100,8,0.007786572123204824,0.0002142873296831361,0.008181462560360467,1.0,0.9688365714785944,0.0077793437442607695,0.09291759281606637
Tight-100,100,inf,0.0077793437442607695,0.00019603927603472986,0.008035437092279931,1.0,0.9686585615283584,0.0077793437442607695,0.0
Tight-30,30,2,0.01088394990982651,0.002584562175570703,0.015455736116699294,1.0,0.9707096323005956,0.00778438711324219,39.81768572777664
Tight-30,30,4,0.009076529459219834,0.00113376982980411,0.011486379045746328,1.0,0.9698335450008556,0.00778438711324219,16.599153243285556
Tight-30,30,8,0.008268340497199385,0.000492001330889679,0.00919747545625638,1.0,0.9694529566541792,0.00778438711324219,6.2169747844879275
Tight-30,30,inf,0.00778438711324219,0.00022782133859137817,0.0080321810916038,1.0,0.9686572750692178,0.00778438711324219,0.0
