severity,method,runs,mean_one_step_nrmse,mean_free_run_nrmse,mean_one_step_beta_rmse_deg,mean_one_step_yaw_rmse_deg_s,mean_free_run_beta_rmse_deg,mean_free_run_yaw_rmse_deg_s,worst_family_free_run_nrmse,family_gap_free_run_nrmse
near_linear,M1,30,0.015005492562847892,1.0571505340378693,0.0026632714924765192,0.02278967852823136,0.20512753919293492,0.5170311348633484,1.5974935362772,0.9681253667701094
near_linear,M2,30,0.013545968717005826,0.7717764164399401,0.002568639643803811,0.019705559905131568,0.1616236079034496,0.27221907595849637,0.8309857555892288,0.1432200655597342
near_linear,M3,30,0.007130497054705823,0.5726589608136138,0.001111134855785875,0.01502518861671808,0.11235827763695226,0.4474757850852758,0.7957593808680613,0.3698795332172013
near_linear,M4,30,0.002931575160678849,0.11538334627499532,0.00046050829756284946,0.0054355246965317626,0.022591356272162025,0.13624595975606563,0.14685383576005298,0.0528377380177405
near_linear,M5,30,0.008983682216405772,0.31680400877699283,0.0016018247021806695,0.01571279251767262,0.06400393487937096,0.1801126193543132,0.40781916474904145,0.1481558870111056
moderate,M1,30,0.014177497089747672,1.009277941265288,0.005210947425959784,0.044772908440045917,0.40897908352093637,1.0411196592823972,1.517330988671347,0.909211667829313
moderate,M2,30,0.012886682976595249,0.7304545778082807,0.005028002601574117,0.03912742248248876,0.31893266533733194,0.5500586193121103,0.7806283322867706,0.1254445426885218
moderate,M3,30,0.006987416448378512,0.553979103083691,0.0022950110659370536,0.03011418259696475,0.2275258665981477,0.8977743340241432,0.7548928379764166,0.33044940017436275
moderate,M4,30,0.002805084304862925,0.11217364602937696,0.0009417867522197927,0.010756183447178007,0.04626323857234757,0.26551970355531185,0.14411484710698577,0.05278463189820079
moderate,M5,30,0.008400971863835939,0.29645443848524233,0.003102836498896927,0.030040723369721665,0.12486870527436261,0.3683737638229815,0.37821921838560063,0.132826046964983
strong,M1,30,0.01296728547317269,0.9308908278571706,0.007618762255535624,0.06499464899277149,0.6105411022990651,1.5808869064377276,1.3859993144788825,0.8124904275839985
strong,M2,30,0.011926396132021708,0.663571002346819,0.0073446438340960115,0.05801732498014864,0.4674026316448091,0.8435677282745361,0.7006293210791283,0.09948701769218538
strong,M3,30,0.0072215817560176586,0.5254700611545035,0.0039982556677410856,0.04582496520668233,0.3506594221700945,1.3554784386871337,0.6903424854020264,0.2668330534222794
strong,M4,30,0.003998835844026184,0.12112395381042698,0.0024743440671469203,0.018386311673706947,0.08226942585251769,0.3878431784443857,0.14994951969873935,0.05071388374542514
strong,M5,30,0.007952557051674256,0.2695753210324067,0.004791121024058132,0.041840831778836345,0.18321687711299062,0.583356906571856,0.3366949464701522,0.10959324978415003
