method,physics_weight,max_spectral_radius,passes
M1,0.0,0.9669337768025195,True
M2,0.0,0.9602791496261962,True
M3,0.0,5.887786598926391,False
M4,0.0,1.032073014767898,False
M5,0.0,19.869087899450975,False
M1,0.1,0.9630740672376236,True
M2,0.1,0.9598748800340962,True
M3,0.1,3.11634934722433,False
M4,0.1,1.0374671913513953,False
M5,0.1,5.797747886485417,False
M1,0.25,0.9586523756024897,True
M2,0.25,0.9599882693906728,True
M3,0.25,1.4843538518127215,False
M4,0.25,0.9611046068848883,True
M5,0.25,0.9676687242375693,True
M1,0.5,0.9570573725011828,True
M2,0.5,0.9623094098265224,True
M3,0.5,0.9667201849766327,True
M4,0.5,0.9628932671099162,True
M5,0.5,0.9612212524152907,True
