method,degradation_vs_uniform_pct,improvement_vs_local_pct,within_uniform_tolerance,beats_local,fleetwise_win_rate,worst_fleet_vs_local_pct
Persistent20,2.704470429552286,12.831952064171281,True,True,0.9,34.430543429762885
FamilySkew20,1.1430494769402388,14.157172046086796,True,True,1.0,-5.4709814932484395
OperatingSkew20,-2.403757450409072,17.167442533527566,True,True,1.0,-8.466877790408422
Dropout50,-1.3783842306976934,16.29718068811721,True,True,1.0,-8.99684157905064
