scenario,baseline,mean_delta,ci_low,ci_high,reduction_pct,positive_seed_pairs
previous_s_curve,M1,0.006905159699122329,0.006562785754786468,0.007289779075984153,16.588042797178485,10
previous_s_curve,M2,0.003456342881849058,0.0031717379261379684,0.0037560843880157305,9.053109679944809,10
previous_s_curve,M3,0.0041929182165720575,0.0038903486608295444,0.004477238823149391,10.774530207377286,10
previous_s_curve,M5,0.0078045430614991085,0.007758315611320653,0.007853548330249083,18.35209453132018,10
previous_s_curve,LTI_all,0.006546392775787138,0.005349811144027119,0.007850221565795686,15.862903675580895,10
previous_s_curve,LTI_near,0.004438627647310936,0.003384303669144126,0.005590085081008311,11.334364001500063,10
previous_s_curve,physics_M4,0.00014456293442083532,7.455424227280549e-05,0.0002129155757261425,0.4146156276305749,8
shifted_double_lane,M1,0.015343201283355973,0.014947766375775098,0.01578109078252673,37.255342863127076,10
shifted_double_lane,M2,0.011668868477978758,0.011093430173398632,0.01221216970005167,31.109050060824238,10
shifted_double_lane,M3,0.005104080922209738,0.004738577324186182,0.0054697349033132605,16.49416091482919,10
shifted_double_lane,M5,0.007352311675841864,0.007304137848921201,0.0074022318860476255,22.150183723523046,10
shifted_double_lane,LTI_all,0.013050693473586793,0.011111633857188224,0.014850676711516016,33.55677032734703,10
shifted_double_lane,LTI_near,0.01023791406615707,0.008415891047623475,0.011945902824718451,28.37668828656719,10
shifted_double_lane,physics_M4,-0.00042906022285586,-0.00045228639168250586,-0.0004064681939005798,-1.6884401512779166,0
constant_22,M1,0.006748779856891774,0.006435807403408978,0.007035926509911037,23.363077328538864,10
constant_22,M2,0.002406591357710102,0.0021130700489399037,0.002682959427427836,9.80508032920069,10
constant_22,M3,0.004658337674709555,0.004345982602209625,0.0049623492482663055,17.384401615340565,10
constant_22,M5,0.002406591357710102,0.0021130700489399037,0.002682959427427836,9.80508032920069,10
constant_22,LTI_all,0.003539536646554522,0.002541020400379258,0.004487981529087429,13.784704519131504,10
constant_22,LTI_near,0.0020542882695771857,0.0011271230245627757,0.002938061834544656,8.491591893041623,9
constant_22,physics_M4,0.00014627105934761838,0.00012209818333168375,0.00017106414431767854,0.6563946777056648,10
all,M1,0.009665713613123359,0.009390235819533813,0.009913270917976603,25.960363305765576,10
all,M2,0.005843934239179307,0.00565016259491642,0.006023651883371712,17.491151785961716,10
all,M3,0.004651778937830452,0.0043251690150136884,0.004967847873779846,14.438157067238427,10
all,M5,0.005854482031683692,0.0057355603662252825,0.005967338658780361,17.517191613617996,10
all,LTI_all,0.007712207631976148,0.0063654448274261585,0.009010418758659917,21.860571345966086,10
all,LTI_near,0.005576943327681731,0.004331784794182595,0.006773637071676349,16.826499432967374,10
all,physics_M4,-4.607540969580499e-05,-8.04678775788093e-05,-1.1558616846610126e-05,-0.16742035507921216,2
