design,client_id,family,method,max_small_signal_spectral_radius,small_signal_stable
test,nominal_00,nominal,M4,0.9608259037402923,True
test,nominal_00,nominal,LTI_1,0.9598916655400164,True
test,nominal_00,nominal,LTI_2,0.9597638902115715,True
test,nominal_00,nominal,LTI_3,0.9603429491949363,True
test,nominal_00,nominal,LTI_5,0.9606516100543055,True
test,nominal_00,nominal,LTI_8,0.9606204850861486,True
test,nominal_00,nominal,LTI_10,0.9606628838108587,True
test,nominal_01,nominal,M4,0.9611612523189428,True
test,nominal_01,nominal,LTI_1,0.9602547796622528,True
test,nominal_01,nominal,LTI_2,0.9601309759924578,True
test,nominal_01,nominal,LTI_3,0.9606923750704341,True
test,nominal_01,nominal,LTI_5,0.960991972036244,True
test,nominal_01,nominal,LTI_8,0.9609617502558732,True
test,nominal_01,nominal,LTI_10,0.9610029192430013,True
test,nominal_02,nominal,M4,0.9602178626439329,True
test,nominal_02,nominal,LTI_1,0.9593315991107148,True
test,nominal_02,nominal,LTI_2,0.959210777895561,True
test,nominal_02,nominal,LTI_3,0.9597590797760703,True
test,nominal_02,nominal,LTI_5,0.9600521378016713,True
test,nominal_02,nominal,LTI_8,0.9600225613611891,True
test,nominal_02,nominal,LTI_10,0.9600628520384632,True
test,nominal_03,nominal,M4,0.9594930419512105,True
test,nominal_03,nominal,LTI_1,0.9585049231534596,True
test,nominal_03,nominal,LTI_2,0.9583694782089022,True
test,nominal_03,nominal,LTI_3,0.9589827051078499,True
test,nominal_03,nominal,LTI_5,0.9593089790455389,True
test,nominal_03,nominal,LTI_8,0.9592760962584637,True
test,nominal_03,nominal,LTI_10,0.9593208885032186,True
test,nominal_04,nominal,M4,0.9591981253301212,True
test,nominal_04,nominal,LTI_1,0.9582567117977521,True
test,nominal_04,nominal,LTI_2,0.9581280368395947,True
test,nominal_04,nominal,LTI_3,0.9587113250786937,True
test,nominal_04,nominal,LTI_5,0.9590224085683282,True
test,nominal_04,nominal,LTI_8,0.9589910337153041,True
test,nominal_04,nominal,LTI_10,0.9590337731502447,True
test,nominal_05,nominal,M4,0.9605837201417585,True
test,nominal_05,nominal,LTI_1,0.9596375450645936,True
test,nominal_05,nominal,LTI_2,0.9595080536818803,True
test,nominal_05,nominal,LTI_3,0.9600947257055091,True
test,nominal_05,nominal,LTI_5,0.9604072780171719,True
test,nominal_05,nominal,LTI_8,0.9603757657088207,True
test,nominal_05,nominal,LTI_10,0.9604186917952259,True
test,nominal_06,nominal,M4,0.9606131300504692,True
test,nominal_06,nominal,LTI_1,0.9596926821258447,True
test,nominal_06,nominal,LTI_2,0.9595669230821954,True
test,nominal_06,nominal,LTI_3,0.9601370968396729,True
test,nominal_06,nominal,LTI_5,0.9604412835180397,True
test,nominal_06,nominal,LTI_8,0.9604106015567477,True
test,nominal_06,nominal,LTI_10,0.9604523972629767,True
test,nominal_07,nominal,M4,0.9619105089894545,True
test,nominal_07,nominal,LTI_1,0.9610785021732646,True
test,nominal_07,nominal,LTI_2,0.9609653185074156,True
test,nominal_07,nominal,LTI_3,0.9614794317965243,True
test,nominal_07,nominal,LTI_5,0.9617547002913972,True
test,nominal_07,nominal,LTI_8,0.961726904382789,True
test,nominal_07,nominal,LTI_10,0.961764770333826,True
test,nominal_08,nominal,M4,0.9604529162579929,True
test,nominal_08,nominal,LTI_1,0.9595842247292787,True
test,nominal_08,nominal,LTI_2,0.9594658833546447,True
test,nominal_08,nominal,LTI_3,0.9600030943861632,True
test,nominal_08,nominal,LTI_5,0.9602903950695699,True
test,nominal_08,nominal,LTI_8,0.9602613943269007,True
test,nominal_08,nominal,LTI_10,0.960300901052203,True
test,nominal_09,nominal,M4,0.9604219211549991,True
test,nominal_09,nominal,LTI_1,0.95950491433346,True
test,nominal_09,nominal,LTI_2,0.9593796621626057,True
test,nominal_09,nominal,LTI_3,0.9599476080869485,True
test,nominal_09,nominal,LTI_5,0.9602506807588269,True
test,nominal_09,nominal,LTI_8,0.9602201087863153,True
test,nominal_09,nominal,LTI_10,0.9602617547951171,True
test,heavy_00,heavy,M4,0.9655800190888405,True
test,heavy_00,heavy,LTI_1,0.9648959377556009,True
test,heavy_00,heavy,LTI_2,0.9648025572996665,True
test,heavy_00,heavy,LTI_3,0.965226099895154,True
test,heavy_00,heavy,LTI_5,0.9654522262138999,True
test,heavy_00,heavy,LTI_8,0.9654294130358454,True
test,heavy_00,heavy,LTI_10,0.9654604899510376,True
test,heavy_01,heavy,M4,0.9654816453074453,True
test,heavy_01,heavy,LTI_1,0.9647656731027722,True
test,heavy_01,heavy,LTI_2,0.9646677447849272,True
test,heavy_01,heavy,LTI_3,0.9651115386241315,True
test,heavy_01,heavy,LTI_5,0.9653480840360721,True
test,heavy_01,heavy,LTI_8,0.9653242320213551,True
test,heavy_01,heavy,LTI_10,0.9653567233966833,True
test,heavy_02,heavy,M4,0.9657477751162515,True
test,heavy_02,heavy,LTI_1,0.965056259444615,True
test,heavy_02,heavy,LTI_2,0.9649618036554872,True
test,heavy_02,heavy,LTI_3,0.9653901071696755,True
test,heavy_02,heavy,LTI_5,0.9656186527856333,True
test,heavy_02,heavy,LTI_8,0.9655955994061556,True
test,heavy_02,heavy,LTI_10,0.965627003317617,True
test,heavy_03,heavy,M4,0.965727704776519,True
test,heavy_03,heavy,LTI_1,0.9650699164408287,True
test,heavy_03,heavy,LTI_2,0.9649802410502041,True
test,heavy_03,heavy,LTI_3,0.9653872012776586,True
test,heavy_03,heavy,LTI_5,0.9656047094758198,True
test,heavy_03,heavy,LTI_8,0.9655827582895273,True
test,heavy_03,heavy,LTI_10,0.9656126613831788,True
test,heavy_04,heavy,M4,0.9649840808016975,True
test,heavy_04,heavy,LTI_1,0.9642921623267499,True
test,heavy_04,heavy,LTI_2,0.9641977001239526,True
test,heavy_04,heavy,LTI_3,0.9646261243007997,True
test,heavy_04,heavy,LTI_5,0.9648548338223535,True
test,heavy_04,heavy,LTI_8,0.9648317606507408,True
test,heavy_04,heavy,LTI_10,0.9648631917063981,True
test,heavy_05,heavy,M4,0.9650846833851257,True
test,heavy_05,heavy,LTI_1,0.9643812063097096,True
test,heavy_05,heavy,LTI_2,0.9642850964875469,True
test,heavy_05,heavy,LTI_3,0.9647208595742554,True
test,heavy_05,heavy,LTI_5,0.9649533458071132,True
test,heavy_05,heavy,LTI_8,0.9649298960996853,True
test,heavy_05,heavy,LTI_10,0.9649618398370521,True
test,heavy_06,heavy,M4,0.964339728664277,True
test,heavy_06,heavy,LTI_1,0.9635730450940194,True
test,heavy_06,heavy,LTI_2,0.9634679459133532,True
test,heavy_06,heavy,LTI_3,0.9639437795226082,True
test,heavy_06,heavy,LTI_5,0.9641969315872108,True
test,heavy_06,heavy,LTI_8,0.9641714195741667,True
test,heavy_06,heavy,LTI_10,0.9642061714128656,True
test,heavy_07,heavy,M4,0.9637712448680531,True
test,heavy_07,heavy,LTI_1,0.9630089210740646,True
test,heavy_07,heavy,LTI_2,0.9629044960784031,True
test,heavy_07,heavy,LTI_3,0.9633774238669389,True
test,heavy_07,heavy,LTI_5,0.9636291846307015,True
test,heavy_07,heavy,LTI_8,0.9636038079147495,True
test,heavy_07,heavy,LTI_10,0.9636383757277938,True
test,heavy_08,heavy,M4,0.9655454646106608,True
test,heavy_08,heavy,LTI_1,0.9648681772488231,True
test,heavy_08,heavy,LTI_2,0.9647757557967371,True
test,heavy_08,heavy,LTI_3,0.9651950090396403,True
test,heavy_08,heavy,LTI_5,0.9654189095311113,True
test,heavy_08,heavy,LTI_8,0.9653963188542354,True
test,heavy_08,heavy,LTI_10,0.9654270927848532,True
test,heavy_09,heavy,M4,0.965464603678586,True
test,heavy_09,heavy,LTI_1,0.96477266904848,True
test,heavy_09,heavy,LTI_2,0.9646781744791196,True
test,heavy_09,heavy,LTI_3,0.9651066887142762,True
test,heavy_09,heavy,LTI_5,0.9653353844681908,True
test,heavy_09,heavy,LTI_8,0.9653123147167328,True
test,heavy_09,heavy,LTI_10,0.9653437409992665,True
test,handling_00,handling,M4,0.9540044727032575,True
test,handling_00,handling,LTI_1,0.9527178090767453,True
test,handling_00,handling,LTI_2,0.9525420995729851,True
test,handling_00,handling,LTI_3,0.9533389018827768,True
test,handling_00,handling,LTI_5,0.9537641653559371,True
