design,client_id,family,method,max_small_signal_spectral_radius,small_signal_stable
phase3_transfer,heavy_09,heavy,M5,0.9640422043078883,True
phase3_transfer,handling_00,handling,M1,0.9550757045368699,True
phase3_transfer,handling_00,handling,M2,0.9514553706970751,True
phase3_transfer,handling_00,handling,M3,0.9580702098350179,True
phase3_transfer,handling_00,handling,M4,0.9550067900186916,True
phase3_transfer,handling_00,handling,M5,0.9550528376593482,True
phase3_transfer,handling_01,handling,M1,0.9553243086050095,True
phase3_transfer,handling_01,handling,M2,0.9516929690479108,True
phase3_transfer,handling_01,handling,M3,0.958296876782113,True
phase3_transfer,handling_01,handling,M4,0.9552229890816978,True
phase3_transfer,handling_01,handling,M5,0.9552686750227544,True
phase3_transfer,handling_02,handling,M1,0.9547634505858437,True
phase3_transfer,handling_02,handling,M2,0.9510970042726203,True
phase3_transfer,handling_02,handling,M3,0.9578002827536349,True
phase3_transfer,handling_02,handling,M4,0.9547098352720137,True
phase3_transfer,handling_02,handling,M5,0.9547566353114592,True
phase3_transfer,handling_03,handling,M1,0.9555764623641485,True
phase3_transfer,handling_03,handling,M2,0.9524651686548797,True
phase3_transfer,handling_03,handling,M3,0.9583896621124867,True
phase3_transfer,handling_03,handling,M4,0.9556835063363255,True
phase3_transfer,handling_03,handling,M5,0.9557262505778822,True
phase3_transfer,handling_04,handling,M1,0.9544099267557525,True
phase3_transfer,handling_04,handling,M2,0.9511817928305967,True
phase3_transfer,handling_04,handling,M3,0.9573651845960547,True
phase3_transfer,handling_04,handling,M4,0.954592318466362,True
phase3_transfer,handling_04,handling,M5,0.9546375518999961,True
phase3_transfer,handling_05,handling,M1,0.9543036127191011,True
phase3_transfer,handling_05,handling,M2,0.9507199148044563,True
phase3_transfer,handling_05,handling,M3,0.9573642497512066,True
phase3_transfer,handling_05,handling,M4,0.9543444263046872,True
phase3_transfer,handling_05,handling,M5,0.9543916354520653,True
phase3_transfer,handling_06,handling,M1,0.955934381441337,True
phase3_transfer,handling_06,handling,M2,0.9526320297236863,True
phase3_transfer,handling_06,handling,M3,0.95876688063478,True
phase3_transfer,handling_06,handling,M4,0.9559092340308115,True
phase3_transfer,handling_06,handling,M5,0.9559522976708481,True
phase3_transfer,handling_07,handling,M1,0.957128645683406,True
phase3_transfer,handling_07,handling,M2,0.9541353648377465,True
phase3_transfer,handling_07,handling,M3,0.9597706726999924,True
phase3_transfer,handling_07,handling,M4,0.9571235091414683,True
phase3_transfer,handling_07,handling,M5,0.957163209099785,True
phase3_transfer,handling_08,handling,M1,0.9545774027949177,True
phase3_transfer,handling_08,handling,M2,0.9508283445363115,True
phase3_transfer,handling_08,handling,M3,0.9576538602438114,True
phase3_transfer,handling_08,handling,M4,0.9545063474674965,True
phase3_transfer,handling_08,handling,M5,0.9545538518458215,True
phase3_transfer,handling_09,handling,M1,0.9544943548996434,True
phase3_transfer,handling_09,handling,M2,0.9509687648494352,True
phase3_transfer,handling_09,handling,M3,0.9575218423655721,True
phase3_transfer,handling_09,handling,M4,0.9545349175250226,True
phase3_transfer,handling_09,handling,M5,0.9545814924996471,True
nonlinear_data_redesign,nominal_00,nominal,M1,0.9638081487743396,True
nonlinear_data_redesign,nominal_00,nominal,M2,0.9587982134430171,True
nonlinear_data_redesign,nominal_00,nominal,M3,5.399000873450843,False
nonlinear_data_redesign,nominal_00,nominal,M4,0.9701516598276448,True
nonlinear_data_redesign,nominal_00,nominal,M5,11.338606132604646,False
nonlinear_data_redesign,nominal_01,nominal,M1,0.9633141996861824,True
nonlinear_data_redesign,nominal_01,nominal,M2,0.957536484879922,True
nonlinear_data_redesign,nominal_01,nominal,M3,5.887786598926391,False
nonlinear_data_redesign,nominal_01,nominal,M4,0.9713714470194755,True
nonlinear_data_redesign,nominal_01,nominal,M5,12.322321913606716,False
nonlinear_data_redesign,nominal_02,nominal,M1,0.963482622991504,True
nonlinear_data_redesign,nominal_02,nominal,M2,0.958004573576915,True
nonlinear_data_redesign,nominal_02,nominal,M3,5.7544077076875055,False
nonlinear_data_redesign,nominal_02,nominal,M4,0.9712335688820753,True
nonlinear_data_redesign,nominal_02,nominal,M5,12.130246734790303,False
nonlinear_data_redesign,nominal_03,nominal,M1,0.9633869947891854,True
nonlinear_data_redesign,nominal_03,nominal,M2,0.9587587719836715,True
nonlinear_data_redesign,nominal_03,nominal,M3,5.555390382576829,False
nonlinear_data_redesign,nominal_03,nominal,M4,0.9711955043101361,True
nonlinear_data_redesign,nominal_03,nominal,M5,11.640266538569122,False
nonlinear_data_redesign,nominal_04,nominal,M1,0.9633290575837052,True
nonlinear_data_redesign,nominal_04,nominal,M2,0.9588968742532823,True
nonlinear_data_redesign,nominal_04,nominal,M3,5.5507179448039405,False
nonlinear_data_redesign,nominal_04,nominal,M4,0.9714032217400064,True
nonlinear_data_redesign,nominal_04,nominal,M5,11.64969742704158,False
nonlinear_data_redesign,nominal_05,nominal,M1,0.9638466727742838,True
nonlinear_data_redesign,nominal_05,nominal,M2,0.9584174654123631,True
nonlinear_data_redesign,nominal_05,nominal,M3,5.526677238667167,False
nonlinear_data_redesign,nominal_05,nominal,M4,0.9703339045108481,True
nonlinear_data_redesign,nominal_05,nominal,M5,11.678008905933059,False
nonlinear_data_redesign,nominal_06,nominal,M1,0.9636084960646196,True
nonlinear_data_redesign,nominal_06,nominal,M2,0.9596374732267547,True
nonlinear_data_redesign,nominal_06,nominal,M3,5.499055215518112,False
nonlinear_data_redesign,nominal_06,nominal,M4,0.9722712658583037,True
nonlinear_data_redesign,nominal_06,nominal,M5,11.600285431245744,False
nonlinear_data_redesign,nominal_07,nominal,M1,0.9632476825065913,True
nonlinear_data_redesign,nominal_07,nominal,M2,0.9584249108326457,True
nonlinear_data_redesign,nominal_07,nominal,M3,5.7494934542272365,False
nonlinear_data_redesign,nominal_07,nominal,M4,0.9719269981571084,True
nonlinear_data_redesign,nominal_07,nominal,M5,11.981958325549957,False
nonlinear_data_redesign,nominal_08,nominal,M1,0.9637036820661437,True
nonlinear_data_redesign,nominal_08,nominal,M2,0.9579832455677671,True
nonlinear_data_redesign,nominal_08,nominal,M3,5.654258337667287,False
nonlinear_data_redesign,nominal_08,nominal,M4,0.9704443081780707,True
nonlinear_data_redesign,nominal_08,nominal,M5,11.863175253437076,False
nonlinear_data_redesign,nominal_09,nominal,M1,0.9632204373728918,True
nonlinear_data_redesign,nominal_09,nominal,M2,0.9584044912903744,True
nonlinear_data_redesign,nominal_09,nominal,M3,5.748084009567856,False
nonlinear_data_redesign,nominal_09,nominal,M4,0.9718796083869381,True
nonlinear_data_redesign,nominal_09,nominal,M5,12.01090839488782,False
nonlinear_data_redesign,heavy_00,heavy,M1,0.9662312331356775,True
nonlinear_data_redesign,heavy_00,heavy,M2,0.9581391703621621,True
nonlinear_data_redesign,heavy_00,heavy,M3,5.096693701935145,False
nonlinear_data_redesign,heavy_00,heavy,M4,0.9636611296339327,True
nonlinear_data_redesign,heavy_00,heavy,M5,18.991120743774864,False
nonlinear_data_redesign,heavy_01,heavy,M1,0.9652601757385608,True
nonlinear_data_redesign,heavy_01,heavy,M2,0.9571130560141597,True
nonlinear_data_redesign,heavy_01,heavy,M3,4.986933468859494,False
nonlinear_data_redesign,heavy_01,heavy,M4,0.962678032057355,True
nonlinear_data_redesign,heavy_01,heavy,M5,18.378513202827712,False
nonlinear_data_redesign,heavy_02,heavy,M1,0.9646662723555435,True
