seed,budget,method,tracking,feasible
223,1.25,Local,0.007104076936175057,1.0
223,1.25,OperatingSkew20,0.007028174239522604,1.0
223,1.25,Persistent20,0.006995534055124091,1.0
223,1.25,Uniform20,0.007081281463555937,1.0
224,0.75,Dropout50,0.011105643642101851,1.0
224,0.75,ExactIndividual,0.0066721649235276705,1.0
224,0.75,FamilySkew20,0.013392405567686836,1.0
224,0.75,Local,0.01449345843463168,1.0
224,0.75,OperatingSkew20,0.010023217499170484,1.0
224,0.75,Persistent20,0.009035683062031036,1.0
224,0.75,Uniform20,0.014001461009569924,1.0
224,1.25,Dropout50,0.007397871652811644,1.0
224,1.25,ExactIndividual,0.0066721649235276705,1.0
224,1.25,FamilySkew20,0.007385587038193826,1.0
224,1.25,Local,0.0073396303123646955,1.0
224,1.25,OperatingSkew20,0.0072995785629762465,1.0
224,1.25,Persistent20,0.007274982053363708,1.0
224,1.25,Uniform20,0.007353290156680891,1.0
225,0.75,Dropout50,0.011177512740152789,1.0
225,0.75,ExactIndividual,0.006771119871751414,1.0
225,0.75,FamilySkew20,0.011087713091026064,1.0
225,0.75,Local,0.013808067334652533,1.0
225,0.75,OperatingSkew20,0.012360168374013197,1.0
225,0.75,Persistent20,0.01134461588933412,1.0
225,0.75,Uniform20,0.012275952697107906,1.0
225,1.25,Dropout50,0.008113691016903917,1.0
225,1.25,ExactIndividual,0.006771119871751414,1.0
225,1.25,FamilySkew20,0.008119198897155872,1.0
225,1.25,Local,0.008179198339081964,1.0
225,1.25,OperatingSkew20,0.008155975135823623,1.0
225,1.25,Persistent20,0.008067987482091261,1.0
225,1.25,Uniform20,0.008113383065910477,1.0
