budget,method,reference,label,mean_improvement_pct,median_improvement_pct,ci95_low_pct,ci95_high_pct,wins,fleets,minimum_improvement_pct,maximum_improvement_pct
0.75,Fed20Rank1,Local,cold_start_superiority,16.897894488999377,18.938428745237108,11.786201849864588,21.097640229568576,9,10,-1.3818241516414675,24.76659098962196
0.75,CentralRank1,Local,central_rank1,15.19339973358974,16.63476873168092,9.550891829382193,19.674514633075706,9,10,-5.436848491988032,24.79650647693906
0.75,LearnedCenter,Local,clustering_only,14.466681053714092,14.128504532752194,9.726272377936265,19.483836055094653,10,10,0.7672657223894113,30.279447539094754
0.75,GlobalK1,Local,global_pooling,8.430625075659643,7.3152763280744555,2.503957895559629,14.566171569779073,6,10,-3.9089664964275466,22.236778811535217
0.75,LearnedCenter,GlobalK1,clustering_increment,5.952828779349259,9.581541423913233,-0.4430555865467191,11.658977502663017,7,10,-12.219317749804937,17.09271499002924
0.75,Fed20Rank1,LearnedCenter,personalization_increment,2.203226297707064,4.483041486949819,-4.560509088251288,8.794581991238042,6,10,-18.44378397234805,20.322915868691222
1.25,Fed20Rank2,Local,late_noninferiority,-0.05841873994955282,-0.04421076302975127,-0.7058117079957078,0.5818891805578301,5,10,-1.67627260041866,1.3168178622578208
1.25,Fed20Rank1,Local,late_rank1,1.1224119394501193,3.016475862288965,-1.3272733986266507,3.4134011170221337,6,10,-4.887954059288427,4.887637952185901
1.25,Fed20Rank1,LearnedCenter,late_personalization_increment,4.209855712600078,3.4614628108297376,2.4017483837778273,6.364915152715603,10,10,0.17526010130264105,11.562814245366418
1.25,Fed20Rank1,Fed20Rank2,rank1_vs_rank2,1.1714545907407596,2.3358026679365604,-1.2925474725671893,3.5082951039226886,6,10,-3.94572797094948,5.78335898881519
1.25,CentralRank2,Local,central_rank2,0.3504572376552223,0.8406474720230244,-0.3924528201753093,1.0019257449820582,7,10,-1.676272794909929,1.4744995178244806
0.75,Fed20Rank1,CentralRank1,federation_cost,1.9467303847885038,1.7926032378461125,0.6946927194776206,3.186158421168635,8,10,-1.5038036482887207,5.060090807598796
1.25,Fed20Rank2,CentralRank2,federation_cost,-0.41415194430899416,-0.08002063746474777,-0.9205671825932239,0.0064354135614308645,5,10,-2.216038657997623,0.38835309584798644
