group,cf_over_m,cr_over_m,m_over_iz,scaled_jacobian_condition,cost,multistart_relative_difference,seed
global,50.206329860896304,53.40038219328585,0.35349402320438683,1.2855842449387074,29.65626894561156,5.565883110305702e-08,14
nominal,53.836214475999405,53.21329691179472,0.5565056332163909,1.7383318457340262,1.5837222453361517,1.7610801792931935e-09,14
heavy,48.78069601656351,47.27382121640959,0.5174296440897453,1.6446704352126267,1.9917125180944923,8.070508160704956e-09,14
handling,49.214226211636785,60.957920060266844,0.6012591311059616,1.851445495813839,1.4025633066824932,2.5878413593039096e-09,14
