seed,test_seed,scenario,severity,method,client,family,switches,tracking,peak_steering,peak_acceleration,peak_steering_rate,beta_rms,steering_rms,feasible
11,111,previous_s_curve,near_linear,M4,nominal_00,nominal,0,0.015110190927700906,1.0770225776278675,1.5805891372572471,0.9682276528848474,0.15475173472532333,0.4751610456045637,1.0
11,111,previous_s_curve,near_linear,M4,nominal_01,nominal,0,0.014615273987970133,1.0776478053508818,1.5815187191058893,0.9682949651083782,0.15481095396819694,0.4756460800708884,1.0
11,111,previous_s_curve,near_linear,M4,nominal_02,nominal,0,0.015336106856705124,1.0953971971573198,1.5802172775218029,0.9836228973151778,0.15441967542813373,0.4850630367308042,1.0
11,111,previous_s_curve,near_linear,M4,nominal_03,nominal,0,0.015483929219278275,1.1013635765991536,1.5835110133112222,0.9888069160498222,0.14531723835160407,0.4883588112581056,1.0
11,111,previous_s_curve,near_linear,M4,nominal_04,nominal,0,0.01718403857611158,1.0240688898811152,1.5722308726923648,0.9246105952890403,0.17644552705303318,0.44631734966897024,1.0
11,111,previous_s_curve,near_linear,M4,nominal_05,nominal,0,0.015953189738114472,1.042825204700362,1.574401304083741,0.939631041918869,0.17241010626547598,0.4565667368237775,1.0
11,111,previous_s_curve,near_linear,M4,nominal_06,nominal,0,0.016596836561319796,1.072788137411604,1.5670080547953746,0.9652102237798523,0.18545100027177347,0.47231693493576166,1.0
11,111,previous_s_curve,near_linear,M4,nominal_07,nominal,0,0.0169548475484714,1.018637871626341,1.5747028309860485,0.9198484550751094,0.17152564500767883,0.4435162510793,1.0
11,111,previous_s_curve,near_linear,M4,nominal_08,nominal,0,0.015888404286221375,1.0901766264250627,1.5695841507767374,0.9792088815481811,0.18037218481638337,0.48188163118547367,1.0
11,111,previous_s_curve,near_linear,M4,nominal_09,nominal,0,0.015244513481703904,1.086435790546125,1.5818888605222892,0.9762435408942246,0.15032976847260887,0.48024737401599865,1.0
11,111,previous_s_curve,near_linear,M4,heavy_00,heavy,0,0.017027710799647638,1.0916160154174117,1.5563528094091867,0.9817311768307244,0.1962753715539991,0.4819216719339159,1.0
11,111,previous_s_curve,near_linear,M4,heavy_01,heavy,0,0.01788455350267674,1.032953585563687,1.548844224824949,0.9336841656798663,0.21701083408367378,0.45015340357852135,1.0
11,111,previous_s_curve,near_linear,M4,heavy_02,heavy,0,0.018004260170640683,1.0208158540403087,1.5507154939224155,0.9236513037812878,0.21355653581547912,0.4437253898977199,1.0
11,111,previous_s_curve,near_linear,M4,heavy_03,heavy,0,0.017436051857728844,1.0873018451928989,1.542435792866513,0.9777585058701184,0.2301830968759509,0.4792166110146486,1.0
11,111,previous_s_curve,near_linear,M4,heavy_04,heavy,0,0.018607380494513125,1.0168041732748232,1.5447667272341876,0.9203936001536225,0.2284873691115911,0.44143316192825743,1.0
11,111,previous_s_curve,near_linear,M4,heavy_05,heavy,0,0.017890774418575398,1.0393709333658112,1.5424222269521903,0.9384248334077352,0.23395727720130982,0.45352455512450796,1.0
