family,speed_mps,severity,steering_amplitude_deg,relative_state_rmse_pct,peak_front_slip_deg,peak_rear_slip_deg,peak_lateral_accel_mps2,peak_force_utilization,front_saturation_angle_deg,rear_saturation_angle_deg,front_force_limit_n,rear_force_limit_n
nominal,12.0,small,0.1,0.00042353789924930076,0.0482367098607655,0.03578468208199705,0.07740018943794026,0.008899566221726234,5.419976114153613,4.06498208561521,7567.714285714286,5675.785714285715
nominal,12.0,moderate,2.0,0.1713041387630054,0.9722917183022755,0.7217663247159094,1.5441777387791813,0.17749054251413215,5.419976114153613,4.06498208561521,7567.714285714286,5675.785714285715
nominal,12.0,strong,6.0,1.691552417365668,3.114323222916435,2.3276036964255256,4.5251831612343745,0.518730193926914,5.419976114153613,4.06498208561521,7567.714285714286,5675.785714285715
nominal,20.0,small,0.1,0.0028494431298579067,0.10616706923572321,0.08122253104469367,0.17369197524548108,0.01997837184099168,5.419976114153613,4.06498208561521,7567.714285714286,5675.785714285715
nominal,20.0,moderate,2.0,1.172109889296188,2.1876540233292365,1.6838560665756879,3.401610522319245,0.39206227225441004,5.419976114153613,4.06498208561521,7567.714285714286,5675.785714285715
nominal,20.0,strong,6.0,16.745702196679773,8.208035229332662,7.144621496723724,8.10107418981701,0.9422345974975778,5.419976114153613,4.06498208561521,7567.714285714286,5675.785714285715
nominal,28.0,small,0.1,0.007970867368186146,0.16376987933582832,0.12643181525879202,0.2694553195001302,0.031092649196489245,5.419976114153613,4.06498208561521,7567.714285714286,5675.785714285715
nominal,28.0,moderate,2.0,3.3174241652853524,3.466836512997471,2.7228210445765013,5.049485642261756,0.5848638530577968,5.419976114153613,4.06498208561521,7567.714285714286,5675.785714285715
nominal,28.0,strong,6.0,129.17344630355012,12.659024531905892,17.89369371153429,8.73261187667419,0.999699729585652,5.419976114153613,4.06498208561521,7567.714285714286,5675.785714285715
heavy,12.0,small,0.1,0.000455865078060605,0.05275659340253166,0.04129830238137312,0.07736405149355818,0.008887086283131305,5.936164315501577,4.674729398457491,8702.87142857143,6527.153571428572
heavy,12.0,moderate,2.0,0.18440998410207424,1.063143519571611,0.8329079723785342,1.5431062826483855,0.17720543418237458,5.936164315501577,4.674729398457491,8702.87142857143,6527.153571428572
heavy,12.0,strong,6.0,1.8248025829618624,3.3968507226260103,2.6838406279667635,4.514928036913753,0.5183762491600269,5.936164315501577,4.674729398457491,8702.87142857143,6527.153571428572
heavy,20.0,small,0.1,0.002997036351802228,0.1168301991249768,0.09444058394764762,0.1749206613056004,0.02019961580897187,5.936164315501577,4.674729398457491,8702.87142857143,6527.153571428572
heavy,20.0,moderate,2.0,1.2457927040292176,2.40592717743511,1.9585512055519283,3.422260043861159,0.3960587198279622,5.936164315501577,4.674729398457491,8702.87142857143,6527.153571428572
heavy,20.0,strong,6.0,20.52612297382667,8.96719201556368,8.34196290866845,8.107453130637307,0.9451749911782132,5.936164315501577,4.674729398457491,8702.87142857143,6527.153571428572
heavy,28.0,small,0.1,0.008387646353722118,0.18199248137399066,0.14846351590091292,0.27409264767099384,0.031748066909676166,5.936164315501577,4.674729398457491,8702.87142857143,6527.153571428572
heavy,28.0,moderate,2.0,3.7049496229197145,3.8552024817206774,3.2069233423090413,5.121474568130416,0.595414326221587,5.936164315501577,4.674729398457491,8702.87142857143,6527.153571428572
heavy,28.0,strong,6.0,173.72634240049297,24.63067848971379,26.520780367550138,8.826399911800259,0.9999763774734413,5.936164315501577,4.674729398457491,8702.87142857143,6527.153571428572
handling,12.0,small,0.1,0.00041344566841967505,0.04777757997047675,0.028822474775294565,0.07244257193343437,0.008350944236359608,5.721085898273259,3.510666346667681,7189.328571428573,5391.996428571429
handling,12.0,moderate,2.0,0.16668679606633444,0.9614634222200481,0.5804614307422692,1.445263460836598,0.16649165013982478,5.721085898273259,3.510666346667681,7189.328571428573,5391.996428571429
handling,12.0,strong,6.0,1.5987958337980406,3.0399989955999493,1.846535717929011,4.23934223323516,0.4864257052735871,5.721085898273259,3.510666346667681,7189.328571428573,5391.996428571429
handling,20.0,small,0.1,0.0025849871039143467,0.0969603531128924,0.060352821658126554,0.1499875171646167,0.017189579084777428,5.721085898273259,3.510666346667681,7189.328571428573,5391.996428571429
handling,20.0,moderate,2.0,1.0415362939403914,1.9784446439238277,1.236116863988129,2.9471682987781715,0.3382394513203732,5.721085898273259,3.510666346667681,7189.328571428573,5391.996428571429
handling,20.0,strong,6.0,9.67315696990424,6.9096788391230355,4.589048441608446,7.449553581906589,0.8635583656981194,5.721085898273259,3.510666346667681,7189.328571428573,5391.996428571429
handling,28.0,small,0.1,0.0065530910513873315,0.13893280909657232,0.08725614756932978,0.21609166731889937,0.024849466138344496,5.721085898273259,3.510666346667681,7189.328571428573,5391.996428571429
handling,28.0,moderate,2.0,2.5746908865077764,2.866625491860966,1.8169965951976823,4.12730647821547,0.4758181720647002,5.721085898273259,3.510666346667681,7189.328571428573,5391.996428571429
handling,28.0,strong,6.0,27.134662982066647,10.262461729872445,7.783193173213911,8.43723941566233,0.9765450969100723,5.721085898273259,3.510666346667681,7189.328571428573,5391.996428571429
