scenario,method,runs,mean_tracking_rmse_deg_s,worst_tracking_rmse_deg_s,mean_beta_rms_deg,worst_beta_rms_deg,mean_steering_rms_deg,worst_steering_rms_deg,mean_peak_steering_deg,worst_peak_steering_deg,mean_peak_steering_rate_deg_s,worst_peak_steering_rate_deg_s,family_gap_deg_s
C1,M1,100,0.04961531655170562,0.06114493601938617,0.3076192089006467,0.335804163570667,0.3811996722896262,0.4234074672757722,0.8031761085755835,0.8968860607598166,1.3222350925610014,1.4840686684620068,0.0
C1,M2,100,0.040789615721853315,0.051296906250525506,0.30693371065857156,0.33481649980064737,0.38038957304073506,0.4224925614485657,0.8013085971506914,0.8948041289600863,1.3186269470275875,1.4799733965146835,0.0
C1,M3,100,0.02717101404974545,0.035393435871778636,0.3058772787144285,0.33381982021713646,0.3792868107552745,0.4213038289194029,0.7977987564683778,0.8910760380315955,1.3119293946111303,1.4728489299994327,0.0
C1,M4,100,0.022018801799030232,0.027127801193651057,0.3051776104142293,0.33282583256646286,0.37846274542521724,0.420374917114167,0.7959396947287887,0.8889787291793368,1.3082440455837605,1.4686866067185655,0.0
C1,M5,100,0.02333605324553922,0.027621444672390194,0.305082903263864,0.33272272703210964,0.37840889801957567,0.42030899775903197,0.795907546602935,0.8888257239604912,6.090376635464619,6.351610391751003,0.0
C2,M1,300,0.022160670008981483,0.03542601090597466,0.2363148725273944,0.3370659803055545,0.5847438657870715,0.6967537084562374,1.2228140709064899,1.4529462427493924,1.0461674631449076,1.2462672311414165,0.01256065530567366
C2,M2,300,0.01874746020229128,0.02444228796109804,0.23619381008247223,0.3365570096403791,0.5846499749815268,0.6977606400919121,1.2225383732995516,1.4561150347261045,1.0459622070589918,1.2470086142128554,0.0012363997023265329
C2,M3,300,0.020392035245836652,0.029509292763131485,0.236186016793759,0.33685936137273814,0.5844321523856447,0.6964223858325009,1.221821575161793,1.451882128517831,1.0457877894831422,1.2459744973307358,0.005283510949594804
C2,M4,300,0.016883265675899414,0.020445780589032507,0.23606714103062407,0.336362293991668,0.584338691666753,0.6974052370546131,1.221548620441778,1.4549717552913486,1.04566324740567,1.2466652568822205,0.0013003373647482788
C2,M5,300,0.01688311775341805,0.020446010350176114,0.2360671492903771,0.3363622990804513,0.5843387152335177,0.697405287122346,1.2215487062264418,1.4549719312408034,1.04566329923599,1.246665346908775,0.001300442217505797
C3,M1,900,0.029883872748517025,0.059597110748019426,0.3244343602383725,0.5682411718381168,0.5667178241050075,0.707688833013801,1.1943412842254875,1.4858775593051652,1.0064353611350978,1.2457275097191995,0.021720679182330418
C3,M2,900,0.026960073434436318,0.044427684653358744,0.32422718601067213,0.566864122362489,0.566619085425517,0.7087347633127768,1.1939369325144678,1.4897691364982548,1.005824201926133,1.247397495163482,0.0013680487528590392
C3,M3,900,0.020440049199652203,0.03280867079714971,0.32379002861157596,0.5665185572538057,0.5658881711676395,0.7073331854029111,1.1904882786890036,1.4821746150383874,1.0031374502940555,1.245649463783067,0.006819685649287952
C3,M4,900,0.015994305739188603,0.021823369692339698,0.3235940796454208,0.565243848488757,0.5657919724765682,0.70831555163804,1.1902247788989884,1.4854215812757654,1.0025698127092455,1.2466014959725784,0.0008485898454333451
C3,M5,900,0.01815184012998435,0.02525548136987547,0.32345910890745444,0.5651275244324767,0.5655766381919772,0.7078185955946936,1.1923379029073582,1.4923674373178608,15.20536051760857,28.02008919884613,0.001466288281842202
C4,M1,300,0.036161840971706626,0.04987273484829926,0.2609826187921462,0.37917020790417455,0.8207760340783987,0.9573439470930364,1.9571362684527003,2.2369597569282815,1.9302912341967784,2.2566989325052966,0.008418018893284675
C4,M2,300,0.03125206048821438,0.03643325926465912,0.2607756185185571,0.3782223962423677,0.8206157269987014,0.95899852357988,1.9567223597008592,2.240207696808737,1.930687856603911,2.2681197023437667,0.0022851795345609216
C4,M3,300,0.03744190610975361,0.053158871692854,0.26071166942458784,0.37888549681524186,0.8213680027360442,0.9579403206157973,1.9643603642467815,2.2448397337534036,1.939905400817266,2.2616121043090764,0.0117686204963292
C4,M4,300,0.032427160228482445,0.03886980518927957,0.2605048374366463,0.3779612132753757,0.8212041840243455,0.9596914757528114,1.9639059315262428,2.2491260549068115,1.9403729449242808,2.2752054474331183,0.0026927784646018083
C4,M5,300,0.03879178933275753,0.043918162889821144,0.2605423670604476,0.37798030079450906,0.8210069668846613,0.9594781967665416,1.9596835919110913,2.243875969536159,20.9762598287281,23.500751682545303,0.001975620829074841
