severity,method,client,family,tracking_rmse_deg_s,beta_rms_deg,steering_rms_deg,peak_steering_deg,peak_steering_rate_deg_s,peak_lateral_accel_mps2,peak_force_utilization,finite,feasible
near_linear,M1,nominal_00,nominal,0.018582485341101584,0.15173156986628378,0.5031164390470447,1.1265920341975255,1.009395243996054,1.579575428677103,0.18164637468255815,True,True
near_linear,M1,nominal_01,nominal,0.017268389066994128,0.16539687139222797,0.4538187053431983,1.0353959933842398,0.9328735213797111,1.5770224554551189,0.18153777381211697,True,True
near_linear,M1,nominal_02,nominal,0.016797771642935895,0.16490447728515178,0.4622220983287466,1.0507674756760659,0.9452897000664849,1.5777166764482675,0.18148891453393587,True,True
near_linear,M1,nominal_03,nominal,0.017537505268314022,0.16421668739166226,0.47845343200919194,1.0812816407064145,0.9715775082472217,1.5755153646437785,0.18140000705860299,True,True
near_linear,M1,nominal_04,nominal,0.01744693278342923,0.16725652659533202,0.4753536110287653,1.0755446111281055,0.9666825168805977,1.5746415776635998,0.18131570960205404,True,True
near_linear,M1,nominal_05,nominal,0.017258341832335093,0.1543058019697628,0.4894540517423931,1.1009983933011085,0.9873364220430715,1.5805995581541856,0.18164795251581836,True,True
near_linear,M1,nominal_06,nominal,0.01757355731820585,0.18045642839970566,0.46474915217711726,1.0560456993615157,0.9502086018333383,1.5702879870756468,0.1809332542827887,True,True
near_linear,M1,nominal_07,nominal,0.01798684799538213,0.1728773860288058,0.45647748068088306,1.0408778351885233,0.9382400138127327,1.5724152937733136,0.1812677038412389,True,True
near_linear,M1,nominal_08,nominal,0.017205820755603462,0.15440150772967245,0.48114511491929324,1.085848677036912,0.9750199919205269,1.580135493485398,0.18171121174329066,True,True
near_linear,M1,nominal_09,nominal,0.017782975388375692,0.1726083654381036,0.4563487401421575,1.040495263088835,0.9376481952057537,1.5730553652959338,0.18127148408019422,True,True
near_linear,M1,heavy_00,heavy,0.02135126121625661,0.22683481743631168,0.45172580432818893,1.0338975527786687,0.934431069177727,1.5481074282287512,0.1794087784808174,True,True
