phase,regime,k_mean,k_min,k_max,train_ari,test_ari,entropy
development,high-noise,2.0,2,2,0.5161704042698805,0.5221147618416566,0.04908289123693846
development,short-data,1.0,1,1,0.0,0.0,0.0
