method,tracking,tracking_std,feasible_rate,groups,local_coordinates,parameter_error,gain_error
ExactIndividual,0.006678665308411237,5.373117038667897e-05,1.0,0.0,3.0,0.0,0.0
LearnedRank1,0.007474343853186978,0.00038288552856161024,1.0,3.0,1.0,0.059793650650637256,0.008540413357175326
LearnedRank2,0.007017660575883257,0.00010652470570901018,1.0,3.0,2.0,0.07446891367411325,0.005770529589388915
Local,0.006974894022269584,0.00012849332988739177,1.0,0.0,3.0,0.06994083677031006,0.005776138451439405
OracleGroupRank1,0.007511896230187691,0.0003697829172070333,1.0,3.0,1.0,0.0654517637531598,0.009034978078930712
OracleGroupRank2,0.007018022181273749,0.00010658405031088047,1.0,3.0,2.0,0.07338787829657255,0.005747311134293091
