basis,terms,clients,standardized_design_condition,anchors_fleet_mean_a,anchors_worst_client_a,anchors_fleet_mean_b,anchors_worst_client_b,anchors_fleet_mean_combined,anchors_worst_client_combined,unseen_interpolation_fleet_mean_a,unseen_interpolation_worst_client_a,unseen_interpolation_fleet_mean_b,unseen_interpolation_worst_client_b,unseen_interpolation_fleet_mean_combined,unseen_interpolation_worst_client_combined,dense_interior_fleet_mean_a,dense_interior_worst_client_a,dense_interior_fleet_mean_b,dense_interior_worst_client_b,dense_interior_fleet_mean_combined,dense_interior_worst_client_combined,edge_extrapolation_fleet_mean_a,edge_extrapolation_worst_client_a,edge_extrapolation_fleet_mean_b,edge_extrapolation_worst_client_b,edge_extrapolation_fleet_mean_combined,edge_extrapolation_worst_client_combined,full_envelope_fleet_mean_a,full_envelope_worst_client_a,full_envelope_fleet_mean_b,full_envelope_worst_client_b,full_envelope_fleet_mean_combined,full_envelope_worst_client_combined
linear,2,300,1.0000000000000004,0.0043790339787959515,0.007364930530430922,0.00555953404575245,0.008317914821045614,0.005012713767464378,0.007573103043165302,0.0028023293616926607,0.006340811679853415,0.0035831985488120966,0.007372531304053267,0.0032218569911676245,0.006606874315728229,0.0033346300745576898,0.007364930530430922,0.004248038237814911,0.008317914821045614,0.0038251630510988816,0.007573103043165302,0.00947077007129394,0.02202421319574797,0.011915328866318055,0.0246357983432886,0.010781297672279382,0.02255347664653156,0.00455575246196789,0.02202421319574797,0.005773867218611557,0.0246357983432886,0.005209468448348732,0.02255347664653156
reciprocal,3,300,17.507006295485773,7.78904631274196e-07,1.9935708181061257e-06,3.679185770533096e-07,7.199521967492477e-07,6.177955577219233e-07,1.449204294848164e-06,8.600046937160842e-07,3.729990412676569e-06,4.040944809610569e-07,1.3418909633381738e-06,6.813927015829281e-07,2.711143420136797e-06,8.821943103411923e-07,3.739552014701313e-06,4.153150729181631e-07,1.3449643929366368e-06,6.992448100465409e-07,2.7180645920115435e-06,4.272646893346753e-06,3.120145720191544e-05,1.978616722577284e-06,1.101184215861791e-05,3.3756102175429393e-06,2.2659810963079063e-05,1.5569112422825977e-06,3.120145720191544e-05,7.264198788204759e-07,1.101184215861791e-05,1.2318548413891079e-06,2.2659810963079063e-05
mixed,4,300,140.72280501746005,8.849896457566987e-08,2.8023435130907515e-07,4.2351876776310746e-08,1.0360501705130292e-07,7.036008397358345e-08,2.040150778777216e-07,2.2932182948896984e-07,9.809923490380389e-07,1.0893511744937036e-07,3.5795660981885517e-07,1.8204308906837702e-07,7.137499169519777e-07,1.899208898664196e-07,1.106378430326227e-06,9.027149812235302e-08,4.02805439852803e-07,1.507841595759737e-07,8.048997768193997e-07,1.6884722448250286e-06,1.4651163299243501e-05,7.886943608406278e-07,5.246440651566672e-06,1.3358542853693223e-06,1.0650907035176581e-05,4.881400649825607e-07,1.4651163299243501e-05,2.2926112254390029e-07,5.246440651566672e-06,3.8661901048012264e-07,1.0650907035176581e-05
