client,ridge,mean_relative_b,scaled_condition
nominal_00,0.0,3.3537248036897175e-05,8116.605703574576
nominal_00,1e-10,0.00035480355754642043,8116.605703574576
heavy_00,0.0,2.2900083248715648e-05,6578.6752804234175
heavy_00,1e-10,0.00026763466111319245,6578.6752804234175
handling_00,0.0,4.197993914331373e-05,8772.395832477592
handling_00,1e-10,0.00038261004780710904,8772.395832477592
