budget,method,tracking,tracking_std,q95,feasible_rate,parameter_error,gain_error,central,vs_central_pct
0.75,Central,0.010770625934164954,0.0010374354313915702,0.020884406307481118,1.0,0.09859823097563578,0.020058401518901068,0.010770625934164954,0.0
0.75,ExactIndividual,0.006668276491714453,4.766610752211993e-05,0.009242619743699143,1.0,0.0,0.0,0.010770625934164954,-38.088310442920935
0.75,Fed100,0.010770625937627008,0.001037435432700251,0.020884406256956183,1.0,0.0985982310046901,0.020058401543937246,0.010770625934164954,3.2143465666933935e-08
0.75,Fed20,0.010518141980933069,0.000839543907781143,0.02022308384495883,1.0,0.09421752298831507,0.01905527234390301,0.010770625934164954,-2.344190159190229
0.75,Fed50,0.010828010494211952,0.0010599474994423212,0.021269003886099033,1.0,0.10117710677906527,0.020348846360066793,0.010770625934164954,0.5327876058249359
0.75,Local,0.013329994816223397,0.000976362374400388,0.02682813901641907,1.0,0.21301755441657758,0.030336157397761708,0.010770625934164954,23.762489735531524
1.25,Central,0.007580474043440801,0.00035371867844976495,0.011667484977446558,1.0,0.06366678650348985,0.009050040560121557,0.007580474043440801,0.0
1.25,ExactIndividual,0.006668276491714453,4.766610752211993e-05,0.009242619743699143,1.0,0.0,0.0,0.007580474043440801,-12.033515931838723
1.25,Fed100,0.0075804740473867285,0.00035371866325215816,0.011667484824644364,1.0,0.06366678536663332,0.009050040244253156,0.007580474043440801,5.205385011919361e-08
1.25,Fed20,0.007583691923874203,0.0003592625387877792,0.011633351983489585,1.0,0.06490340224783168,0.009101612273477099,0.007580474043440801,0.04244959371884072
1.25,Fed50,0.0075811487243515165,0.00034329226139361534,0.011654586503222516,1.0,0.06274471570286431,0.009007661770673308,0.007580474043440801,0.008900246961451863
1.25,Local,0.007619813734483727,0.0003935812038145959,0.011709719002169777,1.0,0.113300120363484,0.0102703649884179,0.007580474043440801,0.5189608303845628
