baseline,metric,reduction_pct,mean_difference,ci_low,ci_high,positive_pairs
Local,tracking,-13.606635720038746,-0.0009120031979948241,-0.0009760538240120663,-0.000849075515052442,0
Local,worst_family,-17.078882554304258,-0.0011681759270898101,-0.0012653133651233815,-0.001070227246202562,0
Local,yaw_prediction,-221.91010805200037,-0.10942371169282912,-0.1160658028265473,-0.10291984624436126,0
Local,parameter_relative_error,-74.56446605836112,-0.011176828295687813,-0.012718748471062174,-0.009338596472522186,0
Global,tracking,35.22041072971129,0.004140049450857198,0.0038888923768193215,0.004380479629451444,10
Global,worst_family,40.28201847701279,0.005401737471034085,0.004816415160308415,0.005931923856396285,10
Global,yaw_prediction,56.96935821412775,0.2101514904912023,0.19023825140507664,0.23003029031066105,10
Global,parameter_relative_error,64.56037240861198,0.04766717218412961,0.0458514081992376,0.0495122910282751,10
LocalExtra,tracking,-13.948686235046997,-0.0009321231309675826,-0.001000486764368002,-0.0008614714426469167,0
LocalExtra,worst_family,-17.862343127418672,-0.001213642359242318,-0.0013287410167492986,-0.001097611178598387,0
LocalExtra,yaw_prediction,-231.26068221505744,-0.11081559473734148,-0.11769737945751792,-0.10422064037988028,0
LocalExtra,parameter_relative_error,-446.84707960617254,-0.021381370444223436,-0.022112025873123792,-0.020596625438981223,0
