method,shared_parameters,local_coordinates,tracking,tracking_std,feasible_rate,parameter_error,gain_error
ControlRank1,6,1,0.006951741622407708,9.426363291995932e-05,1.0,0.03624544018880803,0.0043297192846893096
ControlRank2,9,2,0.006719976329676992,3.2472714588299385e-05,1.0,0.025183517907544375,0.0002664600737037102
ControlRank3,12,3,0.006701244880117671,3.255926059748903e-05,1.0,2.2366484074340623e-16,5.142718187709319e-15
ExactFamily,3,0,0.007522226682071942,0.00021190219449645315,1.0,0.046172355207734946,0.008864627907010715
ExactIndividual,0,3,0.006701244880117673,3.2559260597488004e-05,1.0,0.0,0.0
Local,0,3,0.006994818921306979,8.756709476774383e-05,1.0,0.06873171125128931,0.0056977104406275274
ParameterRank1,6,1,0.007468373221289656,0.00020272958288839997,1.0,0.030407809751842443,0.00814226146880924
ParameterRank2,9,2,0.006704359191335224,3.1677293167875435e-05,1.0,0.015379354006155263,0.002883397080234726
ParameterRank3,12,3,0.006701244880117671,3.255926059748903e-05,1.0,2.2366484074340623e-16,5.142718187709319e-15
